file,wc,nodes,edges,re,pe,l1,l2,l3,lcc,lsc,atd,density,diameter,asp,cc
CDMS-10-4A-JURAN,2.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.6666666666666667,0.2857142857142857,2.0,1.3333333333333333,0.4444444444444444
CDMS-10-5A-HEPIHO,2.0,9.0,14.5,3.5,0.0,2.0,0.0,0.0,7.5,1.0,2.773755656108597,0.23974358974358972,2.5,1.7777777777777777,0.137987012987013
CDMS-10-5A-KSRAGU,2.0,9.0,12.0,2.0,0.0,1.0,0.0,0.0,7.0,1.0,2.0,0.25,3.0,1.8095238095238095,0.4095238095238095
CDMS-10-5A-SROPU,2.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.4545454545454546,0.19047619047619047,2.0,1.3333333333333333,0.0
CDMS-10-5A-SZURO,2.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.6,0.25,3.0,1.8,0.3611111111111111
CDMS-10-5B-SRAJA,2.0,14.0,15.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,0.12087912087912088,2.0,1.6666666666666667,0.35000000000000003
CDMS-10-5C-DAAUSA,2.0,11.5,9.5,1.0,0.0,0.0,0.0,0.0,5.5,1.0,1.7333333333333334,0.16464646464646465,2.5,1.6666666666666667,0.2962962962962963
CDMS-10-5C-ICAPA,2.0,5.5,4.5,0.5,0.0,0.0,0.0,0.0,3.0,1.0,1.6666666666666665,0.33333333333333337,1.5,1.1666666666666665,0.5
CDMS-10-5C-JFALGI,2.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,0.25,2.0,1.5,0.4333333333333333
CDMS-10-5C-MAORTO,2.0,5.5,6.0,0.5,0.0,0.0,0.0,0.0,4.5,1.0,2.166666666666667,0.45,2.5,1.4333333333333333,0.6499999999999999
CDMS-10-5C-NBEMO,2.0,17.0,17.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,0.11029411764705882,3.0,1.8666666666666667,0.3888888888888889
CDMS-10-6B-ASCACO,2.0,4.0,4.0,0.5,0.0,0.5,0.0,0.0,3.0,1.0,2.0,0.45,2.0,1.3333333333333333,0.0
CDMS-10-6B-JJMOBE,2.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,1.5555555555555556,0.16666666666666666,3.0,1.8,0.0
CDMS-11-4A-GACHSA,2.0,6.5,5.0,0.0,0.0,0.0,0.0,0.0,4.5,1.0,2.0,0.30952380952380953,2.0,1.3666666666666667,0.3972222222222222
CDMS-11-5A-EAARCA,2.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.5555555555555556,0.23809523809523808,2.0,1.5333333333333334,0.0
CDMS-11-5A-MGTHAR,2.0,13.0,21.0,10.0,0.0,5.0,0.0,0.0,7.0,1.0,3.0588235294117645,0.15384615384615385,3.0,1.8095238095238095,0.3055555555555555
CDMS-11-6A-NMREPR,2.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.7142857142857142,0.2545454545454545,3.0,1.5,0.4333333333333333
CDMS-11-6B-ARAHE,2.0,6.5,5.0,0.0,0.0,0.0,0.0,0.0,3.5,1.0,1.6904761904761905,0.30952380952380953,1.5,1.1666666666666665,0.525
CDMS-11-6B-AVROTO,2.0,11.0,18.0,7.0,0.0,1.0,0.0,0.0,9.0,1.0,2.923076923076923,0.16666666666666666,3.0,1.9166666666666667,0.2275132275132275
CDMS-11-6B-EAFESA,2.0,9.5,6.5,0.0,0.0,0.0,0.0,0.0,4.5,1.0,1.3522727272727273,0.18928571428571428,3.0,1.6833333333333333,0.1925925925925926
CDMS-11-6B-EFRGR,2.0,8.0,7.5,1.5,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.2638888888888889,1.0,1.0,0.4972222222222222
CDMS-11-6B-EROCO,2.0,6.0,7.0,0.5,0.0,0.5,0.0,0.0,4.5,1.0,2.166666666666667,0.3333333333333333,2.5,1.5,0.5333333333333333
