file,wc,nodes,edges,re,pe,l1,l2,l3,lcc,lsc,atd,density,diameter,asp,cc
CDMS-10-4A-JURAN,3.0,12.5,10.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.7321428571428572,0.06535131535131536,3.5,1.9476190476190478,0.0
CDMS-10-5A-HEPIHO,3.0,15.0,18.0,3.0,0.0,0.0,0.0,0.0,12.0,1.0,1.1428571428571428,0.08571428571428572,3.0,2.1515151515151514,0.0
CDMS-10-5A-KSRAGU,3.0,16.0,15.0,1.5,0.0,0.0,0.0,0.0,11.0,1.0,0.9307359307359306,0.06926406926406926,5.0,2.380952380952381,0.0
CDMS-10-5A-SROPU,3.0,13.5,9.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.6428571428571429,0.053571428571428575,3.0,1.6666666666666667,0.0
CDMS-10-5A-SZURO,3.0,10.5,7.5,0.0,0.0,0.0,0.0,0.0,6.5,1.0,0.7136363636363636,0.07525252525252525,4.0,2.080952380952381,0.0
CDMS-10-5B-SRAJA,3.0,18.5,18.5,3.5,0.0,0.0,0.0,0.0,10.0,1.0,0.9455882352941176,0.054411764705882354,4.0,2.170940170940171,0.0
CDMS-10-5C-DAAUSA,3.0,17.0,15.0,2.0,0.0,0.0,0.0,0.0,10.0,1.0,0.8823529411764706,0.05514705882352941,6.0,2.7111111111111112,0.0
CDMS-10-5C-ICAPA,3.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.875,0.125,4.0,2.0,0.0
CDMS-10-5C-JFALGI,3.0,11.5,10.5,0.5,0.0,0.0,0.0,0.0,9.5,1.0,0.9115384615384616,0.08846153846153847,4.0,2.2222222222222223,0.0
CDMS-10-5C-MAORTO,3.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.875,0.125,4.0,1.9333333333333333,0.0
CDMS-10-6B-ASCACO,3.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.8333333333333334,0.2,2.0,1.5,0.0
CDMS-11-4A-GACHSA,3.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.8181818181818182,0.10714285714285714,4.0,2.0,0.0
CDMS-11-5A-EAARCA,3.0,9.0,8.5,1.5,0.0,0.0,0.0,0.0,6.5,1.0,0.9230769230769231,0.11607142857142858,4.0,2.1142857142857143,0.0
CDMS-11-5A-MGTHAR,3.0,19.5,21.0,6.0,0.0,0.0,0.0,0.0,10.5,1.0,1.0776315789473685,0.058333333333333334,4.5,2.3616161616161615,0.0
CDMS-11-6A-NMREPR,3.0,13.0,9.5,0.0,0.0,0.0,0.0,0.0,8.5,1.0,0.7846153846153847,0.060622710622710616,4.0,2.263888888888889,0.0
CDMS-11-6B-ARAHE,3.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.8,0.11904761904761904,4.0,2.0,0.0
CDMS-11-6B-AVROTO,3.0,15.5,18.0,6.0,0.0,0.0,0.0,0.0,10.0,1.0,1.1625,0.08035714285714285,4.5,2.2444444444444445,0.0
CDMS-11-6B-EAFESA,3.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.6666666666666666,0.07575757575757576,4.0,2.066666666666667,0.0
CDMS-11-6B-EFRGR,3.0,10.0,9.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.8461538461538461,0.09090909090909091,4.0,2.0,0.0
CDMS-11-6B-EROCO,3.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.875,0.1111111111111111,3.0,2.0,0.0
CDMS-11-6B-JACUPE,3.0,12.0,17.5,4.5,0.0,0.0,0.0,0.0,12.0,1.0,1.4642857142857144,0.1382783882783883,4.0,2.2644688644688644,0.0
CDMS-11-6B-JDCHBA,3.0,13.0,14.0,2.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,0.08974358974358974,4.0,2.422222222222222,0.0
CDMS-11-6B-JFSAHE,3.0,10.0,8.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.7928571428571429,0.08257575757575758,3.0,1.8,0.0
CDMS-11-6B-JLPENA,3.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.7777777777777778,0.09722222222222222,3.0,1.8,0.0
CDMS-11-6B-JMARME,3.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.6923076923076923,0.09523809523809523,3.0,1.8,0.0
CDMS-11-6B-JPSAMA,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.75,0.25,3.0,1.6666666666666667,0.0
CDMS-11-6B-LESTA,3.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.8333333333333334,0.11904761904761904,4.0,2.0,0.0
CDMS-11-6B-MEBRTA,3.0,7.0,5.5,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.7857142857142857,0.13095238095238093,4.0,2.0476190476190474,0.0
CDMS-11-6B-MMAMO,3.0,15.5,13.5,2.0,0.0,0.0,0.0,0.0,9.5,1.0,0.8856209150326797,0.06054056237879767,4.0,2.261111111111111,0.0
CDMS-11-6B-RSECA,3.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.625,0.06818181818181818,2.0,1.6,0.0
CDMS-11-6B-SCAPA,3.0,13.5,11.5,2.0,0.0,0.0,0.0,0.0,7.5,1.0,0.8095238095238095,0.06658341658341659,4.5,2.244047619047619,0.0
CDMS-11-6B-VZAPE,3.0,10.0,7.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.75,0.08181818181818182,3.0,1.8,0.0
CDMS-11-6B-YLNIME,3.0,13.0,11.0,1.5,0.0,0.0,0.0,0.0,7.0,1.0,0.8545454545454545,0.07402597402597402,4.0,2.263095238095238,0.0
CDMS-11-7C-ICARE,3.0,6.0,4.5,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.75,0.15,1.5,1.25,0.0
CDMS-11-7C-IMOIB,3.0,17.0,15.0,2.0,0.0,0.0,0.0,0.0,10.0,1.0,0.8823529411764706,0.058823529411764705,4.0,2.2545454545454544,0.0
CDMS-11-7C-SALMA,3.0,15.5,20.0,6.0,0.0,0.0,0.0,0.0,13.5,1.0,1.2895833333333333,0.08898809523809523,5.5,2.9523809523809526,0.0
CDMS-11-7C-SPGAVE,3.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.8666666666666667,0.07142857142857142,4.0,2.590909090909091,0.0
