file,window,wc,nodes,edges,re,pe,l1,l2,l3,lcc,lsc,atd,density,diameter,asp,cc
CDMS-10-4A-JURAN,0,2,7,5,0,0,0,0,0,4,1,0.7142857142857143,0.11904761904761904,2.0,1.5,0.0
CDMS-10-4A-JURAN,1,2,5,3,0,0,0,0,0,3,1,0.6,0.15,2.0,1.3333333333333333,0.0
CDMS-10-4A-JURAN,2,2,10,6,0,0,0,0,0,3,1,0.6,0.06666666666666667,2.0,1.3333333333333333,0.0
CDMS-10-4A-JURAN,3,2,12,9,1,0,0,0,0,5,1,0.75,0.06818181818181818,3.0,1.8,0.0
CDMS-10-4A-JURAN,4,2,9,7,1,0,0,0,0,5,1,0.7777777777777778,0.09722222222222222,4.0,2.0,0.0
CDMS-10-4A-JURAN,5,2,8,6,0,0,0,0,0,6,1,0.75,0.10714285714285714,4.0,2.1333333333333333,0.0
CDMS-10-4A-JURAN,6,2,6,8,2,0,0,0,0,6,1,1.3333333333333333,0.26666666666666666,3.0,1.7333333333333334,0.0
CDMS-10-5A-HEPIHO,0,2,5,5,2,0,0,0,0,3,1,1.0,0.25,2.0,1.3333333333333333,0.0
CDMS-10-5A-HEPIHO,1,2,5,7,3,0,0,0,0,5,1,1.4,0.35,2.0,1.6,0.0
CDMS-10-5A-HEPIHO,2,2,13,14,3,0,0,0,0,11,1,1.0769230769230769,0.08974358974358974,3.0,2.1454545454545455,0.0
CDMS-10-5A-HEPIHO,3,2,17,15,2,0,0,0,0,10,1,0.8823529411764706,0.05514705882352941,3.0,2.1333333333333333,0.0
CDMS-10-5A-KSRAGU,0,2,17,15,2,0,0,0,0,10,1,0.8823529411764706,0.05514705882352941,4.0,2.2666666666666666,0.0
CDMS-10-5A-KSRAGU,1,2,9,9,1,0,0,0,0,7,1,1.0,0.125,4.0,2.0,0.0
CDMS-10-5A-KSRAGU,2,2,8,6,0,0,0,0,0,4,1,0.75,0.10714285714285714,2.0,1.3333333333333333,0.0
CDMS-10-5A-SROPU,0,2,12,8,0,0,0,0,0,4,1,0.6666666666666666,0.06060606060606061,3.0,1.6666666666666667,0.0
CDMS-10-5A-SROPU,1,2,11,7,0,0,0,0,0,4,1,0.6363636363636364,0.06363636363636363,3.0,1.6666666666666667,0.0
CDMS-10-5A-SROPU,2,2,6,3,0,0,0,0,0,2,1,0.5,0.1,1.0,1.0,0.0
