file,window,wc,nodes,edges,re,pe,l1,l2,l3,lcc,lsc,atd,density,diameter,asp,cc
CDMS-10-4A-JURAN,0,3,9,6,0,0,0,0,0,4,1,1.3333333333333333,0.16666666666666666,2.0,1.5,0.0
CDMS-10-4A-JURAN,1,3,13,8,0,0,0,0,0,3,1,1.2307692307692308,0.10256410256410256,2.0,1.3333333333333333,0.0
CDMS-10-4A-JURAN,2,3,14,10,1,0,0,0,0,5,1,1.4285714285714286,0.0989010989010989,3.0,1.8,0.0
CDMS-10-4A-JURAN,3,3,16,12,1,0,0,0,0,7,1,1.5,0.09166666666666666,4.0,2.0952380952380953,0.0
CDMS-10-4A-JURAN,4,3,12,10,1,0,0,0,0,8,1,1.6666666666666667,0.13636363636363635,4.0,2.392857142857143,0.0
CDMS-10-4A-JURAN,5,3,10,11,2,0,0,0,0,8,1,2.2,0.2,4.0,2.1785714285714284,0.0
CDMS-10-5A-HEPIHO,0,3,7,8,3,0,0,0,0,5,1,2.2857142857142856,0.23809523809523808,2.0,1.6,0.0
CDMS-10-5A-HEPIHO,1,3,15,18,5,0,0,0,0,13,1,2.4,0.12380952380952381,3.0,2.1538461538461537,0.0
CDMS-10-5A-HEPIHO,2,3,19,18,3,0,0,0,0,12,1,1.894736842105263,0.08771929824561403,3.0,2.1515151515151514,0.0
CDMS-10-5A-KSRAGU,0,3,21,20,2,0,0,0,0,15,1,1.9047619047619047,0.08571428571428572,6.0,2.761904761904762,0.0
CDMS-10-5A-KSRAGU,1,3,11,10,1,0,0,0,0,7,1,1.8181818181818181,0.16363636363636364,4.0,2.0,0.0
CDMS-10-5A-SROPU,0,3,14,9,0,0,0,0,0,4,1,1.2857142857142858,0.0989010989010989,3.0,1.6666666666666667,0.0
CDMS-10-5A-SROPU,1,3,14,9,0,0,0,0,0,5,1,1.2857142857142858,0.0989010989010989,3.0,1.8,0.0
CDMS-10-5A-SROPU,2,3,9,5,0,0,0,0,0,3,1,1.1111111111111112,0.1388888888888889,2.0,1.3333333333333333,0.0
CDMS-10-5A-SROPU,3,3,13,9,0,0,0,0,0,4,1,1.3846153846153846,0.11538461538461539,3.0,1.6666666666666667,0.0
CDMS-10-5A-SROPU,4,3,11,7,0,0,0,0,0,3,1,1.2727272727272727,0.12727272727272726,2.0,1.3333333333333333,0.0
CDMS-10-5A-SROPU,5,3,15,10,0,0,0,0,0,5,1,1.3333333333333333,0.09523809523809523,3.0,1.8,0.0
CDMS-10-5A-SZURO,0,3,10,7,0,0,0,0,0,6,1,1.4,0.15555555555555556,4.0,2.066666666666667,0.0
CDMS-10-5A-SZURO,1,3,11,8,0,0,0,0,0,7,1,1.4545454545454546,0.14545454545454545,4.0,2.0952380952380953,0.0
CDMS-10-5B-SRAJA,0,3,22,20,3,0,0,0,0,10,1,1.8181818181818181,0.0735930735930736,4.0,2.2666666666666666,0.0
CDMS-10-5B-SRAJA,1,3,20,19,4,0,0,0,0,10,1,1.9,0.07894736842105263,4.0,2.066666666666667,0.0
CDMS-10-5B-SRAJA,2,3,16,18,4,0,0,0,0,13,1,2.25,0.11666666666666667,4.0,2.230769230769231,0.0
CDMS-10-5B-SRAJA,3,3,17,16,3,0,0,0,0,10,1,1.8823529411764706,0.09558823529411764,4.0,2.111111111111111,0.0
CDMS-10-5C-DAAUSA,0,3,17,15,2,0,0,0,0,10,1,1.7647058823529411,0.09558823529411764,6.0,2.7111111111111112,0.0
CDMS-10-5C-DAAUSA,1,3,14,13,2,0,0,0,0,10,1,1.8571428571428572,0.12087912087912088,6.0,2.7111111111111112,0.0
CDMS-10-5C-DAAUSA,2,3,20,15,1,0,0,0,0,9,1,1.5,0.07368421052631578,4.0,2.2777777777777777,0.0
CDMS-10-5C-ICAPA,0,3,8,7,1,0,0,0,0,5,1,1.75,0.21428571428571427,4.0,2.0,0.0
CDMS-10-5C-JFALGI,0,3,13,12,1,0,0,0,0,9,1,1.8461538461538463,0.14102564102564102,4.0,2.2222222222222223,0.0
CDMS-10-5C-JFALGI,1,3,10,9,0,0,0,0,0,10,1,1.8,0.2,4.0,2.2222222222222223,0.0
CDMS-10-5C-MAORTO,0,3,8,7,0,0,0,0,0,6,1,1.75,0.25,4.0,1.9333333333333333,0.0
CDMS-10-6B-ASCACO,0,3,10,7,0,0,0,0,0,5,1,1.4,0.15555555555555556,4.0,2.0,0.0
CDMS-10-6B-ASCACO,1,3,6,5,1,0,0,0,0,4,1,1.6666666666666667,0.26666666666666666,3.0,1.6666666666666667,0.0
CDMS-10-6B-ASCACO,2,3,5,4,1,0,0,0,0,3,1,1.6,0.3,2.0,1.3333333333333333,0.0
CDMS-10-6B-ASCACO,3,3,4,4,1,0,0,0,0,4,1,2.0,0.5,2.0,1.5,0.0
CDMS-10-6B-ASCACO,4,3,4,3,0,0,0,0,0,4,1,1.5,0.5,2.0,1.5,0.0
CDMS-10-6B-ASCACO,5,3,5,5,1,0,0,0,0,5,1,2.0,0.4,2.0,1.6,0.0
CDMS-10-6B-ASCACO,6,3,6,5,1,0,0,0,0,4,1,1.6666666666666667,0.26666666666666666,2.0,1.5,0.0
CDMS-11-4A-GACHSA,0,3,11,9,0,0,0,0,0,7,1,1.6363636363636365,0.16363636363636364,4.0,2.0,0.0
CDMS-11-4A-GACHSA,1,3,8,6,0,0,0,0,0,6,1,1.5,0.21428571428571427,4.0,2.1333333333333333,0.0
CDMS-11-4A-GACHSA,2,3,8,6,0,0,0,0,0,6,1,1.5,0.21428571428571427,4.0,2.066666666666667,0.0
CDMS-11-4A-GACHSA,3,3,8,7,0,0,0,0,0,8,1,1.75,0.25,5.0,2.4285714285714284,0.0
CDMS-11-4A-GACHSA,4,3,10,10,1,0,0,0,0,10,1,2.0,0.2,6.0,2.8,0.0
CDMS-11-4A-GACHSA,5,3,12,10,1,0,0,0,0,5,1,1.6666666666666667,0.13636363636363635,3.0,1.8,0.0
CDMS-11-4A-GACHSA,6,3,8,7,1,0,0,0,0,5,1,1.75,0.21428571428571427,3.0,1.8,0.0
CDMS-11-4A-GACHSA,7,3,5,4,1,0,0,0,0,3,1,1.6,0.3,2.0,1.3333333333333333,0.0
CDMS-11-4A-GACHSA,8,3,7,4,0,0,0,0,0,3,1,1.1428571428571428,0.19047619047619047,2.0,1.3333333333333333,0.0
CDMS-11-5A-EAARCA,0,3,13,11,1,0,0,0,0,7,1,1.6923076923076923,0.1282051282051282,5.0,2.380952380952381,0.0
CDMS-11-5A-EAARCA,1,3,10,7,0,0,0,0,0,6,1,1.4,0.15555555555555556,4.0,2.066666666666667,0.0
CDMS-11-5A-EAARCA,2,3,11,6,0,0,0,0,0,3,1,1.0909090909090908,0.10909090909090909,2.0,1.3333333333333333,0.0
CDMS-11-5A-EAARCA,3,3,8,6,1,0,0,0,0,3,1,1.5,0.17857142857142858,2.0,1.3333333333333333,0.0
CDMS-11-5A-EAARCA,4,3,9,9,2,0,0,0,0,7,1,2.0,0.19444444444444445,4.0,2.2857142857142856,0.0
CDMS-11-5A-EAARCA,5,3,9,10,2,0,0,0,0,9,1,2.2222222222222223,0.2222222222222222,4.0,2.4444444444444446,0.0
CDMS-11-5A-EAARCA,6,3,8,10,3,0,0,0,0,8,1,2.5,0.25,4.0,2.2857142857142856,0.0
CDMS-11-5A-EAARCA,7,3,9,9,2,0,0,0,0,7,1,2.0,0.19444444444444445,4.0,2.0952380952380953,0.0
CDMS-11-5A-EAARCA,8,3,8,8,2,0,0,0,0,6,1,2.0,0.21428571428571427,4.0,2.1333333333333333,0.0
CDMS-11-5A-EAARCA,9,3,8,5,0,0,0,0,0,4,1,1.25,0.17857142857142858,2.0,1.5,0.0
CDMS-11-5A-MGTHAR,0,3,19,21,6,0,0,0,0,10,1,2.210526315789474,0.08771929824561403,4.0,2.1777777777777776,0.0
CDMS-11-5A-MGTHAR,1,3,20,21,6,0,0,0,0,11,1,2.1,0.07894736842105263,5.0,2.5454545454545454,0.0
CDMS-11-6A-NMREPR,0,3,13,8,0,0,0,0,0,4,1,1.2307692307692308,0.10256410256410256,3.0,1.6666666666666667,0.0
CDMS-11-6A-NMREPR,1,3,13,10,0,0,0,0,0,8,1,1.5384615384615385,0.1282051282051282,4.0,2.25,0.0
CDMS-11-6A-NMREPR,2,3,15,12,0,0,0,0,0,10,1,1.6,0.11428571428571428,4.0,2.2888888888888888,0.0
CDMS-11-6A-NMREPR,3,3,11,9,0,0,0,0,0,9,1,1.6363636363636365,0.16363636363636364,4.0,2.2777777777777777,0.0
CDMS-11-6B-ARAHE,0,3,4,2,0,0,0,0,0,2,1,1.0,0.3333333333333333,1.0,1.0,0.0
CDMS-11-6B-ARAHE,1,3,7,4,0,0,0,0,0,3,1,1.1428571428571428,0.19047619047619047,2.0,1.3333333333333333,0.0
