file,window,wc,nodes,edges,re,pe,l1,l2,l3,lcc,lsc,atd,density,diameter,asp,cc
CDMS-10-4A-JURAN,0,4,16,14,0,0,0,0,0,6,1,1.75,0.11666666666666667,3.0,1.6666666666666667,0.4166666666666667
CDMS-10-4A-JURAN,1,4,17,13,1,0,0,0,0,5,1,1.5294117647058822,0.08823529411764706,3.0,1.8,0.0
CDMS-10-4A-JURAN,2,4,18,14,1,0,0,0,0,7,1,1.5555555555555556,0.08496732026143791,4.0,2.0952380952380953,0.0
CDMS-10-4A-JURAN,3,4,19,18,1,0,0,0,0,10,1,1.894736842105263,0.09941520467836257,4.0,2.2,0.24
CDMS-10-4A-JURAN,4,4,14,20,4,0,0,0,0,10,1,2.857142857142857,0.17582417582417584,4.0,2.088888888888889,0.37
CDMS-10-5A-HEPIHO,0,4,17,26,8,0,4,0,0,13,1,3.0588235294117645,0.125,3.0,2.0128205128205128,0.23247863247863249
CDMS-10-5A-HEPIHO,1,4,21,30,8,0,4,0,0,14,1,2.857142857142857,0.1,3.0,2.021978021978022,0.21558441558441557
CDMS-10-5A-KSRAGU,0,4,22,25,3,0,1,0,0,16,1,2.272727272727273,0.09090909090909091,4.0,2.433333333333333,0.2722222222222222
CDMS-10-5A-SROPU,0,4,17,12,0,0,0,0,0,5,1,1.411764705882353,0.08823529411764706,3.0,1.8,0.0
CDMS-10-5A-SROPU,1,4,17,12,0,0,0,0,0,5,1,1.411764705882353,0.08823529411764706,3.0,1.8,0.0
CDMS-10-5A-SROPU,2,4,15,11,0,0,0,0,0,4,1,1.4666666666666666,0.10476190476190476,2.0,1.3333333333333333,0.5833333333333334
CDMS-10-5A-SROPU,3,4,13,10,0,0,0,0,0,4,1,1.5384615384615385,0.1282051282051282,2.0,1.3333333333333333,0.5833333333333334
CDMS-10-5A-SROPU,4,4,18,15,0,0,0,0,0,5,1,1.6666666666666667,0.09803921568627451,3.0,1.5,0.5333333333333333
CDMS-10-5A-SZURO,0,4,11,9,0,0,0,0,0,7,1,1.6363636363636365,0.16363636363636364,3.0,1.8571428571428572,0.3
CDMS-10-5B-SRAJA,0,4,24,33,8,0,2,0,0,12,1,2.75,0.08695652173913043,3.0,1.9242424242424243,0.2625
CDMS-10-5B-SRAJA,1,4,26,30,6,0,2,0,0,15,1,2.3076923076923075,0.07076923076923076,4.0,2.057142857142857,0.26969696969696966
CDMS-10-5B-SRAJA,2,4,21,26,6,0,2,0,0,14,1,2.4761904761904763,0.09047619047619047,3.0,1.956043956043956,0.2878787878787879
CDMS-10-5C-DAAUSA,0,4,19,18,2,0,0,0,0,11,1,1.894736842105263,0.0935672514619883,5.0,2.309090909090909,0.12554112554112554
CDMS-10-5C-DAAUSA,1,4,21,22,3,0,0,0,0,13,1,2.0952380952380953,0.09047619047619047,5.0,2.269230769230769,0.4166666666666667
CDMS-10-5C-JFALGI,0,4,18,20,2,0,0,0,0,14,1,2.2222222222222223,0.11764705882352941,4.0,2.1648351648351647,0.3380952380952381
CDMS-10-6B-ASCACO,0,4,11,12,1,0,1,0,0,6,1,2.1818181818181817,0.18181818181818182,3.0,1.8,0.3611111111111111
CDMS-10-6B-ASCACO,1,4,7,8,1,0,1,0,0,5,1,2.2857142857142856,0.2857142857142857,2.0,1.5,0.4333333333333333
CDMS-10-6B-ASCACO,2,4,6,6,1,0,1,0,0,4,1,2.0,0.26666666666666666,2.0,1.5,0.0
CDMS-10-6B-ASCACO,3,4,5,6,1,0,1,0,0,5,1,2.4,0.4,2.0,1.6,0.0
CDMS-10-6B-ASCACO,4,4,6,7,1,0,1,0,0,6,1,2.3333333333333335,0.3333333333333333,2.0,1.6666666666666667,0.0
CDMS-10-6B-ASCACO,5,4,7,7,1,0,1,0,0,5,1,2.0,0.23809523809523808,2.0,1.6,0.0
CDMS-11-4A-GACHSA,0,4,13,13,1,0,0,0,0,9,1,2.0,0.15384615384615385,3.0,1.9722222222222223,0.1925925925925926
