file,z_wc,z_nodes,z_edges,z_re,z_pe,z_l1,z_l2,z_l3,z_lcc,z_lsc,z_atd,z_density,z_diameter,z_asp,z_cc
CDMS-10-4A-JURAN,0.0,0.0,0.0,0.3726459172201559,0.0,0.0,0.0,0.0,-0.4848827743662742,0.0,0.0,0.0,-0.3774864656661928,-0.39064806330504,0.0
CDMS-10-5A-HEPIHO,0.0,0.0,0.0,-0.022568128732180604,0.0,0.0,0.0,0.0,-0.13417523160764439,0.0,0.0,0.0,-2.5701012214046934,-0.6464943339241622,0.0
CDMS-10-5A-KSRAGU,0.0,0.0,0.0,-0.11250879009260249,0.0,0.0,0.0,0.0,0.3476984578045113,0.0,0.0,0.0,1.0025197308029985,0.6400144174615021,0.0
CDMS-10-5A-SROPU,0.0,0.0,0.0,-0.43126585583761773,0.0,0.0,0.0,0.0,-0.4748030583077335,0.0,0.0,0.0,-0.6363573184591789,-0.533920043423603,0.0
CDMS-10-5A-SZURO,0.0,0.0,0.0,-0.7663560447348133,0.0,0.0,0.0,0.0,1.129679611340849,0.0,0.0,0.0,1.210523629323098,1.1366127799460695,0.0
CDMS-10-5B-SRAJA,0.0,0.0,0.0,0.5849301144584007,0.0,0.0,0.0,0.0,-1.4138271855057678,0.0,0.0,0.0,-0.8037990385153213,-1.2347337285851072,0.0
CDMS-10-5C-DAAUSA,0.0,0.0,0.0,0.5865477434128934,0.0,0.0,0.0,0.0,-0.270250971134508,0.0,0.0,0.0,1.408072170470905,1.0754206595435718,0.0
CDMS-10-5C-JFALGI,0.0,0.0,0.0,-1.2708214194383722,0.0,0.0,0.0,0.0,0.7606873440262124,0.0,0.0,0.0,-0.7358815332846306,-0.25713411897757416,0.0
CDMS-10-6B-ASCACO,0.0,0.0,0.0,0.42704281658646304,0.0,0.0,0.0,0.0,-0.3685278692016956,0.0,0.0,0.0,-0.188548526707375,-0.28972283887791694,0.0
CDMS-11-4A-GACHSA,0.0,0.0,0.0,-0.13715265590380593,0.0,0.0,0.0,0.0,-0.09236995791597014,0.0,0.0,0.0,-0.2829907966869649,-0.291342627811656,0.0
CDMS-11-5A-EAARCA,0.0,0.0,0.0,0.08006359412328437,0.0,0.0,0.0,0.0,0.2518309922825852,0.0,0.0,0.0,0.6047497661747546,0.6841777708179891,0.0
CDMS-11-5A-MGTHAR,0.0,0.0,0.0,1.29853444961113,0.0,0.0,0.0,0.0,-1.5336528776388412,0.0,0.0,0.0,-0.2795126251808756,-0.9394488288532645,0.0
CDMS-11-6A-NMREPR,0.0,0.0,0.0,-1.1567052288389188,0.0,0.0,0.0,0.0,1.1669140712660695,0.0,0.0,0.0,0.574450771518811,0.7575285806323327,0.0
CDMS-11-6B-ARAHE,0.0,0.0,0.0,0.9867546366705132,0.0,0.0,0.0,0.0,-0.38972044533843436,0.0,0.0,0.0,-0.1995833477272058,-0.1647619897077075,0.0
CDMS-11-6B-AVROTO,0.0,0.0,0.0,1.6563474798326268,0.0,0.0,0.0,0.0,-1.4790627310533158,0.0,0.0,0.0,0.7175608803587862,-0.24423460967523372,0.0
CDMS-11-6B-EAFESA,0.0,0.0,0.0,-1.014439630864948,0.0,0.0,0.0,0.0,1.0493859569666282,0.0,0.0,0.0,0.356126971612602,0.650596525761827,0.0
CDMS-11-6B-EFRGR,0.0,0.0,0.0,0.6190715316299915,0.0,0.0,0.0,0.0,-1.0630482108119363,0.0,0.0,0.0,-0.6947830729062743,-0.9674474421718223,0.0
CDMS-11-6B-EROCO,0.0,0.0,0.0,-0.24908739867589852,0.0,0.0,0.0,0.0,0.48524940703639996,0.0,0.0,0.0,0.1041692919663483,0.4426582204972393,0.0
CDMS-11-6B-JACUPE,0.0,0.0,0.0,-1.3411118525993644,0.0,0.0,0.0,0.0,0.7133317176595877,0.0,0.0,0.0,-0.78165114999365,-0.38175904678139605,0.0
CDMS-11-6B-JDCHBA,0.0,0.0,0.0,0.1259536202991399,0.0,0.0,0.0,0.0,-0.1082389008189563,0.0,0.0,0.0,0.3811629777644562,0.5319859284279522,0.0
CDMS-11-6B-JFSAHE,0.0,0.0,0.0,0.15366365083900863,0.0,0.0,0.0,0.0,-0.2945472864556351,0.0,0.0,0.0,-0.03309649728890357,-0.0005180952258885263,0.0
