file,z_wc,z_nodes,z_edges,z_re,z_pe,z_l1,z_l2,z_l3,z_lcc,z_lsc,z_atd,z_density,z_diameter,z_asp,z_cc
CDMS-10-4A-JURAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDMS-10-5A-HEPIHO,0.0,0.0,0.0,-0.07591572551839869,0.0,0.0,0.0,0.0,-0.06545040868671789,0.0,0.0,0.0,-1.312142850322009,-0.3688882097593483,0.0
CDMS-10-5A-KSRAGU,0.0,0.0,0.0,-0.32002844823759896,0.0,0.0,0.0,0.0,-0.49471786172713034,0.0,0.0,0.0,-0.3973165041069238,-0.703975211616,0.0
CDMS-10-5A-SROPU,0.0,0.0,0.0,-0.2294157338705618,0.0,0.0,0.0,0.0,-0.04579752384571182,0.0,0.0,0.0,-0.04579752384571115,-0.04579752384571046,0.0
CDMS-10-5A-SZURO,0.0,0.0,0.0,-0.4525696378552518,0.0,0.0,0.0,0.0,0.8747714365455351,0.0,0.0,0.0,0.9275697986423841,0.876343594046504,0.0
CDMS-10-5B-SRAJA,0.0,0.0,0.0,-0.4486164278269441,0.0,0.0,0.0,0.0,-0.0667230589215899,0.0,0.0,0.0,-0.2019884498886666,-0.25669360034838284,0.0
CDMS-10-5C-DAAUSA,0.0,0.0,0.0,0.2570161805195612,0.0,0.0,0.0,0.0,-0.23179533251779527,0.0,0.0,0.0,0.3243615104577742,0.2370936965619247,0.0
CDMS-10-5C-ICAPA,0.0,0.0,0.0,0.7288689868556625,0.0,0.0,0.0,0.0,-0.7288689868556628,0.0,0.0,0.0,-0.7288689868556625,-0.7288689868556625,0.0
CDMS-10-5C-JFALGI,0.0,0.0,0.0,-0.9801960588196068,0.0,0.0,0.0,0.0,0.9801960588196073,0.0,0.0,0.0,0.6702800625998364,0.9801960588196071,0.0
CDMS-10-5C-MAORTO,0.0,0.0,0.0,-0.6730582444464993,0.0,0.0,0.0,0.0,-0.016938471231689955,0.0,0.0,0.0,-0.27084759411815035,-0.27084759411815024,0.0
CDMS-10-5C-NBEMO,0.0,0.0,0.0,3.239974050068997,0.0,0.0,0.0,0.0,-1.421666333136873,0.0,0.0,0.0,-1.0036951386667585,-1.1039169896945775,0.0
CDMS-10-6B-ASCACO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDMS-10-6B-JJMOBE,0.0,0.0,0.0,0.7011877275785814,0.0,0.0,0.0,0.0,-0.49656353316142043,0.0,0.0,0.0,-0.276000740080539,-0.24587080593781915,0.0
CDMS-11-4A-GACHSA,0.0,0.0,0.0,-0.029539809563369584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDMS-11-5A-EAARCA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDMS-11-5A-MGTHAR,0.0,0.0,0.0,1.2622840392917207,0.0,0.0,0.0,0.0,-0.9293066537954231,0.0,0.0,0.0,-1.5436444810345358,-1.497768857321921,0.0
CDMS-11-6A-NMREPR,0.0,0.0,0.0,-0.6236095644623236,0.0,0.0,0.0,0.0,0.22524545469421173,0.0,0.0,0.0,0.04654940641157281,0.04529456523749609,0.0
CDMS-11-6B-ARAHE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDMS-11-6B-AVROTO,0.0,0.0,0.0,0.6312175918475984,0.0,0.0,0.0,0.0,-0.5795133521547873,0.0,0.0,0.0,0.36650833306891545,-0.2676072146143626,0.0
CDMS-11-6B-EAFESA,0.0,0.0,0.0,-0.3320791926238962,0.0,0.0,0.0,0.0,1.1430184959166123,0.0,0.0,0.0,0.7271074389569161,0.9929522246638041,0.0
CDMS-11-6B-EFRGR,0.0,0.0,0.0,0.04123930494211616,0.0,0.0,0.0,0.0,-0.18681617943926818,0.0,0.0,0.0,0.0,0.0,0.0
CDMS-11-6B-EROCO,0.0,0.0,0.0,-0.0714285714285715,0.0,0.0,0.0,0.0,0.0714285714285715,0.0,0.0,0.0,0.0,-0.03573487625258591,0.0
CDMS-11-6B-JACUPE,0.0,0.0,0.0,-1.0741723110591495,0.0,0.0,0.0,0.0,0.586264274155729,0.0,0.0,0.0,-0.5619514869490169,-0.018382952062615716,0.0
CDMS-11-6B-JDCHBA,0.0,0.0,0.0,0.19535709039100335,0.0,0.0,0.0,0.0,-0.7054447225897343,0.0,0.0,0.0,0.4414739669679295,-0.5274663728137967,0.0
CDMS-11-6B-JFSAHE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDMS-11-6B-JLPENA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDMS-11-6B-JMARME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDMS-11-6B-JPSAMA,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDMS-11-6B-LESTA,0.0,0.0,0.0,-0.19973754175936206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDMS-11-6B-MAGIMU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDMS-11-6B-MEBRTA,0.0,0.0,0.0,-0.17220347337908756,0.0,0.0,0.0,0.0,0.3940432506862566,0.0,0.0,0.0,0.8328051723366822,0.6060355941242652,0.0
CDMS-11-6B-MMAMO,0.0,0.0,0.0,0.40486852891179476,0.0,0.0,0.0,0.0,0.1207987751267078,0.0,0.0,0.0,-0.6182692362186443,-0.12359562787256542,0.0
CDMS-11-6B-RSECA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDMS-11-6B-SCAPA,0.0,0.0,0.0,0.5933998694520431,0.0,0.0,0.0,0.0,-0.18589328657370638,0.0,0.0,0.0,0.7828813612588125,0.5437060489231622,0.0
CDMS-11-6B-VZAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDMS-11-6B-YLNIME,0.0,0.0,0.0,1.0116811229418938,0.0,0.0,0.0,0.0,-0.9473655737059316,0.0,0.0,0.0,0.0,-0.4061577547000458,0.0
CDMS-11-7C-ICARE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDMS-11-7C-IMOIB,0.0,0.0,0.0,0.013613319252933265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16464638998453543,0.0964178092838973,0.0
CDMS-11-7C-SALMA,0.0,0.0,0.0,0.3218965868571585,0.0,0.0,0.0,0.0,0.24406923894995225,0.0,0.0,0.0,1.2038140250985738,1.8110490476003243,0.0
CDMS-11-7C-SPGAVE,0.0,0.0,0.0,-0.5246935717013026,0.0,0.0,0.0,0.0,0.49346377121982676,0.0,0.0,0.0,0.12888745877839589,0.4266506329050691,0.0
CDMS-12-5A-SRIGO,0.0,0.0,0.0,-0.4843221048378526,0.0,0.0,0.0,0.0,0.6050339870781635,0.0,0.0,0.0,0.6050339870781635,0.6050339870781631,0.0
CDMS-12-6A-FAROPA,0.0,0.0,0.0,0.10951713563867864,0.0,0.0,0.0,0.0,-0.03324929011214432,0.0,0.0,0.0,0.729197274547757,0.45540548467914516,0.0
CDMS-12-6A-JGIGA,0.0,0.0,0.0,-0.8807333756468586,0.0,0.0,0.0,0.0,0.9972752158026975,0.0,0.0,0.0,0.7531048465686904,1.1349775108811881,0.0
CDMS-12-6A-JSOTGU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDMS-12-6A-SROAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDMS-12-6B-IJDAGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44943855249502995,0.3256430124895352,0.0
CDMS-12-6B-SCLAG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDMS-12-7C-CATRAR,0.0,0.0,0.0,-0.7194246902796883,0.0,0.0,0.0,0.0,1.158269615093307,0.0,0.0,0.0,1.024295039463168,1.1245556302609852,0.0
CDMS-12-7C-DLOLO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDMS-12-7C-JSZAOR,0.0,0.0,0.0,-0.492382756808206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.229953953777914e-16,0.0
CDMS-12-7C-MAROBE,0.0,0.0,0.0,-0.14744195615489727,0.0,0.0,0.0,0.0,0.03916302249939773,0.0,0.0,0.0,0.186604978654295,0.06304646122459137,0.0
CDMS-12-7C-VMAPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDMS-12-7C-VQURA,0.0,0.0,0.0,-0.4525696378552518,0.0,0.0,0.0,0.0,0.3452845365668927,0.0,0.0,0.0,0.0267356743520587,0.16641094474133905,0.0
CDMS-13-6B-ASUMO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDMS-13-6B-JDTAHE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDMS-13-7C-MVEAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDMS-13-7C-RAIZAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDMS-13-7C-SSOSLO,0.0,0.0,0.0,-0.5927489783638191,0.0,0.0,0.0,0.0,1.0319383485277795,0.0,0.0,0.0,0.8911483716013532,1.0889511053831777,0.0
CDMS-14-10A-IMORTO,0.0,0.0,0.0,-0.2262848189276259,0.0,0.0,0.0,0.0,-0.05376033305704708,0.0,0.0,0.0,-0.05376033305704708,-0.05376033305704692,0.0
CDMS-14-10A-JCVANI,0.0,0.0,0.0,-0.46037894265491874,0.0,0.0,0.0,0.0,0.5404433537121758,0.0,0.0,0.0,0.6246266737507897,0.7113758300460385,0.0
CDMS-14-6B-KDCAHE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDMS-15-10A-AMALOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDMS-15-10A-JJMACH,0.0,0.0,0.0,-0.6073516944008988,0.0,0.0,0.0,0.0,0.8980265101338745,0.0,0.0,0.0,0.8980265101338745,0.8980265101338746,0.0
CDMS-15-10A-MAALCA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDMS-15-10A-MAALRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDMS-15-10A-SGOMO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDMS-15-10A-SHEGA,0.0,0.0,0.0,0.22759277785153875,0.0,0.0,0.0,0.0,0.055553182451368054,0.0,0.0,0.0,0.5528443706301017,0.2734814895389231,0.0
CDMS-15-11B-JEMOLO,0.0,0.0,0.0,0.4551855557030775,0.0,0.0,0.0,0.0,-1.1931905563252263,0.0,0.0,0.0,-1.2798530896729814,-1.2660503397162888,0.0
CDMS-15-11B-VSAHO,0.0,0.0,0.0,-0.5483870967741937,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.6519041681304221,1.0000000000000004,0.0
CDMS-16-10A-SGALO,0.0,0.0,0.0,-0.3040818202797687,0.0,0.0,0.0,0.0,-0.08622479084572215,0.0,0.0,0.0,0.3040818202797687,0.12510371347384883,0.0
CDMS-16-11B-NGABE,0.0,0.0,0.0,-0.727606875108999,0.0,0.0,0.0,0.0,0.018159819603668994,0.0,0.0,0.0,0.6057439699820871,0.011820893655418928,0.0
CDMS-17-10A-ASSAMO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3306116826733758,0.00800901489519108,0.0
CDMS-18-7C-VVECA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDMS-8-4A-DOSTR,0.0,0.0,0.0,-0.058002984724205675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDMS-8-4A-LGOPA,0.0,0.0,0.0,-0.12728932669418508,0.0,0.0,0.0,0.0,0.12728932669418497,0.0,0.0,0.0,0.12728932669418497,0.12728932669418475,0.0
CDMS-8-4C-JDBUTU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDMS-9-4A-ACDUTR,0.0,0.0,0.0,-0.8919529754965995,0.0,0.0,0.0,0.0,1.1360429819410733,0.0,0.0,0.0,0.8118121097900859,1.0245195736198274,0.0
CDMS-9-4A-CARGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
