file,wc,nodes,edges,re,pe,l1,l2,l3,lcc,lsc,atd,density,diameter,asp,cc
CDMS-10-4A-JURAN,12.0,27.625,28.25,3.0,0.0,0.0,0.0,0.0,20.25,1.0,1.019581546764528,0.03833511990213881,6.0,3.1135860484544695,0.0
CDMS-10-5A-HEPIHO,12.0,29.636363636363637,25.59090909090909,1.5909090909090908,0.0,0.0,0.0,0.0,16.045454545454547,1.0,0.8600792091654725,0.031147742135615428,6.045454545454546,3.0253821673994765,0.0
CDMS-10-5A-KSRAGU,12.0,32.666666666666664,30.333333333333332,3.6666666666666665,0.0,0.0,0.0,0.0,17.333333333333332,1.0,0.9283088235294118,0.029332101853449102,5.666666666666667,2.648773448773449,0.0
CDMS-10-5A-SROPU,12.0,35.0,34.666666666666664,3.6666666666666665,0.0,0.0,0.0,0.0,26.0,1.0,0.9901960784313726,0.029131652661064423,8.0,3.8040645773979107,0.0
CDMS-10-5A-SZURO,12.0,26.071428571428573,32.5,4.785714285714286,0.0,0.0,0.0,0.0,21.142857142857142,1.0,1.255883947230371,0.051412764755755826,7.357142857142857,3.2355244547238278,0.0
CDMS-10-5B-SRAJA,12.0,39.0,38.0,3.0,0.0,0.0,0.0,0.0,30.0,1.0,0.9743589743589743,0.02564102564102564,6.0,3.535632183908046,0.0
CDMS-10-5C-DAAUSA,12.0,35.0,39.5,4.25,0.0,0.0,0.0,0.0,25.333333333333332,1.0,1.1288213155860214,0.03324790604202369,6.333333333333333,2.996736751966637,0.0
CDMS-10-5C-ICAPA,12.0,18.5,21.166666666666668,2.0,0.0,0.0,0.0,0.0,17.333333333333332,1.0,1.1434108239255298,0.06610008570147889,7.333333333333333,3.22069291504276,0.0
CDMS-10-5C-JFALGI,12.0,24.4,21.4,1.8,0.0,0.0,0.0,0.0,15.2,1.0,0.8760535117056856,0.03749194283976893,5.4,2.851587595411125,0.0
CDMS-10-5C-MAORTO,12.0,28.6875,31.8125,5.0625,0.0,0.0,0.0,0.0,23.25,1.0,1.117885230262735,0.04180720727193066,7.25,3.3300569994777662,0.0
CDMS-10-5C-NBEMO,12.0,46.375,46.125,2.875,0.0,0.0,0.0,0.0,30.0,1.0,0.992433744685771,0.021924652681092723,7.875,3.4459756688599192,0.0
CDMS-10-6B-ASCACO,12.0,26.5,33.1,6.8,0.0,0.0,0.0,0.0,22.9,1.0,1.2514770044770045,0.04924094424094424,7.7,3.4247419735108524,0.0
CDMS-10-6B-JJMOBE,12.0,26.666666666666668,25.0,1.0,0.0,0.0,0.0,0.0,17.083333333333332,1.0,0.937110554409405,0.036569238020387446,6.833333333333333,3.1395477759254846,0.0
CDMS-11-4A-GACHSA,12.0,24.96153846153846,29.73076923076923,5.1923076923076925,0.0,0.0,0.0,0.0,19.73076923076923,1.0,1.1816533781967384,0.0516039544479667,7.038461538461538,3.189925334428862,0.0
CDMS-11-5A-EAARCA,12.0,28.5,35.25,7.25,0.0,0.0,0.0,0.0,23.5,1.0,1.2395562971202572,0.045333812769852815,6.5,3.077635046113307,0.0
CDMS-11-5A-MGTHAR,12.0,28.0,40.22222222222222,9.777777777777779,0.0,0.0,0.0,0.0,26.666666666666668,1.0,1.4371607966503528,0.053484922750155726,7.333333333333333,3.29080893280127,0.0
CDMS-11-6A-DFVEBE,12.0,31.22222222222222,36.22222222222222,6.333333333333333,0.0,0.0,0.0,0.0,25.666666666666668,1.0,1.159016294689919,0.03840474968453042,6.666666666666667,3.1311443289221064,0.0
CDMS-11-6A-NMREPR,12.0,27.692307692307693,33.46153846153846,6.6923076923076925,0.0,0.0,0.0,0.0,22.153846153846153,1.0,1.2098590072860629,0.045481615348989354,6.076923076923077,2.931722360415217,0.0
