file,wc,nodes,edges,re,pe,l1,l2,l3,lcc,lsc,atd,density,diameter,asp,cc
CDMS-10-4A-JURAN,13.0,29.142857142857142,35.857142857142854,4.285714285714286,0.0,0.0,0.0,0.0,21.285714285714285,1.0,1.2272052931913093,0.043592427606411396,5.571428571428571,2.727399880276638,0.217776538465314
CDMS-10-5A-HEPIHO,13.0,31.761904761904763,33.095238095238095,1.8095238095238095,0.0,0.0,0.0,0.0,17.285714285714285,1.0,1.0394439343315054,0.03492087362849746,5.0,2.490464288375467,0.3691849394720944
CDMS-10-5A-KSRAGU,13.0,34.5,35.0,4.0,0.0,0.0,0.0,0.0,19.0,1.0,1.0138655462184873,0.030252100840336135,4.5,2.4144927536231884,0.2122186509143031
CDMS-10-5A-SROPU,13.0,35.5,46.0,5.0,0.0,0.0,0.0,0.0,26.5,1.0,1.2960317460317459,0.037581699346405234,7.0,2.9916239316239315,0.41398323898323897
CDMS-10-5A-SZURO,13.0,27.53846153846154,41.69230769230769,5.846153846153846,0.0,0.15384615384615385,0.0,0.0,22.53846153846154,1.0,1.522679966140156,0.05840827867423751,5.615384615384615,2.8308054932152804,0.34206691844474074
CDMS-10-5C-DAAUSA,13.0,37.18181818181818,59.63636363636363,10.818181818181818,0.0,0.6363636363636364,0.0,0.0,27.0,1.0,1.6061689382122817,0.04456624051332748,4.181818181818182,2.379498749885653,0.44912120974984265
CDMS-10-5C-ICAPA,13.0,19.8,31.6,3.4,0.0,0.0,0.0,0.0,19.0,1.0,1.5939712918660287,0.08507927572943053,5.2,2.3551169590643277,0.6092992183255341
CDMS-10-5C-JFALGI,13.0,26.5,28.5,2.0,0.0,0.0,0.0,0.0,17.5,1.0,1.0758547008547008,0.04222222222222222,4.0,2.2777949776401787,0.3874943970145208
CDMS-10-5C-MAORTO,13.0,30.2,39.2,6.2,0.0,0.26666666666666666,0.0,0.0,25.066666666666666,1.0,1.3097924730850206,0.04616372501418711,6.733333333333333,3.0265007547461584,0.17041827514392685
CDMS-10-5C-NBEMO,13.0,49.714285714285715,65.14285714285714,6.428571428571429,0.0,0.0,0.0,0.0,32.42857142857143,1.0,1.307510629279678,0.02689971173721245,6.571428571428571,2.8768445652404018,0.37275202934815804
CDMS-10-6B-ASCACO,13.0,28.11111111111111,44.22222222222222,9.333333333333334,0.0,0.0,0.0,0.0,24.333333333333332,1.0,1.574957935494334,0.05827661057546115,6.0,2.8421999739391044,0.2794549883314549
CDMS-10-6B-JJMOBE,13.0,28.363636363636363,32.63636363636363,1.8181818181818181,0.0,0.0,0.0,0.0,18.545454545454547,1.0,1.1494045813289417,0.04205549116561352,5.454545454545454,2.642278775419783,0.38055125070225715
CDMS-11-4A-GACHSA,13.0,26.56,42.92,8.48,0.0,0.0,0.0,0.0,21.2,1.0,1.6042486121129855,0.06544886104995573,4.76,2.4418970763332406,0.4922217159383826
CDMS-11-5A-EAARCA,13.0,30.0,49.333333333333336,12.333333333333334,0.0,0.0,0.0,0.0,24.666666666666668,1.0,1.6433442851453604,0.05695899580308183,4.666666666666667,2.547313942096551,0.5098744466236105
CDMS-11-5A-MGTHAR,13.0,29.25,57.0,12.75,0.0,0.125,0.0,0.0,28.25,1.0,1.9487908375561322,0.06931946611868747,4.75,2.429747006690833,0.4830999990319562
CDMS-11-6A-DFVEBE,13.0,33.625,51.875,11.5,0.0,0.0,0.0,0.0,27.625,1.0,1.5405314303751805,0.047270988979658334,4.5,2.600962485790072,0.3942535879817648
CDMS-11-6A-NMREPR,13.0,29.583333333333332,44.583333333333336,10.25,0.0,0.0,0.0,0.0,23.75,1.0,1.5062757334477068,0.052837065273916406,4.833333333333333,2.4797281757426686,0.3334887765706243
CDMS-11-6B-ARAHE,13.0,31.076923076923077,37.53846153846154,4.076923076923077,0.0,0.15384615384615385,0.0,0.0,15.615384615384615,1.0,1.195514876997131,0.04052280860630008,5.846153846153846,2.6972915295952875,0.3694073506551608
CDMS-11-6B-AVROTO,13.0,21.6,29.0,6.4,0.0,0.0,0.0,0.0,14.2,1.0,1.3447336721249765,0.06555113079140538,4.2,2.304109224109224,0.40612585034013604
CDMS-11-6B-EAFESA,13.0,37.94117647058823,54.294117647058826,12.294117647058824,0.0,0.5882352941176471,0.0,0.0,26.470588235294116,1.0,1.4267570990047016,0.038714360185597506,5.588235294117647,2.7071036915644022,0.28136779437990006
CDMS-11-6B-EFRGR,13.0,39.57142857142857,62.142857142857146,11.0,0.0,0.0,0.0,0.0,32.285714285714285,1.0,1.5758927997649803,0.04111336979482954,6.428571428571429,2.879831716790265,0.39204641016698977
