file,wc,nodes,edges,re,pe,l1,l2,l3,lcc,lsc,atd,density,diameter,asp,cc
CDMS-10-4A-JURAN,3.0,3.3333333333333335,2.3333333333333335,0.3333333333333333,0.0,0.0,0.0,0.0,2.6666666666666665,1.0,0.7,0.38333333333333336,1.6666666666666667,1.2222222222222223,0.0
CDMS-10-5A-HEPIHO,3.0,3.0,1.608695652173913,0.0,0.0,0.0,0.0,0.0,2.217391304347826,1.0,0.5297101449275362,0.3666666666666667,1.2173913043478262,1.0724637681159421,0.0
CDMS-10-5A-KSRAGU,3.0,2.1666666666666665,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,2.1666666666666665,1.0,0.5277777777777778,0.47222222222222227,1.1666666666666667,1.0555555555555556,0.0
CDMS-10-5A-SROPU,3.0,3.9,2.9,0.0,0.0,0.0,0.0,0.0,3.7,1.0,0.7066666666666667,0.28833333333333333,2.4,1.4966666666666666,0.03611111111111111
CDMS-10-5A-SZURO,3.0,3.1904761904761907,1.9523809523809523,0.0,0.0,0.09523809523809523,0.0,0.0,2.5238095238095237,1.0,0.6253968253968254,0.3119047619047619,1.6,1.2,0.0
CDMS-10-5B-SRAJA,3.0,3.375,2.25,0.0,0.0,0.375,0.0,0.0,2.125,1.0,0.6934523809523809,0.2357142857142857,1.5,1.1666666666666667,0.0
CDMS-10-5C-DAAUSA,3.0,3.611111111111111,3.5555555555555554,0.6111111111111112,0.0,0.16666666666666666,0.0,0.0,3.388888888888889,1.0,0.8871693121693122,0.4433862433862434,1.7777777777777777,1.305026455026455,0.03492063492063493
CDMS-10-5C-ICAPA,3.0,3.4166666666666665,2.5,0.16666666666666666,0.0,0.0,0.0,0.0,3.25,1.0,0.6666666666666666,0.3430555555555555,1.9166666666666667,1.3472222222222223,0.0
CDMS-10-5C-JFALGI,3.0,2.875,1.875,0.0,0.0,0.0,0.0,0.0,2.875,1.0,0.6208333333333333,0.37916666666666665,1.75,1.2666666666666666,0.0
CDMS-10-5C-MAORTO,3.0,2.7142857142857144,2.142857142857143,0.14285714285714285,0.0,0.2857142857142857,0.0,0.0,2.7142857142857144,1.0,0.8154761904761905,0.3988095238095238,1.75,1.2916666666666667,0.0
CDMS-10-5C-NBEMO,3.0,4.533333333333333,3.6,0.26666666666666666,0.0,0.0,0.0,0.0,3.533333333333333,1.0,0.810952380952381,0.31063492063492065,2.3333333333333335,1.4400000000000002,0.0
CDMS-10-6B-ASCACO,3.0,2.8666666666666667,2.4,0.5333333333333333,0.0,0.0,0.0,0.0,2.8666666666666667,1.0,0.8111111111111111,0.45555555555555555,1.8,1.2777777777777777,0.0
CDMS-10-6B-JJMOBE,3.0,3.1875,2.0,0.125,0.0,0.0,0.0,0.0,2.5625,1.0,0.6133928571428572,0.41785714285714287,1.375,1.15,0.0
CDMS-11-4A-GACHSA,3.0,3.586206896551724,2.6206896551724137,0.3448275862068966,0.0,0.0,0.0,0.0,2.7586206896551726,1.0,0.6742200328407225,0.3556650246305419,1.6206896551724137,1.2172413793103447,0.04693486590038314
CDMS-11-5A-EAARCA,3.0,4.0,3.7777777777777777,0.8888888888888888,0.0,0.0,0.0,0.0,3.7777777777777777,1.0,0.9074074074074073,0.37407407407407406,2.5555555555555554,1.5333333333333334,0.0
CDMS-11-5A-MGTHAR,3.0,4.444444444444445,3.4444444444444446,0.5,0.0,0.05555555555555555,0.0,0.0,3.3333333333333335,1.0,0.7804232804232805,0.2556878306878307,1.8888888888888888,1.3629629629629632,0.0
CDMS-11-6A-DFVEBE,3.0,5.636363636363637,5.636363636363637,1.4545454545454546,0.0,0.0,0.0,0.0,4.545454545454546,1.0,1.0203463203463203,0.3041486291486291,2.5454545454545454,1.5733044733044734,0.0
CDMS-11-6A-NMREPR,3.0,3.0,2.8823529411764706,0.8235294117647058,0.0,0.0,0.0,0.0,3.0,1.0,0.8235294117647058,0.4362745098039216,1.588235294117647,1.2470588235294118,0.03431372549019608
CDMS-11-6B-ARAHE,3.0,3.8461538461538463,2.5384615384615383,0.15384615384615385,0.0,0.15384615384615385,0.0,0.0,2.6153846153846154,1.0,0.6538461538461539,0.32051282051282054,1.3846153846153846,1.1666666666666665,0.0
