file,wc,nodes,edges,re,pe,l1,l2,l3,lcc,lsc,atd,density,diameter,asp,cc
CDMS-10-4A-JURAN-CorrEtiq.txt,180.0,87.0,179.0,24.0,12.0,1.0,4.0,98.0,87.0,86.0,4.114942528735632,0.040096230954290296,7.0,3.3124346917450365,0.07808302808302808
CDMS-10-5A-HEPIHO-CorrEtiq.txt,180.0,91.0,179.0,19.0,4.0,0.0,3.0,24.0,91.0,89.0,3.912087912087912,0.038222646918299095,7.0,3.3167701863354035,0.08721933399655553
CDMS-10-5A-KSRAGU-CorrEtiq.txt,180.0,85.0,179.0,23.0,4.0,2.0,3.0,16.0,85.0,83.0,4.211764705882353,0.041736694677871146,7.0,3.2470588235294118,0.06641369955826984
CDMS-10-5A-SROPU-CorrEtiq.txt,180.0,89.0,179.0,31.0,15.0,3.0,5.0,6.0,89.0,88.0,4.022471910112359,0.03626149131767109,9.0,3.737460815047022,0.06511387163561076
CDMS-10-5A-SZURO-CorrEtiq.txt,180.0,82.5,179.0,33.0,4.0,0.0,2.0,41.0,82.5,82.0,4.33955333529239,0.042996415522346704,7.0,3.3989574979951884,0.08872926263551263
CDMS-10-5B-SRAJA-CorrEtiq.txt,180.0,89.0,179.0,22.0,4.0,1.0,3.0,29.0,89.0,86.0,4.022471910112359,0.03932584269662921,7.0,3.193395644268751,0.11216874481910835
CDMS-10-5C-DAAUSA-CorrEtiq.txt,180.0,80.0,179.0,30.0,6.0,1.0,3.0,86.0,80.0,79.0,4.475,0.044444444444444446,7.0,3.2205696202531646,0.09958963233850111
CDMS-10-5C-JFALGI-CorrEtiq.txt,180.0,80.0,179.0,30.0,13.0,0.0,3.0,203.0,80.0,78.0,4.475,0.04556962025316456,7.0,3.0503164556962026,0.21069093537042255
CDMS-10-5C-MAORTO-CorrEtiq.txt,180.0,72.0,179.0,37.0,10.0,5.0,6.0,80.0,72.0,71.0,4.972222222222222,0.0517503805175038,6.0,2.9535768645357687,0.14073718304487537
CDMS-10-5C-NBEMO-CorrEtiq.txt,180.0,76.0,179.0,30.0,8.0,7.0,6.0,33.0,76.0,74.0,4.7105263157894735,0.04912280701754386,6.0,3.069233617178823,0.11041106589887077
CDMS-10-6B-ASCACO-CorrEtiq.txt,180.0,70.0,179.0,36.0,3.0,0.0,2.0,54.0,70.0,69.0,5.114285714285714,0.05755693581780538,5.0,2.7743271221532093,0.2303146503085266
CDMS-10-6B-JJMOBE-CorrEtiq.txt,180.0,80.0,179.0,23.0,9.0,0.0,6.0,39.0,80.0,80.0,4.475,0.046620046620046623,7.0,3.2088174982911823,0.07356695156695156
CDMS-11-4A-GACHSA-CorrEtiq.txt,180.0,69.0,179.0,40.0,10.0,2.0,4.0,95.0,69.0,69.0,5.188405797101449,0.05541346973572037,6.0,3.024652950083343,0.13457815920046715
CDMS-11-5A-EAARCA-CorrEtiq.txt,180.0,82.0,179.0,29.0,5.0,1.0,3.0,68.0,82.0,80.0,4.365853658536586,0.04396266184884071,7.0,3.219753086419753,0.16026056284340887
CDMS-11-5A-MGTHAR-CorrEtiq.txt,180.0,72.0,179.0,39.0,9.0,5.0,4.0,176.0,72.0,71.0,4.972222222222222,0.05203442879499218,7.0,3.0412673912577444,0.1512256616670064
CDMS-11-6A-DFVEBE-CorrEtiq.txt,180.0,86.0,178.0,21.0,3.0,5.0,2.0,19.0,86.0,84.0,4.1395348837209305,0.04049247606019152,7.0,3.3139959432048682,0.10002076355017532
CDMS-11-6A-NMREPR-CorrEtiq.txt,180.0,80.5,179.0,30.0,3.0,0.0,2.0,41.5,80.5,79.0,4.447376543209876,0.04556962025316456,8.0,3.20140421580295,0.10446053722917759
CDMS-11-6B-ARAHE-CorrEtiq.txt,180.0,76.0,178.0,36.0,2.0,6.0,2.0,44.0,76.0,73.0,4.684210526315789,0.04842105263157895,7.0,3.1930963773069037,0.053796311913195026
CDMS-11-6B-AVROTO-CorrEtiq.txt,180.0,92.0,179.0,19.0,1.0,0.0,1.0,20.0,92.0,90.5,3.891304347826087,0.038461538461538464,8.0,3.479277485799225,0.059646474178072235
CDMS-11-6B-EAFESA-CorrEtiq.txt,180.0,78.0,179.0,34.0,5.0,2.0,3.0,15.0,78.0,78.0,4.589743589743589,0.046202531645569624,7.0,3.3248514412897974,0.10153915968395606
CDMS-11-6B-EFRGR-CorrEtiq.txt,180.0,75.0,179.0,40.0,3.0,4.0,2.0,219.0,75.0,74.0,4.773333333333333,0.04972972972972973,6.0,3.1249122807017544,0.17060264726673394
CDMS-11-6B-EROCO-CorrEtiq.txt,180.0,77.0,178.0,29.0,14.0,1.0,6.0,74.0,77.0,75.0,4.623376623376624,0.04818865345181134,7.0,3.1585081585081585,0.15755000638459285
CDMS-11-6B-JACUPE-CorrEtiq.txt,180.0,73.0,179.0,29.0,17.0,10.0,9.0,42.0,73.0,71.0,4.8493150684931505,0.05086071987480438,6.0,3.0652680652680653,0.14259024557532018
CDMS-11-6B-JDCHBA-CorrEtiq.txt,180.0,78.0,179.0,29.0,16.0,5.0,10.0,49.0,78.0,76.5,4.589743589743589,0.04654994128678339,7.0,3.145476885983215,0.16074845437036955
CDMS-11-6B-JFSAHE-CorrEtiq.txt,180.0,87.0,178.0,23.0,5.0,0.0,4.0,80.0,87.0,86.0,4.114942528735632,0.04049247606019152,6.0,3.277232753566543,0.04301307242224105
CDMS-11-6B-JLPENA-CorrEtiq.txt,180.0,96.0,175.0,12.0,11.0,4.0,8.0,12.0,96.0,89.0,3.6458333333333335,0.033370660694288914,9.0,3.7426218256691834,0.08570260491729184
CDMS-11-6B-JMARME-CorrEtiq.txt,180.0,79.0,179.0,29.5,7.0,0.0,3.0,51.5,79.0,79.0,4.518987341772152,0.04556962025316456,7.0,3.201995953739771,0.1436135049333493
CDMS-11-6B-JPSAMA-CorrEtiq.txt,180.0,90.0,179.0,21.0,10.0,1.0,4.0,15.0,90.0,87.0,3.977777777777778,0.038202247191011236,7.0,3.5033197139938714,0.08422495633021948
CDMS-11-6B-LESTA-CorrEtiq.txt,180.0,72.0,179.0,33.0,9.0,1.0,4.0,97.0,72.0,72.0,4.972222222222222,0.054773082942097026,5.0,2.9269406392694064,0.10867043754367697
CDMS-11-6B-MAGIMU-CorrEtiq.txt,180.0,67.0,179.0,37.0,13.0,1.0,6.0,175.0,67.0,66.0,5.343283582089552,0.05970149253731343,6.0,2.9137356534616807,0.16271087980646803
CDMS-11-6B-MEBRTA-CorrEtiq.txt,180.0,80.0,179.0,22.0,20.0,6.0,8.0,31.0,80.0,79.0,4.475,0.04543979227523531,7.0,3.244753086419753,0.10164424320268477
CDMS-11-6B-MMAMO-CorrEtiq.txt,180.0,88.0,179.0,18.0,5.0,1.0,3.0,29.0,88.0,87.0,4.068181818181818,0.040602655771195095,7.0,3.1984167517875384,0.12270482356909732
CDMS-11-6B-RSECA-CorrEtiq.txt,180.0,80.0,179.0,29.0,18.0,1.0,6.0,56.0,80.0,80.0,4.475,0.044753086419753084,7.0,3.1746913580246914,0.11535118637515153
CDMS-11-6B-SCAPA-CorrEtiq.txt,180.0,88.0,179.0,25.0,2.0,0.0,1.0,29.0,88.0,87.0,4.068181818181818,0.03970741901776385,7.0,3.2215270684371804,0.06119894338841979
CDMS-11-6B-VZAPE-CorrEtiq.txt,180.0,74.0,179.0,43.0,14.0,4.0,6.0,36.0,74.0,73.0,4.837837837837838,0.0471841704718417,7.0,3.2016742770167426,0.06808015927734237
CDMS-11-6B-YLNIME-CorrEtiq.txt,180.0,81.0,179.0,27.0,5.0,0.0,2.0,58.0,81.0,80.0,4.419753086419753,0.04727491719361638,7.0,3.1075591075591076,0.11712011087907788
CDMS-11-7C-ICARE-CorrEtiq.txt,180.0,81.0,179.0,28.0,9.0,1.0,6.0,32.0,81.0,80.0,4.419753086419753,0.0445323488045007,7.0,3.2869943620998474,0.13106241098443827
CDMS-11-7C-IMOIB-CorrEtiq.txt,180.0,89.0,179.0,21.0,4.0,3.0,3.0,16.0,89.0,88.0,4.022471910112359,0.03893751540981297,7.0,3.387995151984125,0.10516938237864971
CDMS-11-7C-SALMA-CorrEtiq.txt,180.0,80.0,179.0,38.0,6.0,0.0,3.0,44.0,80.0,79.0,4.475,0.043827160493827164,6.0,3.155087719298246,0.10879927820717293
CDMS-11-7C-SPGAVE-CorrEtiq.txt,180.0,82.0,179.0,29.0,3.0,6.0,2.0,52.0,82.0,80.0,4.365853658536586,0.04260102741589665,7.0,3.195279422578273,0.13839084934142842
CDMS-12-5A-SRIGO-CorrEtiq.txt,180.0,83.0,179.0,30.0,3.0,3.0,2.0,17.0,83.0,82.0,4.313253012048193,0.04274239816408491,6.0,3.2414565826330533,0.09095287787148253
CDMS-12-6A-FAROPA-CorrEtiq.txt,180.0,84.0,179.0,26.0,4.0,3.0,3.0,19.0,84.0,83.0,4.261904761904762,0.04230626132321868,7.0,3.274610637672642,0.09397840826323164
CDMS-12-6A-JGIGA-CorrEtiq.txt,180.0,78.0,179.0,30.0,18.5,2.0,7.0,57.0,78.0,76.0,4.589743589743589,0.047619047619047616,7.0,3.1002331002331003,0.13469060179586495
CDMS-12-6A-JSOTGU-CorrEtiq.txt,180.0,78.0,179.0,31.0,10.0,3.0,4.0,62.0,78.0,77.0,4.589743589743589,0.04695304695304695,7.0,3.2448927477017366,0.12530112200332055
CDMS-12-6A-SROAL-CorrEtiq.txt,180.0,86.5,179.0,27.0,10.0,1.0,3.0,15.0,86.5,86.0,4.138866613205026,0.03888730457554458,7.0,3.3515523530984166,0.05295228812772672
CDMS-12-6B-IJDAGA-CorrEtiq.txt,180.0,83.0,179.0,26.0,12.0,8.0,6.0,17.0,83.0,83.0,4.313253012048193,0.04102122776821572,7.0,3.349292381812707,0.08263152052625737
CDMS-12-6B-SCLAG-CorrEtiq.txt,180.0,75.0,179.0,31.0,8.0,5.0,5.0,31.0,75.0,74.0,4.773333333333333,0.04998148833765272,7.0,3.178822658274713,0.09638086586615997
CDMS-12-7C-ARAHE-CorrEtiq.txt,180.0,81.0,179.0,25.5,6.0,0.0,6.0,72.0,81.0,80.0,4.419753086419753,0.04567901234567901,6.0,3.025938921377518,0.17611519536058012
CDMS-12-7C-CATRAR-CorrEtiq.txt,180.0,87.0,178.0,26.0,6.0,0.0,3.0,42.0,87.0,84.0,4.091954022988506,0.04022438165322263,7.0,3.311111111111111,0.0821846932787563
CDMS-12-7C-DLOLO-CorrEtiq.txt,180.0,79.0,179.0,26.0,3.0,1.0,1.0,63.0,79.0,79.0,4.531645569620253,0.04746835443037975,7.0,3.0555014605647517,0.18184482924482923
CDMS-12-7C-JSZAOR-CorrEtiq.txt,180.0,96.0,179.0,13.0,7.0,1.0,4.0,14.0,96.0,95.0,3.7291666666666665,0.03442982456140351,8.0,3.680691912108462,0.08332462744227451
CDMS-12-7C-MAROBE-CorrEtiq.txt,180.0,85.5,179.0,24.0,7.0,0.0,4.0,14.0,85.5,85.0,4.187277701778386,0.04158686730506156,7.0,3.369047619047619,0.10864462037759881
CDMS-12-7C-VMAPA-CorrEtiq.txt,180.0,87.5,179.0,27.0,23.0,1.0,3.0,10.0,87.5,86.5,4.091562173458725,0.03950693786299239,8.0,3.2544865252363246,0.05990367768952161
CDMS-12-7C-VQURA-CorrEtiq.txt,180.0,87.0,178.0,24.0,5.0,0.0,3.0,43.0,87.0,86.0,4.114942528735632,0.0399452804377565,7.0,3.400219298245614,0.09783339966266795
CDMS-13-6B-ASUMO-CorrEtiq.txt,180.0,85.0,174.0,18.0,5.0,2.0,5.0,53.0,85.0,78.0,4.094117647058823,0.04145658263305322,9.0,3.4316526610644256,0.1528290423027265
CDMS-13-6B-JDTAHE-CorrEtiq.txt,180.0,84.5,178.0,23.0,10.0,4.0,3.0,34.0,84.5,82.0,4.189495798319328,0.04005602240896359,8.0,3.4073777064955895,0.10468928887505154
CDMS-13-7C-MVEAR-CorrEtiq.txt,180.0,72.0,179.0,26.0,5.0,8.0,3.0,41.0,72.0,70.0,4.972222222222222,0.05555555555555555,6.0,2.8928012519561817,0.15578654043601667
CDMS-13-7C-RAIZAC-CorrEtiq.txt,180.0,98.0,178.0,15.0,16.0,2.0,6.0,4.0,98.0,90.5,3.63265306122449,0.03261098253734483,12.5,4.098564742204285,0.05319293815737848
CDMS-13-7C-SSOSLO-CorrEtiq.txt,180.0,79.0,179.0,28.0,4.0,5.0,3.0,61.0,79.0,77.0,4.506329113924051,0.04613807245386193,6.0,3.145459888333823,0.13123553529803528
CDMS-14-10A-IMORTO-CorrEtiq.txt,180.0,80.0,179.0,29.0,9.0,1.0,5.0,19.0,80.0,79.5,4.475,0.044753086419753084,7.0,3.2269350191403054,0.09510249983934194
CDMS-14-10A-JCVANI-CorrEtiq.txt,180.0,91.0,179.0,20.0,8.0,1.0,4.0,8.0,91.0,89.0,3.934065934065934,0.0380952380952381,7.0,3.3827432920984464,0.05175789453315165
CDMS-14-5A-LSDUCO-CorrEtiq.txt,180.0,70.0,179.0,43.0,18.0,2.0,5.0,152.0,70.0,69.0,5.114285714285714,0.0546583850931677,6.0,3.006625258799172,0.13195608891811422
CDMS-14-6B-KDCAHE-CorrEtiq.txt,180.0,81.0,179.0,27.0,14.0,5.0,7.0,55.0,81.0,79.0,4.395061728395062,0.042758205359831374,7.0,3.391749473050286,0.10222434428316782
CDMS-15-10A-AMALOS-CorrEtiq.txt,180.0,78.0,179.0,24.0,13.0,4.0,7.0,18.0,78.0,78.0,4.589743589743589,0.046887323203112674,6.0,3.171166671166671,0.06400974879676705
CDMS-15-10A-JJMACH-CorrEtiq.txt,180.0,93.0,179.0,18.0,2.0,2.0,1.0,17.0,93.0,92.0,3.849462365591398,0.03607262302914477,7.0,3.486898126028561,0.06192417137795289
CDMS-15-10A-MAALCA-CorrEtiq.txt,180.0,85.0,179.0,23.0,6.0,2.0,3.0,18.0,85.0,84.0,4.211764705882353,0.042296918767507005,7.0,3.165406162464986,0.08215696320826857
CDMS-15-10A-MAALRI-CorrEtiq.txt,180.0,92.0,179.0,21.0,13.0,2.0,7.0,12.0,92.0,91.0,3.891304347826087,0.035355948399426664,8.0,3.6880076445293835,0.06270670721220171
CDMS-15-10A-SGOMO-CorrEtiq.txt,180.0,93.0,179.0,22.0,1.0,1.0,1.0,17.0,93.0,91.0,3.849462365591398,0.0364656381486676,7.0,3.4660030790465575,0.10500952674066485
CDMS-15-10A-SHEGA-CorrEtiq.txt,180.0,80.0,179.0,22.0,5.0,1.0,5.0,34.0,80.0,79.0,4.475,0.04722222222222222,6.0,3.0519219736087204,0.15790758982126438
CDMS-15-11B-JEMOLO-CorrEtiq.txt,180.0,84.0,179.0,27.0,5.0,2.0,3.0,21.0,84.0,83.0,4.261904761904762,0.04202174551866,7.0,3.3589280337247818,0.07938594203654445
CDMS-15-11B-VSAHO-CorrEtiq.txt,180.0,80.0,179.0,30.0,7.0,3.0,3.0,25.0,80.0,79.0,4.475,0.04477186940267109,6.0,3.2238816036284392,0.0799029456989011
