file,wc,nodes,edges,re,pe,l1,l2,l3,lcc,lsc,atd,density,diameter,asp,cc
CDMS-10-4A-JURAN,11.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.6,0.4,4.0,2.0,0.0
CDMS-10-5A-HEPIHO,11.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.3333333333333333,0.21428571428571427,3.0,1.6666666666666667,0.0
CDMS-10-5A-KSRAGU,11.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.0
CDMS-10-5A-SROPU,11.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0,0.25,4.0,2.2222222222222223,0.15925925925925927
CDMS-10-5A-SZURO,11.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.6,0.21428571428571427,3.0,1.8,0.0
CDMS-10-5B-SRAJA,11.0,8.0,6.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,1.5,0.17857142857142858,3.0,1.6666666666666667,0.0
CDMS-10-5C-DAAUSA,11.0,9.0,15.0,5.0,0.0,1.0,0.0,0.0,9.0,1.0,3.4285714285714284,0.2777777777777778,3.0,1.8611111111111112,0.23280423280423282
CDMS-10-5C-ICAPA,11.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,0.26666666666666666,4.0,2.0952380952380953,0.0
CDMS-10-5C-JFALGI,11.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.6,0.4,3.0,1.8,0.0
CDMS-10-5C-MAORTO,11.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,0.4,3.0,1.8,0.0
CDMS-10-5C-NBEMO,11.0,12.0,14.0,3.0,0.0,0.0,0.0,0.0,10.0,1.0,2.3333333333333335,0.18181818181818182,4.0,2.3555555555555556,0.0
CDMS-10-6B-ASCACO,11.0,6.0,7.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,2.25,0.3333333333333333,5.0,2.3333333333333335,0.0
CDMS-10-6B-JJMOBE,11.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.5555555555555556,0.26666666666666666,3.0,1.6666666666666667,0.0
CDMS-11-4A-GACHSA,11.0,8.0,8.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,2.2222222222222223,0.25,3.0,1.8,0.0
CDMS-11-5A-EAARCA,11.0,7.0,9.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,2.3333333333333335,0.2857142857142857,4.0,2.1904761904761907,0.0
CDMS-11-5A-MGTHAR,11.0,10.5,12.0,2.0,0.0,0.0,0.0,0.0,10.0,1.0,2.3636363636363638,0.2,4.0,2.227777777777778,0.06277056277056277
CDMS-11-6A-DFVEBE,11.0,8.0,10.0,4.0,0.0,0.0,0.0,0.0,6.0,1.0,2.625,0.21428571428571427,3.0,1.9333333333333333,0.0
CDMS-11-6A-NMREPR,11.0,5.0,7.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,2.7333333333333334,0.45,2.0,1.55,0.35000000000000003
CDMS-11-6B-ARAHE,11.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,1.4545454545454546,0.17857142857142858,2.0,1.6,0.0
CDMS-11-6B-AVROTO,11.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,0.3333333333333333,3.0,1.8666666666666667,0.0
CDMS-11-6B-EAFESA,11.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,0.3333333333333333,3.0,1.8,0.0
CDMS-11-6B-EFRGR,11.0,11.0,12.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,2.1818181818181817,0.16363636363636364,4.0,2.1904761904761907,0.1875
CDMS-11-6B-EROCO,11.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,0.25,4.0,2.0952380952380953,0.0
CDMS-11-6B-JACUPE,11.0,7.0,8.0,3.0,0.0,2.0,0.0,0.0,4.0,1.0,2.5714285714285716,0.23809523809523808,3.0,1.6666666666666667,0.0
CDMS-11-6B-JDCHBA,11.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,1.8,0.23809523809523808,3.0,1.8,0.0
CDMS-11-6B-JFSAHE,11.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.4285714285714286,0.5,2.0,1.3333333333333333,0.0
CDMS-11-6B-JLPENA,11.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.3333333333333333,0.5,2.0,1.3333333333333333,0.0
CDMS-11-6B-JMARME,11.0,9.0,9.0,1.5,0.0,0.0,0.0,0.0,8.0,1.0,2.2222222222222223,0.2222222222222222,4.0,2.0952380952380953,0.0
CDMS-11-6B-JPSAMA,11.0,9.0,7.5,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.6,0.19444444444444445,3.0,1.9047619047619047,0.0
CDMS-11-6B-LESTA,11.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.7142857142857142,0.2857142857142857,3.0,2.0,0.0
CDMS-11-6B-MAGIMU,11.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.6,0.19444444444444445,4.0,2.2142857142857144,0.0
CDMS-11-6B-MEBRTA,11.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.2666666666666666,0.3,2.0,1.3333333333333333,0.0
CDMS-11-6B-MMAMO,11.0,10.0,9.0,0.5,0.0,0.0,0.0,0.0,7.0,1.0,1.7272727272727273,0.16363636363636364,4.0,2.0,0.0
CDMS-11-6B-RSECA,11.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.75,0.25,3.0,2.0,0.0
CDMS-11-6B-SCAPA,11.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
CDMS-11-6B-VZAPE,11.0,9.5,10.5,2.0,0.0,0.0,0.0,0.0,9.5,1.0,2.325,0.2361111111111111,4.0,2.2293650793650794,0.13370370370370369
CDMS-11-6B-YLNIME,11.0,7.0,7.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,2.25,0.2857142857142857,4.0,2.1904761904761907,0.0
CDMS-11-7C-ICARE,11.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.3333333333333333,0.6666666666666666,2.0,1.3333333333333333,0.0
CDMS-11-7C-IMOIB,11.0,9.0,9.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,1.8181818181818181,0.19444444444444445,4.0,2.25,0.0
CDMS-11-7C-SALMA,11.0,12.0,15.0,3.0,0.0,0.0,0.0,0.0,10.0,1.0,2.5,0.2,4.0,2.1904761904761907,0.0
CDMS-11-7C-SPGAVE,11.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
CDMS-12-5A-SRIGO,11.0,8.0,9.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,0.21428571428571427,4.0,2.0714285714285716,0.0
CDMS-12-6A-FAROPA,11.0,10.0,13.0,3.0,0.0,0.0,0.0,0.0,8.0,1.0,2.6,0.2222222222222222,4.0,2.0714285714285716,0.0
CDMS-12-6A-JGIGA,11.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,0.25,4.0,2.361111111111111,0.0
CDMS-12-6A-JSOTGU,11.0,6.0,7.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,0.26666666666666666,2.0,1.6,0.0
CDMS-12-6A-SROAL,11.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.5,0.18181818181818182,3.0,1.8666666666666667,0.0
