file,wc,nodes,edges,re,pe,l1,l2,l3,lcc,lsc,atd,density,diameter,asp,cc
CDMS-10-4A-JURAN,13.0,29.0,34.0,4.0,0.0,0.0,0.0,0.0,21.0,1.0,1.1851851851851851,0.04408602150537634,6.0,2.677536231884058,0.18476190476190477
CDMS-10-5A-HEPIHO,13.0,30.0,32.0,2.0,0.0,0.0,0.0,0.0,17.0,1.0,1.04,0.034408602150537634,6.0,2.713235294117647,0.3657407407407407
CDMS-10-5A-KSRAGU,13.0,34.5,35.0,4.0,0.0,0.0,0.0,0.0,19.0,1.0,1.0138655462184873,0.030252100840336135,4.5,2.4144927536231884,0.2122186509143031
CDMS-10-5A-SROPU,13.0,35.5,46.0,5.0,0.0,0.0,0.0,0.0,26.5,1.0,1.2960317460317459,0.037581699346405234,7.0,2.9916239316239315,0.41398323898323897
CDMS-10-5A-SZURO,13.0,27.0,41.0,6.0,0.0,0.0,0.0,0.0,23.0,1.0,1.4814814814814814,0.05698005698005698,5.0,2.7733333333333334,0.34295269947443857
CDMS-10-5C-DAAUSA,13.0,38.0,60.0,11.0,0.0,1.0,0.0,0.0,27.0,1.0,1.6153846153846154,0.044294294294294295,4.0,2.3703703703703702,0.44968873797396713
CDMS-10-5C-ICAPA,13.0,20.0,32.0,3.0,0.0,0.0,0.0,0.0,20.0,1.0,1.5909090909090908,0.08771929824561403,5.0,2.3,0.6377289377289377
CDMS-10-5C-JFALGI,13.0,26.5,28.5,2.0,0.0,0.0,0.0,0.0,17.5,1.0,1.0754985754985755,0.042193732193732195,4.0,2.3005245958032337,0.3759457318280848
CDMS-10-5C-MAORTO,13.0,31.0,40.0,6.0,0.0,0.0,0.0,0.0,26.0,1.0,1.3548387096774193,0.04516129032258064,7.0,3.0615384615384613,0.1875
CDMS-10-5C-NBEMO,13.0,51.0,67.0,7.0,0.0,0.0,0.0,0.0,32.0,1.0,1.3137254901960784,0.02648766328011611,7.0,2.8588709677419355,0.3636423405654175
CDMS-10-6B-ASCACO,13.0,28.0,46.0,12.0,0.0,0.0,0.0,0.0,25.0,1.0,1.6666666666666667,0.05862068965517241,6.0,2.8861538461538463,0.2894660894660894
CDMS-10-6B-JJMOBE,13.0,28.0,32.0,2.0,0.0,0.0,0.0,0.0,19.0,1.0,1.1071428571428572,0.04131054131054131,6.0,2.776190476190476,0.34509803921568627
CDMS-11-4A-GACHSA,13.0,26.0,40.0,8.0,0.0,0.0,0.0,0.0,18.0,1.0,1.6176470588235294,0.06157635467980296,4.0,2.371794871794872,0.5052910052910052
CDMS-11-5A-EAARCA,13.0,31.0,50.0,12.0,0.0,0.0,0.0,0.0,25.0,1.0,1.6296296296296295,0.05443548387096774,5.0,2.5907692307692307,0.5136376444068752
CDMS-11-5A-MGTHAR,13.0,29.0,56.0,11.5,0.0,0.0,0.0,0.0,28.0,1.0,1.9492234169653524,0.06773399014778325,5.0,2.4033582287197417,0.4831829326025855
CDMS-11-6A-DFVEBE,13.0,33.0,50.0,11.0,0.0,0.0,0.0,0.0,27.0,1.0,1.515625,0.04795725108225108,4.5,2.582450142450142,0.3817389875082183
CDMS-11-6A-NMREPR,13.0,29.5,43.5,9.0,0.0,0.0,0.0,0.0,23.5,1.0,1.4929956896551724,0.05420999817551542,5.0,2.4648974214191606,0.3198572261072261
CDMS-11-6B-ARAHE,13.0,31.0,39.0,5.0,0.0,0.0,0.0,0.0,13.0,1.0,1.2258064516129032,0.04,6.0,2.6538461538461537,0.3076923076923077
CDMS-11-6B-AVROTO,13.0,22.0,29.0,7.0,0.0,0.0,0.0,0.0,14.0,1.0,1.3636363636363635,0.06493506493506493,4.0,2.3,0.4458333333333333
CDMS-11-6B-EAFESA,13.0,38.0,52.0,12.0,0.0,0.0,0.0,0.0,26.0,1.0,1.375,0.037815126050420166,6.0,2.86231884057971,0.23411033411033413
CDMS-11-6B-EFRGR,13.0,40.0,61.0,10.0,0.0,0.0,0.0,0.0,33.0,1.0,1.5609756097560976,0.0391025641025641,6.0,2.8484848484848486,0.38530762167125804
CDMS-11-6B-EROCO,13.0,19.0,34.0,6.0,0.0,0.0,0.0,0.0,19.0,1.0,1.826086956521739,0.10294117647058823,4.0,2.1029411764705883,0.6834586466165413
CDMS-11-6B-JACUPE,13.0,36.0,55.0,14.0,0.0,2.0,0.0,0.0,32.0,1.0,1.5,0.04285714285714286,6.0,2.8225806451612905,0.26670386904761906
CDMS-11-6B-JDCHBA,13.0,35.0,38.0,4.0,0.0,0.0,0.0,0.0,22.0,1.0,1.2432432432432432,0.03528528528528529,5.0,2.6688172043010754,0.3816666666666667
CDMS-11-6B-JFSAHE,13.0,25.0,26.0,3.0,0.0,0.0,0.0,0.0,14.0,1.0,1.0769230769230769,0.043333333333333335,5.0,2.3904761904761904,0.3692307692307692
CDMS-11-6B-JLPENA,13.0,25.5,27.5,5.5,0.0,0.0,0.0,0.0,13.0,1.0,1.0940170940170941,0.044311594202898555,4.0,2.371794871794872,0.3438095238095238
CDMS-11-6B-JMARME,13.0,37.5,58.0,10.0,0.0,0.0,0.0,0.0,28.0,1.0,1.4653679653679654,0.04000130616509927,6.0,2.818176638176638,0.3246856318284889
CDMS-11-6B-JPSAMA,13.0,35.5,45.5,5.0,0.0,0.0,0.0,0.0,24.5,1.0,1.3284313725490196,0.03980137509549274,6.0,2.6724137931034484,0.4508105807236242
CDMS-11-6B-LESTA,13.0,29.0,41.0,5.0,0.0,0.0,0.0,0.0,24.0,1.0,1.3823529411764706,0.04843304843304843,6.0,2.7435897435897436,0.39558281224947894
CDMS-11-6B-MAGIMU,13.0,32.0,45.5,8.5,0.0,0.0,0.0,0.0,27.5,1.0,1.5109108159392788,0.04818009315163015,7.0,3.3038679073161834,0.4127772433327989
CDMS-11-6B-MEBRTA,13.0,19.0,22.5,3.0,0.0,0.0,0.0,0.0,11.0,1.0,1.15,0.06294289645682835,4.0,2.1535353535353536,0.3719197469197469
CDMS-11-6B-MMAMO,13.0,45.5,63.0,12.0,1.0,0.0,0.5,0.0,26.5,1.5,1.3845410628019323,0.03111550285463329,5.5,2.7973992673992676,0.4210906995934468
CDMS-11-6B-RSECA,13.0,33.0,42.0,3.0,0.0,0.0,0.0,0.0,27.0,1.0,1.2424242424242424,0.03787878787878788,5.0,2.6277056277056277,0.41718106995884774
CDMS-11-6B-SCAPA,13.0,28.0,28.0,4.0,0.0,0.0,0.0,0.0,12.0,1.0,0.9655172413793104,0.03561253561253561,5.0,2.2666666666666666,0.1380952380952381
CDMS-11-6B-VZAPE,13.0,37.0,55.0,10.0,0.0,0.0,0.0,0.0,25.0,1.0,1.4864864864864864,0.04129129129129129,4.0,2.4882608695652175,0.46400486087986087
CDMS-11-6B-YLNIME,13.0,38.0,49.0,9.0,0.0,0.0,0.0,0.0,22.0,1.0,1.2820512820512822,0.034139402560455195,5.0,2.5736842105263156,0.3528950216450217
CDMS-11-7C-ICARE,13.0,30.0,35.0,5.0,0.0,0.0,0.0,0.0,21.0,1.0,1.1379310344827587,0.03763440860215054,5.0,2.6608187134502925,0.23280423280423282
CDMS-11-7C-IMOIB,13.0,35.0,45.0,3.0,0.0,0.0,0.0,0.0,25.0,1.0,1.2857142857142858,0.037815126050420166,6.0,2.7644927536231885,0.3941414141414141
CDMS-11-7C-SALMA,13.0,36.0,67.0,16.0,0.0,0.0,0.0,0.0,28.0,1.0,1.8611111111111112,0.05525846702317291,7.0,3.0,0.407977207977208
CDMS-11-7C-SPGAVE,13.0,25.0,23.0,3.0,0.0,0.0,0.0,0.0,10.0,1.0,0.92,0.03833333333333333,3.0,1.8888888888888888,0.25595238095238093
CDMS-12-5A-SRIGO,13.0,40.0,57.0,8.0,0.0,0.0,0.0,0.0,30.0,1.0,1.393939393939394,0.03529411764705882,6.0,3.0919540229885056,0.39206349206349206
CDMS-12-6A-FAROPA,13.0,40.0,64.0,20.0,0.0,0.0,0.0,0.0,24.0,1.0,1.6,0.041025641025641026,5.0,2.6233333333333335,0.26420454545454547
CDMS-12-6A-JGIGA,13.0,29.5,40.5,6.0,0.0,0.0,0.0,0.0,20.0,1.0,1.4,0.04833147942157953,5.0,2.390643274853801,0.47048550986050985
CDMS-12-6A-JSOTGU,13.0,29.0,46.0,9.0,0.0,0.0,0.0,0.0,22.0,1.0,1.5,0.05423280423280423,5.0,2.341991341991342,0.46043956043956036
CDMS-12-6A-SROAL,13.0,30.0,39.0,5.0,0.0,0.0,0.0,0.0,23.0,1.0,1.3333333333333333,0.0480295566502463,6.0,3.0434782608695654,0.4567287784679089
CDMS-12-6B-IJDAGA,13.0,27.0,33.5,3.0,0.0,0.0,0.0,0.0,13.0,1.0,1.2365967365967365,0.04545584045584045,5.0,2.8205128205128207,0.3311904761904762
CDMS-12-6B-SCLAG,13.0,34.0,43.0,5.0,0.0,1.0,0.0,0.0,24.0,1.0,1.3125,0.04116059379217274,6.0,3.026209677419355,0.33354037267080744
CDMS-12-7C-ARAHE,13.0,35.0,45.0,6.0,0.0,0.0,0.0,0.0,21.0,1.0,1.2857142857142858,0.037815126050420166,6.0,2.75,0.48397581254724115
CDMS-12-7C-CATRAR,13.0,33.5,51.5,9.0,0.0,0.0,0.0,0.0,26.0,1.0,1.5285714285714285,0.04683680290297937,5.0,2.5907610907610907,0.36721760749538523
CDMS-12-7C-DLOLO,13.0,33.0,56.0,20.0,0.0,0.0,0.0,0.0,25.0,1.0,1.696969696969697,0.05303030303030303,6.0,2.8768115942028984,0.2991746031746032
CDMS-12-7C-JSZAOR,13.0,18.0,20.0,1.0,0.0,0.0,0.0,0.0,17.0,1.0,1.2222222222222223,0.07017543859649122,4.0,2.301470588235294,0.25227272727272726
CDMS-12-7C-MAROBE,13.0,43.0,51.0,4.0,0.0,0.0,0.0,0.0,30.0,1.0,1.186046511627907,0.02823920265780731,6.0,2.8551724137931034,0.28611111111111115
CDMS-12-7C-VMAPA,13.0,29.0,40.0,5.0,0.0,0.0,0.0,0.0,25.0,1.0,1.3793103448275863,0.04926108374384237,6.0,2.62,0.2589010989010989
CDMS-12-7C-VQURA,13.0,26.0,31.0,2.0,0.0,0.0,0.0,0.0,18.0,1.0,1.1176470588235294,0.049783549783549784,6.0,2.6526315789473682,0.3595238095238095
