file,wc,nodes,edges,re,pe,l1,l2,l3,lcc,lsc,atd,density,diameter,asp,cc
CDMS-10-4A-JURAN,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.6,0.5,2.0,1.3333333333333333,0.0
CDMS-10-5A-HEPIHO,5.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.25,1.0,1.0,0.0
CDMS-10-5A-KSRAGU,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,0.0
CDMS-10-5A-SROPU,5.0,5.5,4.0,0.0,0.0,0.0,0.0,0.0,4.5,1.0,0.775,0.2,3.0,1.7333333333333334,0.0
CDMS-10-5A-SZURO,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.6666666666666666,0.25,2.0,1.3333333333333333,0.0
CDMS-10-5B-SRAJA,5.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.6666666666666666,0.13333333333333333,2.0,1.3333333333333333,0.0
CDMS-10-5C-DAAUSA,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.2619047619047619,2.0,1.6,0.0
CDMS-10-5C-ICAPA,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.5833333333333333,0.2,2.0,1.3333333333333335,0.0
CDMS-10-5C-JFALGI,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.6666666666666666,0.3333333333333333,2.0,1.3333333333333333,0.0
CDMS-10-5C-MAORTO,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.75,0.25,2.0,1.5,0.0
CDMS-10-5C-NBEMO,5.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.8571428571428571,0.15,3.0,1.6,0.0
CDMS-10-6B-ASCACO,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.75,0.3333333333333333,2.0,1.3333333333333333,0.0
CDMS-10-6B-JJMOBE,5.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.6,0.16666666666666666,1.0,1.0,0.0
CDMS-11-4A-GACHSA,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.75,0.3,2.0,1.3333333333333333,0.0
CDMS-11-5A-EAARCA,5.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,1.1666666666666667,0.4166666666666667,3.0,1.6666666666666667,0.0
CDMS-11-5A-MGTHAR,5.0,6.5,5.5,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.8452380952380952,0.15476190476190477,3.0,1.7333333333333334,0.0
CDMS-11-6A-DFVEBE,5.0,6.0,6.5,1.0,0.0,0.0,0.0,0.0,3.5,1.0,1.0,0.24821428571428572,2.5,1.5,0.0
CDMS-11-6A-NMREPR,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.6666666666666666,0.45833333333333337,2.0,1.3333333333333333,0.0
CDMS-11-6B-ARAHE,5.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.5714285714285714,0.16666666666666666,2.0,1.3333333333333333,0.0
CDMS-11-6B-AVROTO,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.75,0.3333333333333333,2.0,1.3333333333333333,0.0
CDMS-11-6B-EAFESA,5.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.8,0.4,2.0,1.3333333333333333,0.0
CDMS-11-6B-EFRGR,5.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.7142857142857143,0.15,2.0,1.3333333333333333,0.0
CDMS-11-6B-EROCO,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.8,0.2,3.0,1.8,0.0
