file,window,wc,nodes,edges,re,pe,l1,l2,l3,lcc,lsc,atd,density,diameter,asp,cc
CDMS-10-4A-JURAN,0,11,4,3,1,0,0,0,0,4,1,1.0,0.5,3.0,1.6666666666666667,0.0
CDMS-10-4A-JURAN,1,11,4,3,1,0,0,0,0,4,1,1.0,0.5,3.0,1.6666666666666667,0.0
CDMS-10-4A-JURAN,2,11,4,3,1,0,0,0,0,4,1,1.0,0.5,3.0,1.6666666666666667,0.0
CDMS-10-4A-JURAN,3,11,6,6,1,0,0,0,0,6,1,1.1666666666666667,0.4,4.0,1.9333333333333333,0.27777777777777773
CDMS-10-4A-JURAN,4,11,5,4,0,0,0,0,0,5,1,0.8,0.4,4.0,2.0,0.0
CDMS-10-4A-JURAN,5,11,5,4,0,0,0,0,0,5,1,0.8,0.4,4.0,2.0,0.0
CDMS-10-4A-JURAN,6,11,5,4,0,0,0,0,0,5,1,0.8,0.4,4.0,2.0,0.0
CDMS-10-4A-JURAN,7,11,5,4,0,0,0,0,0,5,1,0.8,0.4,4.0,2.0,0.0
CDMS-10-4A-JURAN,8,11,5,4,0,0,0,0,0,5,1,0.8,0.4,4.0,2.0,0.0
CDMS-10-5A-HEPIHO,0,11,4,2,0,0,0,0,0,2,1,0.5,0.3333333333333333,1.0,1.0,0.0
CDMS-10-5A-HEPIHO,1,11,4,2,0,0,0,0,0,2,1,0.5,0.3333333333333333,1.0,1.0,0.0
CDMS-10-5A-HEPIHO,2,11,6,4,0,0,0,0,0,4,1,0.6666666666666666,0.26666666666666666,3.0,1.6666666666666667,0.0
CDMS-10-5A-HEPIHO,3,11,6,4,0,0,0,0,0,4,1,0.6666666666666666,0.26666666666666666,3.0,1.6666666666666667,0.0
CDMS-10-5A-HEPIHO,4,11,5,4,0,0,0,0,0,5,1,0.8,0.4,3.0,1.8,0.0
CDMS-10-5A-HEPIHO,5,11,5,4,0,0,0,0,0,5,1,0.8,0.4,3.0,1.8,0.0
CDMS-10-5A-HEPIHO,6,11,5,4,0,0,0,0,0,5,1,0.8,0.4,3.0,1.8,0.0
CDMS-10-5A-HEPIHO,7,11,5,4,0,0,0,0,0,5,1,0.8,0.4,3.0,1.8,0.0
CDMS-10-5A-HEPIHO,8,11,4,3,0,0,0,0,0,4,1,0.75,0.5,3.0,1.6666666666666667,0.0
CDMS-10-5A-HEPIHO,9,11,4,3,0,0,0,0,0,4,1,0.75,0.5,3.0,1.6666666666666667,0.0
CDMS-10-5A-HEPIHO,10,11,6,4,0,0,0,0,0,4,1,0.6666666666666666,0.26666666666666666,3.0,1.6666666666666667,0.0
CDMS-10-5A-HEPIHO,11,11,8,5,0,0,0,0,0,4,1,0.625,0.17857142857142858,3.0,1.6666666666666667,0.0
CDMS-10-5A-HEPIHO,12,11,9,6,0,0,0,0,0,5,1,0.6666666666666666,0.16666666666666666,3.0,1.8,0.0
CDMS-10-5A-HEPIHO,13,11,7,4,0,0,0,0,0,3,1,0.5714285714285714,0.19047619047619047,2.0,1.3333333333333333,0.0
CDMS-10-5A-HEPIHO,14,11,7,4,0,0,0,0,0,3,1,0.5714285714285714,0.19047619047619047,2.0,1.3333333333333333,0.0
CDMS-10-5A-HEPIHO,15,11,7,4,0,0,0,0,0,3,1,0.5714285714285714,0.19047619047619047,2.0,1.3333333333333333,0.0
CDMS-10-5A-HEPIHO,16,11,8,5,0,0,0,0,0,4,1,0.625,0.17857142857142858,3.0,1.6666666666666667,0.0
CDMS-10-5A-HEPIHO,17,11,9,6,0,0,0,0,0,5,1,0.6666666666666666,0.16666666666666666,3.0,1.8,0.0
CDMS-10-5A-HEPIHO,18,11,11,7,0,0,0,0,0,5,1,0.6363636363636364,0.12727272727272726,3.0,1.8,0.0
CDMS-10-5A-HEPIHO,19,11,11,7,0,0,0,0,0,5,1,0.6363636363636364,0.12727272727272726,3.0,1.8,0.0
CDMS-10-5A-HEPIHO,20,11,11,7,0,0,0,0,0,5,1,0.6363636363636364,0.12727272727272726,3.0,1.8,0.0
CDMS-10-5A-HEPIHO,21,11,9,6,0,0,0,0,0,5,1,0.6666666666666666,0.16666666666666666,3.0,1.8,0.0
CDMS-10-5A-HEPIHO,22,11,8,6,0,0,0,0,0,6,1,0.75,0.21428571428571427,3.0,1.9333333333333333,0.0
CDMS-10-5A-KSRAGU,0,11,2,1,0,0,0,0,0,2,1,0.5,1.0,1.0,1.0,0.0
CDMS-10-5A-KSRAGU,1,11,4,2,0,0,0,0,0,2,1,0.5,0.3333333333333333,1.0,1.0,0.0
CDMS-10-5A-KSRAGU,2,11,4,2,0,0,0,0,0,2,1,0.5,0.3333333333333333,1.0,1.0,0.0
CDMS-10-5A-KSRAGU,3,11,5,3,0,0,0,0,0,3,1,0.6,0.3,2.0,1.3333333333333333,0.0
CDMS-10-5A-SROPU,0,11,10,10,0,0,0,0,0,10,1,1.0,0.2222222222222222,4.0,2.3333333333333335,0.14333333333333334
CDMS-10-5A-SROPU,1,11,9,9,0,0,0,0,0,9,1,1.0,0.25,4.0,2.2222222222222223,0.15925925925925927
CDMS-10-5A-SROPU,2,11,9,9,0,0,0,0,0,9,1,1.0,0.25,4.0,2.2222222222222223,0.15925925925925927
CDMS-10-5A-SROPU,3,11,8,8,0,0,0,0,0,8,1,1.0,0.2857142857142857,4.0,2.0357142857142856,0.17916666666666667
CDMS-10-5A-SZURO,0,11,10,7,0,0,1,0,0,4,1,0.7,0.13333333333333333,3.0,1.6666666666666667,0.0
CDMS-10-5A-SZURO,1,11,10,7,0,0,1,0,0,4,1,0.7,0.13333333333333333,3.0,1.6666666666666667,0.0
