file,window,wc,nodes,edges,re,pe,l1,l2,l3,lcc,lsc,atd,density,diameter,asp,cc
CDMS-10-4A-JURAN,0,12,4,4,1,0,0,0,0,4,1,1.0,0.3333333333333333,3.0,1.6666666666666667,0.0
CDMS-10-4A-JURAN,1,12,4,4,1,0,0,0,0,4,1,1.0,0.3333333333333333,3.0,1.6666666666666667,0.0
CDMS-10-4A-JURAN,2,12,6,7,1,0,0,0,0,6,1,1.1666666666666667,0.23333333333333334,4.0,1.9333333333333333,0.27777777777777773
CDMS-10-4A-JURAN,3,12,6,7,1,0,0,0,0,6,1,1.1666666666666667,0.23333333333333334,4.0,1.9333333333333333,0.27777777777777773
CDMS-10-4A-JURAN,4,12,5,4,0,0,0,0,0,5,1,0.8,0.2,4.0,2.0,0.0
CDMS-10-4A-JURAN,5,12,5,4,0,0,0,0,0,5,1,0.8,0.2,4.0,2.0,0.0
CDMS-10-4A-JURAN,6,12,5,4,0,0,0,0,0,5,1,0.8,0.2,4.0,2.0,0.0
CDMS-10-4A-JURAN,7,12,5,4,0,0,0,0,0,5,1,0.8,0.2,4.0,2.0,0.0
CDMS-10-5A-HEPIHO,0,12,4,2,0,0,0,0,0,2,1,0.5,0.16666666666666666,1.0,1.0,0.0
CDMS-10-5A-HEPIHO,1,12,6,4,0,0,0,0,0,4,1,0.6666666666666666,0.13333333333333333,3.0,1.6666666666666667,0.0
CDMS-10-5A-HEPIHO,2,12,6,4,0,0,0,0,0,4,1,0.6666666666666666,0.13333333333333333,3.0,1.6666666666666667,0.0
CDMS-10-5A-HEPIHO,3,12,7,5,0,0,0,0,0,5,1,0.7142857142857143,0.11904761904761904,3.0,1.8,0.0
CDMS-10-5A-HEPIHO,4,12,5,4,0,0,0,0,0,5,1,0.8,0.2,3.0,1.8,0.0
CDMS-10-5A-HEPIHO,5,12,5,4,0,0,0,0,0,5,1,0.8,0.2,3.0,1.8,0.0
CDMS-10-5A-HEPIHO,6,12,5,4,0,0,0,0,0,5,1,0.8,0.2,3.0,1.8,0.0
CDMS-10-5A-HEPIHO,7,12,5,4,0,0,0,0,0,5,1,0.8,0.2,3.0,1.8,0.0
