file,z_wc,z_nodes,z_edges,z_re,z_pe,z_l1,z_l2,z_l3,z_lcc,z_lsc,z_atd,z_density,z_diameter,z_asp,z_cc
CDMS-10-4A-JURAN,0.0,2.1887659921812768,0.0,0.0,-0.3944190837437307,-0.8921375937769097,-0.3944190837437307,-0.20008701955792743,-0.3532235900165829,-0.42833393757805366,-1.6888784524678624,-1.0918801407373067,-0.38759072706459696,-0.3875369231969864,-0.34247370925924264
CDMS-10-5A-HEPIHO,0.0,2.4113208684677643,0.0,0.0,-0.4179049564772436,-0.8184482996680337,-0.4179049564772436,-0.1998595728188228,-0.5990702484603542,-0.4464604467220947,-1.8152593862500421,-1.3606855383781513,-0.41886300937623816,-0.40311959808771763,-0.35978426430375854
CDMS-10-5A-KSRAGU,0.0,2.4562923207719067,0.0,0.0,-0.41942327232280346,-0.8122831447383585,-0.41942327232280346,-0.20548007109023145,-0.5035636056510363,-0.44755014338182453,-1.8606158615130024,-1.4121334307442164,-0.5402847163228727,-0.4867846331444277,-0.36834947780823796
CDMS-10-5A-SROPU,0.0,2.365621153035763,0.0,0.0,-0.48680929231222536,-0.8292961311766454,-0.48680929231222536,-0.23686285459852074,-0.1855216247016238,-0.5329457246883437,-1.7864656899189617,-1.384033105966038,0.07058612714239228,0.017613161212858285,-0.44179754869924254
CDMS-10-5A-SZURO,0.0,1.904908546947139,0.0,0.0,-0.49722594892718974,-0.9513793065565248,-0.49722594892718974,-0.25806092519164275,0.19125494819272512,-0.5291450255108162,-1.5392841232750314,-0.876069345277595,-0.1420392756776601,0.017741642672739363,-0.4690706792764091
CDMS-10-5B-SRAJA,0.0,2.3420047466922385,0.0,0.0,-0.4971023894718278,-0.8870920237305153,-0.4971023894718278,-0.24273363582070412,-0.5042704464292533,-0.528294898915996,-1.8742471507033986,-1.2963746411121486,-0.5589453786243295,-0.3947368358885034,-0.41672483916935255
CDMS-10-5C-DAAUSA,0.0,2.284776451423327,0.0,0.0,-0.49022579780087155,-0.8921184396276693,-0.49022579780087155,-0.2635335240335862,-0.13642283093700408,-0.5423314758273929,-1.7662403390859647,-1.2795971978428486,-0.23635000178764543,-0.1427231409580028,-0.4908156186603027
CDMS-10-5C-ICAPA,0.0,1.6126637477201062,0.0,0.0,-0.41196275338262583,-0.9510866092233264,-0.41196275338262583,-0.16792113390069302,0.4286766831316176,-0.4332769959895561,-1.350389430665494,-0.607658471532526,0.16148033221320593,0.24672972237332963,-0.3350954863019852
CDMS-10-5C-JFALGI,0.0,2.1820103651649814,0.0,0.0,-0.39610072641160354,-0.808988998215866,-0.39610072641160354,-0.1567156379151602,-0.40891897832961904,-0.41204444711779276,-1.6430590206399986,-1.2496883838578408,-0.4238251707413463,-0.3290624186184017,-0.30978552658193603
CDMS-10-5C-MAORTO,0.0,2.056408870350155,0.0,0.0,-0.4574782934079255,-0.8691775828170748,-0.4574782934079255,-0.2591903749981328,-0.21233905949864124,-0.49950874288804215,-1.6386547336665283,-1.1614462815925561,-0.3418558393158429,-0.2726781753444213,-0.4662745174548186
