file,z_wc,z_nodes,z_edges,z_re,z_pe,z_l1,z_l2,z_l3,z_lcc,z_lsc,z_atd,z_density,z_diameter,z_asp,z_cc
CDMS-10-4A-JURAN,0.0,0.0,0.0,-0.36719739355277337,-0.016806722689075633,-0.32378119188635396,-0.016806722689075633,0.0,-0.5540559162507996,-0.016806722689075647,0.0,0.0,-0.5488750760733874,-0.6973009702583814,1.497522174999494
CDMS-10-5A-HEPIHO,0.0,0.0,0.0,-0.2655122082330512,-0.023201747252154164,-0.3550550559007276,-0.023201747252154164,0.0,-0.9605037220947621,-0.02320174725215418,0.0,0.0,-1.1340000959801608,-1.1967325290055353,2.1679852929690213
CDMS-10-5A-KSRAGU,0.0,0.0,0.0,0.7446513850340598,-0.022862635882030604,-0.24718332438352153,-0.022862635882030604,0.0,-0.8786397374320533,-0.02286263588203062,0.0,0.0,-0.9558784188058219,-1.0679344331281928,1.040846391107992
CDMS-10-5A-SROPU,0.0,0.0,0.0,-0.67576186924448,-0.09406903543457774,-0.5872290542676525,-0.09428785295423248,-0.014655259544013729,-0.8074203301581454,-0.09702997252845304,0.0,0.0,-1.014970962255675,-1.2829752315930085,4.2885396973699885
CDMS-10-5A-SZURO,0.0,0.0,0.0,-0.6581493656299743,-0.06465326577743218,-0.4783590022170533,-0.06465326577743218,-0.004369729631561793,-0.7890168767168481,-0.06616997548160772,0.0,0.0,-1.2634852238613599,-1.3382268819906975,2.6601054646223683
CDMS-10-5B-SRAJA,0.0,0.0,0.0,0.25183544959874593,-0.10294465964910168,-0.07603238608636517,-0.10294465964910168,-0.03768706775800072,-1.7366157962428457,-0.10753706654534892,0.0,0.0,-1.2954769764511969,-1.316272388483529,1.2246549896467036
CDMS-10-5C-DAAUSA,0.0,0.0,0.0,-0.45300278955102324,-0.11131585661565595,-0.43737424760906246,-0.11659130904736699,-0.02109730896060886,-1.3679738758579885,-0.11918635194809457,0.0,0.0,-1.0152011042557627,-1.2618635721610474,2.8093410683580893
CDMS-10-5C-ICAPA,0.0,0.0,0.0,-0.9084315983079685,-0.06699371418718376,-0.48129504163014675,-0.06699371418718376,0.0,-0.7441398430887124,-0.06629068273353525,0.0,0.0,-1.1909807043285745,-1.2708571074322847,1.9517754553557576
CDMS-10-5C-JFALGI,0.0,0.0,0.0,-0.39168615816979135,-0.019740492575291858,-0.33212615815121455,-0.019740492575291858,0.0,-0.592578699936917,-0.01974049257529187,0.0,0.0,-0.8811847678935488,-1.0087200679299781,2.273072518232161
CDMS-10-5C-MAORTO,0.0,0.0,0.0,0.262539350502361,-0.014062460986213048,-0.20504262845215546,-0.014062460986213048,0.0,-0.9288349511392565,-0.014062460986213061,0.0,0.0,-0.9245395728806262,-1.110295923778787,1.1022198439100805
CDMS-10-5C-NBEMO,0.0,0.0,0.0,-0.6317455687179655,-0.14184852445043705,-0.5985518759969727,-0.14417491585617104,-0.011823974297167203,-1.2024492675202225,-0.14532642577521607,0.0,0.0,-1.3568969738650722,-1.551284742442672,4.283768835793614
