file,z_wc,z_nodes,z_edges,z_re,z_pe,z_l1,z_l2,z_l3,z_lcc,z_lsc,z_atd,z_density,z_diameter,z_asp,z_cc
CDMS-10-4A-JURAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDMS-10-5A-HEPIHO,0.0,0.0,0.0,-0.0751939314211647,0.0,-0.05241930580590263,0.0,0.0,0.12761323722706733,0.0,0.0,0.0,0.12761323722706733,0.12761323722706724,0.0
CDMS-10-5A-KSRAGU,0.0,0.0,0.0,0.0,0.0,-0.13819269959814168,0.0,0.0,0.13819269959814162,0.0,0.0,0.0,0.13819269959814168,0.1381926995981417,0.0
CDMS-10-5A-SROPU,0.0,0.0,0.0,-0.8283520944915781,0.0,-0.27171412434887665,0.0,0.0,0.6597469488647423,0.0,0.0,0.0,0.43836074532370556,0.43341081736016757,0.24053200750936948
CDMS-10-5A-SZURO,0.0,0.0,0.0,-0.15304279069600388,0.0,0.10113458734320391,0.0,0.0,-0.06782949472828974,0.0,0.0,0.0,-0.0678294947282897,-0.06782949472828975,0.0
CDMS-10-5B-SRAJA,0.0,0.0,0.0,0.0,0.0,0.7273361376577251,0.0,0.0,-0.7273361376577251,0.0,0.0,0.0,-0.7273361376577251,-0.727336137657725,0.0
CDMS-10-5C-DAAUSA,0.0,0.0,0.0,-0.5005199349515268,0.0,-0.2727448143851195,0.0,0.0,0.2781784612316724,0.0,0.0,0.0,-0.05026293494904904,0.06487537260364673,0.05462300082137437
CDMS-10-5C-ICAPA,0.0,0.0,0.0,-0.3877015076625583,0.0,0.0,0.0,0.0,0.40736553908405354,0.0,0.0,0.0,0.4373724973501065,0.4101514067474232,0.0
CDMS-10-5C-JFALGI,0.0,0.0,0.0,-0.31857395013109235,0.0,0.0,0.0,0.0,0.31857395013109235,0.0,0.0,0.0,0.31857395013109213,0.3185739501310926,0.0
CDMS-10-5C-MAORTO,0.0,0.0,0.0,-0.10176692104086166,0.0,0.0,0.0,0.0,0.08420461183962864,0.0,0.0,0.0,0.1427803427353793,0.13244753398611522,0.0
CDMS-10-5C-NBEMO,0.0,0.0,0.0,-0.3353468713044054,0.0,0.0,0.0,0.0,0.018012183869609174,0.0,0.0,0.0,0.16475563139816182,-0.040192254508197266,0.0
CDMS-10-6B-ASCACO,0.0,0.0,0.0,-0.23267774254205262,0.0,0.0,0.0,0.0,0.1876006023066235,0.0,0.0,0.0,0.16709122446264582,0.16220943721188186,0.0
CDMS-10-6B-JJMOBE,0.0,0.0,0.0,0.05153025315014614,0.0,0.0,0.0,0.0,-0.028529767759608974,0.0,0.0,0.0,-0.06066213004436974,-0.04182758353151652,0.0
CDMS-11-4A-GACHSA,0.0,0.0,0.0,0.04128859279856706,0.0,-0.07368638618536545,0.0,0.0,-0.05785998357296339,0.0,0.0,0.0,-0.15083756425519002,-0.11550260162733136,0.10993267689334407
CDMS-11-5A-EAARCA,0.0,0.0,0.0,-0.15689786833005928,0.0,-0.17554037278480342,0.0,0.0,0.5376972141934863,0.0,0.0,0.0,0.5222604556435305,0.5984131715471203,-0.3309501687814143
CDMS-11-5A-MGTHAR,0.0,0.0,0.0,-0.30048664548682924,-0.07710580067594537,-0.3061556312254304,-0.07710580067594537,0.0,0.46306384289671826,-0.0771058006759454,0.0,0.0,0.2872607746812692,0.4238250797067037,-0.03027013155236579
CDMS-11-6A-DFVEBE,0.0,0.0,0.0,1.150993377446704,0.0,-0.460206549285388,0.0,0.0,-0.6668299979252118,0.0,0.0,0.0,-0.6580305774487685,-0.48567250855900923,-0.26234040829321154
