file,wc,nodes,edges,re,pe,l1,l2,l3,lcc,lsc,atd,density,diameter,asp,cc
CDMS-10-4A-JURAN,3.0,3.5555555555555554,1.7777777777777777,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.6000000000000001,1.0,1.0,0.0
CDMS-10-5A-HEPIHO,3.0,5.0,3.7777777777777777,0.4444444444444444,0.0,0.0,0.0,0.0,3.2222222222222223,1.0,1.4066137566137566,0.4082010582010582,1.8888888888888888,1.3037037037037036,0.0
CDMS-10-5A-KSRAGU,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
CDMS-10-5A-SROPU,3.0,5.5,3.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,1.1,0.25,1.5,1.1666666666666665,0.0
CDMS-10-5A-SZURO,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0
CDMS-10-5B-SRAJA,3.0,6.714285714285714,5.714285714285714,0.0,0.0,0.42857142857142855,0.0,0.0,5.0,1.0,1.51984126984127,0.3986497629354772,3.142857142857143,1.7069160997732424,0.0
CDMS-10-5C-DAAUSA,3.0,4.5,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.3333333333333333,0.4666666666666666,2.0,1.3333333333333333,0.0
CDMS-10-5C-ICAPA,3.0,3.0,1.5,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.0
CDMS-10-5C-JFALGI,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
CDMS-10-5C-MAORTO,3.0,3.2857142857142856,2.0,0.0,0.0,0.0,0.0,0.0,2.7142857142857144,1.0,1.2,0.6571428571428571,1.7142857142857142,1.238095238095238,0.0
CDMS-10-5C-NBEMO,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.5111111111111111,1.0,1.0,0.0
CDMS-10-6B-ASCACO,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.3333333333333333,0.6666666666666666,2.0,1.3333333333333333,0.0
CDMS-10-6B-JJMOBE,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.25,0.75,2.0,1.3333333333333335,0.0
CDMS-11-4A-GACHSA,3.0,2.769230769230769,1.3846153846153846,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.7435897435897435,1.0,1.0,0.0
CDMS-11-5A-EAARCA,3.0,3.888888888888889,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,2.5555555555555554,1.0,1.1851851851851851,0.4888888888888888,1.5555555555555556,1.1851851851851851,0.0
CDMS-11-5A-MGTHAR,3.0,6.5,5.0,1.25,0.0,0.0,0.0,0.0,3.0,1.0,1.4833333333333334,0.23333333333333334,1.5,1.25,0.0
CDMS-11-6A-DFVEBE,3.0,6.666666666666667,4.333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,3.3333333333333335,1.0,1.2328042328042328,0.23015873015873015,2.0,1.3777777777777775,0.0
CDMS-11-6A-NMREPR,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
CDMS-11-6B-ARAHE,3.0,5.0,3.6,0.6,0.0,0.0,0.0,0.0,3.0,1.0,1.3866666666666667,0.3,2.0,1.3333333333333335,0.0
CDMS-11-6B-AVROTO,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
CDMS-11-6B-EAFESA,3.0,8.25,5.0,0.25,0.0,0.0,0.0,0.0,3.0,1.0,1.2206349206349207,0.1632936507936508,2.0,1.3333333333333333,0.0
CDMS-11-6B-EFRGR,3.0,2.6666666666666665,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.7777777777777777,1.0,1.0,0.0
CDMS-11-6B-EROCO,3.0,4.5,2.25,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.43333333333333335,1.0,1.0,0.0
CDMS-11-6B-JACUPE,3.0,5.0,4.0,0.0,0.0,0.5,0.0,0.0,3.0,1.0,1.375,0.6071428571428572,1.5,1.1666666666666665,0.2916666666666667
CDMS-11-6B-JDCHBA,3.0,4.75,4.25,0.25,0.0,0.0,0.0,0.0,3.75,1.0,1.6833333333333333,0.5416666666666666,2.0,1.3166666666666667,0.0
CDMS-11-6B-JFSAHE,3.0,3.0,1.5,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.0
CDMS-11-6B-JLPENA,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
CDMS-11-6B-JMARME,3.0,7.5,4.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,1.0636363636363637,0.3048821548821549,1.5,1.1666666666666667,0.0
CDMS-11-6B-JPSAMA,3.0,2.6666666666666665,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.7777777777777777,1.0,1.0,0.0
CDMS-11-6B-LESTA,3.0,5.666666666666667,3.3333333333333335,0.3333333333333333,0.0,0.0,0.0,0.0,2.3333333333333335,1.0,1.111111111111111,0.44629629629629636,1.3333333333333333,1.111111111111111,0.0
CDMS-11-6B-MAGIMU,3.0,6.0,3.75,0.5,0.0,0.0,0.0,0.0,2.5,1.0,1.2708333333333333,0.26071428571428573,1.5,1.1666666666666667,0.0
CDMS-11-6B-MEBRTA,3.0,7.5,5.5,0.0,0.0,0.0,0.0,0.0,5.5,1.0,1.4642857142857144,0.22619047619047616,4.5,2.166666666666667,0.0
