file,wc,nodes,edges,re,pe,l1,l2,l3,lcc,lsc,atd,density,diameter,asp,cc
CDMS-10-4A-JURAN,3.0,9.285714285714286,6.285714285714286,0.0,0.0,0.0,0.0,0.0,4.285714285714286,1.0,0.6787284144427002,0.17315541601255885,2.5714285714285716,1.5972789115646258,0.0
CDMS-10-5A-HEPIHO,3.0,18.571428571428573,12.0,0.5714285714285714,0.0,0.0,0.0,0.0,5.285714285714286,1.0,0.6749433106575964,0.0743623765295592,3.4285714285714284,1.9142857142857144,0.0
CDMS-10-5A-KSRAGU,3.0,7.5,4.5,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.5982142857142857,0.18452380952380953,2.0,1.3333333333333333,0.0
CDMS-10-5A-SROPU,3.0,18.0,15.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.8333333333333334,0.09803921568627451,6.0,2.8,0.0
CDMS-10-5A-SZURO,3.0,14.0,7.5,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.6076923076923078,0.08296703296703298,2.0,1.3333333333333333,0.0
CDMS-10-5B-SRAJA,3.0,16.333333333333332,13.333333333333334,2.0,0.0,0.0,0.0,0.0,9.5,1.0,0.8683661145617667,0.11077227819218666,3.8333333333333335,2.1428748266983564,0.0
CDMS-10-5C-DAAUSA,3.0,12.0,9.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.7777777777777777,0.17908496732026144,3.0,1.9285714285714286,0.0
CDMS-10-5C-ICAPA,3.0,8.666666666666666,5.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.6936507936507935,0.15423280423280425,2.0,1.3333333333333333,0.0
CDMS-10-5C-JFALGI,3.0,10.5,6.75,0.25,0.0,0.0,0.0,0.0,3.75,1.0,0.6699175824175825,0.1488011988011988,2.75,1.5833333333333333,0.0
CDMS-10-5C-MAORTO,3.0,9.4,6.4,0.0,0.0,0.0,0.0,0.0,4.6,1.0,0.6746231546231546,0.18075369075369074,2.8,1.6933333333333334,0.0
CDMS-10-5C-NBEMO,3.0,9.333333333333334,5.666666666666667,0.3333333333333333,0.0,0.0,0.0,0.0,3.0,1.0,0.6295787545787546,0.1572039072039072,2.0,1.3333333333333333,0.0
CDMS-10-6B-ASCACO,3.0,12.0,6.5,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.5416666666666667,0.09848484848484848,1.5,1.25,0.0
CDMS-10-6B-JJMOBE,3.0,21.0,15.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.7142857142857143,0.07142857142857142,6.0,2.977777777777778,0.0
CDMS-11-4A-GACHSA,3.0,8.222222222222221,5.222222222222222,0.4444444444444444,0.0,0.0,0.0,0.0,3.888888888888889,1.0,0.7006613756613757,0.18977072310405646,2.6666666666666665,1.5682539682539682,0.0
CDMS-11-5A-EAARCA,3.0,12.0,7.5,0.0,0.0,0.0,0.0,0.0,4.125,1.0,0.6259885947385947,0.11512654012654013,2.75,1.6416666666666666,0.0
CDMS-11-5A-MGTHAR,3.0,12.0,10.0,2.5,0.0,0.0,0.0,0.0,8.0,1.0,1.05,0.15482295482295483,4.0,2.365079365079365,0.0
CDMS-11-6A-DFVEBE,3.0,19.0,14.0,2.0,0.0,0.0,0.0,0.0,9.0,1.0,0.8421052631578947,0.08187134502923976,4.0,2.388888888888889,0.0
CDMS-11-6A-NMREPR,3.0,15.0,8.5,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.5669642857142857,0.08145604395604396,2.0,1.3333333333333333,0.0
CDMS-11-6B-ARAHE,3.0,18.0,13.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.7222222222222222,0.08496732026143791,5.0,2.4761904761904763,0.0
CDMS-11-6B-AVROTO,3.0,7.75,4.5,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.5658369408369408,0.197492784992785,2.0,1.3333333333333333,0.0
CDMS-11-6B-EAFESA,3.0,16.5,12.0,0.5,0.0,0.0,0.0,0.0,7.5,1.0,0.7555147058823529,0.09313725490196079,3.0,1.8954545454545455,0.0
CDMS-11-6B-EFRGR,3.0,17.666666666666668,10.333333333333334,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,1.0,0.5802054154995332,0.07054154995331467,2.6666666666666665,1.5555555555555556,0.0
CDMS-11-6B-EROCO,3.0,13.666666666666666,8.666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,3.3333333333333335,1.0,0.6787878787878787,0.10274170274170273,2.3333333333333335,1.4444444444444444,0.0
CDMS-11-6B-JACUPE,3.0,22.0,16.0,1.5,0.0,0.0,0.0,0.0,7.0,1.0,0.7960662525879918,0.06931112365894974,4.5,2.2857142857142856,0.0
CDMS-11-6B-JDCHBA,3.0,13.0,9.5,2.0,0.0,0.0,0.0,0.0,6.0,1.0,0.8817099567099567,0.12335997335997335,3.25,1.9222222222222223,0.0
CDMS-11-6B-JFSAHE,3.0,7.75,4.75,0.0,0.0,0.0,0.0,0.0,3.125,1.0,0.6145337301587301,0.20234487734487736,2.0,1.3541666666666665,0.0
CDMS-11-6B-JLPENA,3.0,9.666666666666666,5.333333333333333,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.6526875901875901,0.13632756132756133,2.0,1.3333333333333333,0.0
CDMS-11-6B-JMARME,3.0,16.5,11.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.7261029411764706,0.0857843137254902,3.0,1.6666666666666667,0.0
CDMS-11-6B-JPSAMA,3.0,12.5,8.5,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.7666666666666666,0.1253968253968254,2.0,1.5,0.0
CDMS-11-6B-LESTA,3.0,15.5,11.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.7729166666666667,0.09761904761904762,2.5,1.7571428571428571,0.0
CDMS-11-6B-MAGIMU,3.0,11.0,7.5,0.5,0.0,0.0,0.0,0.0,4.0,1.0,0.7380952380952381,0.16254578754578752,3.0,1.6666666666666665,0.0
CDMS-11-6B-MEBRTA,3.0,16.0,11.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,0.75,0.09166666666666666,4.0,2.2142857142857144,0.0
CDMS-11-6B-MMAMO,3.0,9.714285714285714,6.857142857142857,0.0,0.0,0.0,0.0,0.0,5.285714285714286,1.0,0.7063928135356707,0.29911913483342056,2.857142857142857,1.745578231292517,0.0
CDMS-11-6B-RSECA,3.0,12.5,7.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.5608974358974359,0.0979020979020979,2.0,1.3333333333333333,0.0
CDMS-11-6B-SCAPA,3.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.6,0.13333333333333333,2.0,1.3333333333333333,0.0
CDMS-11-6B-VZAPE,3.0,15.5,10.5,0.5,0.0,0.0,0.0,0.0,5.5,1.0,0.6864035087719298,0.09396597554492292,3.5,1.880952380952381,0.0
CDMS-11-6B-YLNIME,3.0,18.5,11.5,0.0,0.0,0.0,0.0,0.0,3.5,1.0,0.6191176470588236,0.07097523219814242,2.5,1.5,0.0
CDMS-11-7C-ICARE,3.0,12.0,7.0,0.3333333333333333,0.0,0.0,0.0,0.0,3.3333333333333335,1.0,0.5905982905982906,0.10927960927960928,2.0,1.3777777777777775,0.0
CDMS-11-7C-IMOIB,3.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,3.5,1.0,0.6364718614718614,0.13154345654345653,2.5,1.5,0.0
CDMS-11-7C-SALMA,3.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.6607142857142857,0.1510989010989011,3.0,1.8166666666666667,0.0
CDMS-11-7C-SPGAVE,3.0,13.0,9.333333333333334,0.3333333333333333,0.0,0.0,0.0,0.0,6.0,1.0,0.7333333333333334,0.1253968253968254,3.6666666666666665,2.084920634920635,0.0
CDMS-12-5A-SRIGO,3.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.6470588235294118,0.08088235294117647,4.0,2.0,0.0
CDMS-12-6A-JGIGA,3.0,18.0,12.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.7222222222222222,0.0784313725490196,5.0,2.380952380952381,0.0
CDMS-12-6A-JSOTGU,3.0,13.5,8.5,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.6789772727272727,0.10037878787878787,3.0,1.6666666666666665,0.0
CDMS-12-6A-SROAL,3.0,13.25,8.5,0.5,0.0,0.0,0.0,0.0,3.5,1.0,0.6739718614718615,0.10597527472527472,2.0,1.4166666666666665,0.0
CDMS-12-6B-IJDAGA,3.0,16.0,11.5,0.75,0.0,0.0,0.0,0.0,6.0,1.0,0.803125,0.1306390977443609,3.75,2.0083333333333333,0.0
CDMS-12-6B-SCLAG,3.0,15.333333333333334,9.0,3.0,0.0,0.0,0.0,0.0,3.6666666666666665,1.0,0.7664027149321267,0.0818753142282554,2.6666666666666665,1.5555555555555554,0.0
CDMS-12-7C-ARAHE,3.0,12.333333333333334,8.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,1.0,0.6527472527472528,0.11900691900691901,2.0,1.5333333333333332,0.0
CDMS-12-7C-CATRAR,3.0,12.0,7.5,0.0,0.0,0.0,0.0,0.0,3.5,1.0,0.625,0.11363636363636365,2.5,1.5,0.0
CDMS-12-7C-DLOLO,3.0,12.333333333333334,7.833333333333333,1.0,0.0,0.0,0.0,0.0,4.166666666666667,1.0,0.7569444444444445,0.12477152477152477,3.1666666666666665,1.7222222222222223,0.0
CDMS-12-7C-JSZAOR,3.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.5384615384615384,0.08974358974358974,2.0,1.3333333333333333,0.0
CDMS-12-7C-MAROBE,3.0,15.0,11.0,0.5,0.0,0.0,0.0,0.0,6.5,1.0,0.7669683257918551,0.10822021116138764,4.0,2.2095238095238097,0.0
CDMS-12-7C-VMAPA,3.0,16.0,11.333333333333334,0.0,0.0,0.0,0.0,0.0,6.333333333333333,1.0,0.701860231271996,0.09464555052790347,2.6666666666666665,1.7962962962962965,0.0
CDMS-12-7C-VQURA,3.0,5.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,1.0,0.5333333333333333,0.27777777777777773,1.3333333333333333,1.111111111111111,0.0
CDMS-13-6B-ASUMO,3.0,13.5,8.5,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.6291208791208791,0.10073260073260074,2.0,1.3333333333333333,0.0
CDMS-13-6B-JDTAHE,3.0,6.0,3.5,0.5,0.0,0.0,0.0,0.0,2.75,1.0,0.6178571428571429,0.40595238095238095,1.75,1.25,0.0
CDMS-13-7C-MVEAR,3.0,8.4,5.2,0.6,0.0,0.0,0.0,0.0,3.6,1.0,0.6784126984126984,0.1692063492063492,2.6,1.5333333333333332,0.0
CDMS-13-7C-RAIZAC,3.0,7.75,5.0,0.0,0.0,0.0,0.0,0.0,3.5,1.0,0.6473214285714286,0.19345238095238096,2.25,1.4583333333333333,0.0
CDMS-13-7C-SSOSLO,3.0,10.5,7.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.75,0.14393939393939392,2.0,1.5,0.0
CDMS-14-10A-IMORTO,3.0,10.333333333333334,7.666666666666667,0.0,0.0,0.0,0.0,0.0,6.666666666666667,1.0,0.714951714951715,0.158985458985459,4.333333333333333,2.17979797979798,0.0
CDMS-14-10A-JCVANI,3.0,12.75,7.5,0.5,0.0,0.0,0.0,0.0,3.75,1.0,0.6326923076923077,0.10283882783882783,2.0,1.4583333333333333,0.0
CDMS-14-5A-LSDUCO,3.0,12.5,8.5,1.0,0.0,0.0,0.0,0.0,4.5,1.0,0.7467532467532467,0.11498501498501498,3.0,1.6,0.0
CDMS-14-6B-KDCAHE,3.0,9.333333333333334,5.333333333333333,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.5666666666666667,0.1365079365079365,2.0,1.3333333333333333,0.0
CDMS-15-10A-AMALOS,3.0,7.3,4.7,0.4,0.0,0.0,0.0,0.0,3.8,1.0,0.7254172679172679,0.24562049062049063,2.3,1.497142857142857,0.0
CDMS-15-10A-JJMACH,3.0,17.333333333333332,10.833333333333334,0.5,0.0,0.0,0.0,0.0,4.333333333333333,1.0,0.6415231941547731,0.08873045252907952,2.8333333333333335,1.6492063492063493,0.0
CDMS-15-10A-MAALRI,3.0,19.0,11.5,1.5,0.0,0.0,0.0,0.0,4.5,1.0,0.6846590909090908,0.0698051948051948,2.5,1.65,0.0
CDMS-15-10A-SGOMO,3.0,8.666666666666666,6.333333333333333,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.7478354978354979,0.20909090909090908,3.3333333333333335,1.8730158730158728,0.0
CDMS-15-10A-SHEGA,3.0,23.0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.5652173913043478,0.05138339920948617,2.0,1.3333333333333333,0.0
CDMS-15-11B-JEMOLO,3.0,10.5,6.4,1.1,0.0,0.0,0.0,0.0,3.5,1.0,0.734217032967033,0.23978648544438017,2.3,1.4466666666666668,0.0
CDMS-15-11B-VSAHO,3.0,18.0,13.5,0.5,0.0,0.0,0.0,0.0,11.0,1.0,0.7777777777777778,0.08823529411764705,4.5,2.679292929292929,0.0
CDMS-16-10A-SGALO,3.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.6696832579185521,0.09813348416289594,5.0,2.3333333333333335,0.0
