file,wc,nodes,edges,re,pe,l1,l2,l3,lcc,lsc,atd,density,diameter,asp,cc
CDMS-10-4A-JURAN,4.0,12.0,11.333333333333334,0.0,0.0,0.0,0.0,0.0,5.333333333333333,1.0,0.9444978632478632,0.17716588966588967,2.3333333333333335,1.4896825396825397,0.6652777777777777
CDMS-10-5A-HEPIHO,4.0,22.666666666666668,18.166666666666668,1.0,0.0,0.0,0.0,0.0,5.833333333333333,1.0,0.8444852249200075,0.07388324236150323,2.8333333333333335,1.6833333333333333,0.4388888888888889
CDMS-10-5A-KSRAGU,4.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.7,0.15555555555555556,1.0,1.0,1.0
CDMS-10-5A-SZURO,4.0,17.0,10.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.7058823529411765,0.07352941176470588,1.0,1.0,1.0
CDMS-10-5B-SRAJA,4.0,20.8,27.0,3.4,0.0,0.6,0.0,0.0,13.6,1.0,1.4075431235431235,0.12517468191610068,4.6,2.192723676392407,0.44786381462916547
CDMS-10-5C-DAAUSA,4.0,18.0,18.0,2.0,0.0,0.0,0.0,0.0,8.0,1.0,1.1111111111111112,0.11764705882352941,4.0,2.142857142857143,0.3333333333333333
CDMS-10-5C-ICAPA,4.0,10.5,6.5,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.7181818181818183,0.13232323232323231,2.0,1.3333333333333333,0.0
CDMS-10-5C-JFALGI,4.0,14.0,10.0,0.3333333333333333,0.0,0.0,0.0,0.0,4.0,1.0,0.7388888888888889,0.11212121212121212,2.3333333333333335,1.4555555555555557,0.48888888888888893
CDMS-10-5C-MAORTO,4.0,11.5,10.75,0.0,0.0,0.0,0.0,0.0,5.25,1.0,0.9438616938616939,0.1872766122766123,2.25,1.4333333333333333,0.6916666666666667
CDMS-10-5C-NBEMO,4.0,11.5,9.5,0.5,0.0,0.0,0.0,0.0,3.0,1.0,0.8615384615384616,0.1594017094017094,1.0,1.0,1.0
CDMS-10-6B-ASCACO,4.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.7058823529411765,0.08823529411764706,3.0,1.5,0.5333333333333333
CDMS-11-4A-GACHSA,4.0,10.25,8.375,0.75,0.0,0.0,0.0,0.0,4.375,1.0,0.8981060606060607,0.18232323232323233,2.0,1.3416666666666668,0.7348214285714285
CDMS-11-5A-EAARCA,4.0,15.142857142857142,13.0,0.0,0.0,0.0,0.0,0.0,5.142857142857143,1.0,0.8568976308472107,0.1228909512522958,2.4285714285714284,1.4714285714285713,0.6996598639455781
CDMS-11-5A-MGTHAR,4.0,14.0,18.0,5.0,0.0,0.0,0.0,0.0,9.0,1.0,1.6428571428571428,0.1978021978021978,3.0,1.8888888888888888,0.837037037037037
CDMS-11-6A-NMREPR,4.0,23.0,16.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.6956521739130435,0.06324110671936758,3.0,1.8,0.0
CDMS-11-6B-AVROTO,4.0,9.666666666666666,6.666666666666667,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,1.0,0.6936026936026937,0.1627946127946128,2.0,1.3333333333333333,0.5277777777777778
CDMS-11-6B-EAFESA,4.0,23.0,25.0,2.0,0.0,0.0,0.0,0.0,13.0,1.0,1.173913043478261,0.09881422924901186,4.0,2.230769230769231,0.6146520146520147
CDMS-11-6B-EFRGR,4.0,20.5,14.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.6821428571428572,0.0699248120300752,2.0,1.3333333333333333,0.5833333333333334
CDMS-11-6B-EROCO,4.0,17.0,14.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.8823529411764706,0.10294117647058823,3.0,1.6666666666666667,0.0
CDMS-11-6B-JACUPE,4.0,29.0,29.0,2.0,0.0,1.0,0.0,0.0,7.0,1.0,1.0689655172413792,0.06896551724137931,3.0,1.619047619047619,0.7000000000000001
CDMS-11-6B-JDCHBA,4.0,16.666666666666668,18.0,3.0,0.0,0.0,0.0,0.0,8.0,1.0,1.2540305010893247,0.13821195144724557,4.0,1.9863247863247864,0.27435897435897433
CDMS-11-6B-JFSAHE,4.0,9.714285714285714,6.857142857142857,0.0,0.0,0.0,0.0,0.0,3.5714285714285716,1.0,0.7051948051948053,0.16509997938569368,1.7142857142857142,1.3,0.42857142857142855
CDMS-11-6B-JLPENA,4.0,12.8,8.0,1.6,0.0,0.0,0.0,0.0,3.6,1.0,0.7494505494505495,0.1057942057942058,1.8,1.2533333333333334,0.5
CDMS-11-6B-JMARME,4.0,23.0,22.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.08695652173913043,2.0,1.3333333333333333,0.5833333333333334
CDMS-11-6B-JPSAMA,4.0,16.0,13.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.875,0.10833333333333334,2.0,1.3333333333333333,0.5833333333333334
CDMS-11-6B-LESTA,4.0,21.0,21.0,3.0,0.0,0.0,0.0,0.0,8.0,1.0,1.1428571428571428,0.1,2.0,1.6785714285714286,0.34523809523809523
CDMS-11-6B-MAGIMU,4.0,14.0,14.333333333333334,1.3333333333333333,0.0,0.0,0.0,0.0,5.666666666666667,1.0,1.1291666666666667,0.17500000000000002,2.3333333333333335,1.5539682539682538,0.7031746031746032
CDMS-11-6B-MMAMO,4.0,12.5,11.166666666666666,0.0,0.0,0.0,0.0,0.0,6.833333333333333,1.0,0.9456349206349207,0.2027777777777778,2.8333333333333335,1.7415343915343915,0.45943562610229277
CDMS-11-6B-RSECA,4.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.6666666666666666,0.09523809523809523,3.0,1.6666666666666667,0.0
CDMS-11-6B-VZAPE,4.0,21.0,21.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0476190476190477,0.1,2.0,1.4761904761904763,0.8571428571428571
CDMS-11-6B-YLNIME,4.0,22.0,16.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.7272727272727273,0.06926406926406926,4.0,2.0,0.0
CDMS-11-7C-ICARE,4.0,17.0,12.5,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.7736842105263158,0.08964076858813701,2.0,1.25,0.7666666666666666
CDMS-11-7C-IMOIB,4.0,14.666666666666666,11.666666666666666,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,1.0,0.7928248222365869,0.11734180851827909,1.6666666666666667,1.222222222222222,0.7222222222222223
CDMS-11-7C-SALMA,4.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.75,0.1,4.0,1.8666666666666667,0.4444444444444444
