file,wc,nodes,edges,re,pe,l1,l2,l3,lcc,lsc,atd,density,diameter,asp,cc
CDMS-10-4A-JURAN-CorrEtiq.txt,30.0,23.0,29.0,1.0,0.0,0.0,0.0,0.0,23.0,21.0,2.5217391304347827,0.11067193675889328,7.0,3.322463768115942,0.0
CDMS-10-5A-HEPIHO-CorrEtiq.txt,30.0,25.0,29.0,0.0,0.0,0.0,0.0,0.0,25.0,20.0,2.32,0.09666666666666666,9.0,3.9130434782608696,0.0
CDMS-10-5A-KSRAGU-CorrEtiq.txt,30.0,21.0,29.0,0.0,0.0,1.0,0.0,2.0,21.0,19.0,2.761904761904762,0.12857142857142856,6.0,3.1285714285714286,0.17976190476190473
CDMS-10-5A-SROPU-CorrEtiq.txt,30.0,22.0,29.0,0.0,0.0,1.0,0.0,0.0,22.0,20.0,2.6363636363636362,0.11575381140598531,7.0,3.3155844155844156,0.0
CDMS-10-5A-SZURO-CorrEtiq.txt,30.0,27.0,29.0,0.0,0.0,0.0,0.0,0.0,27.0,20.0,2.1481481481481484,0.08262108262108261,12.0,5.1424501424501425,0.0
CDMS-10-5B-SRAJA-CorrEtiq.txt,30.0,23.0,29.0,1.0,0.0,0.0,0.0,0.0,23.0,20.0,2.5217391304347827,0.11067193675889328,7.0,3.3731884057971016,0.07017543859649122
CDMS-10-5C-DAAUSA-CorrEtiq.txt,30.0,22.0,29.0,0.0,1.0,0.0,1.0,0.0,22.0,20.0,2.6363636363636362,0.11688311688311688,7.0,3.229437229437229,0.022233201581027668
CDMS-10-5C-ICAPA-CorrEtiq.txt,30.0,25.0,29.0,0.0,1.0,0.0,1.0,0.0,25.0,21.5,2.32,0.095,8.0,3.7244202898550727,0.0
CDMS-10-5C-JFALGI-CorrEtiq.txt,30.0,23.0,29.0,0.0,0.0,0.0,0.0,0.0,23.0,21.0,2.5217391304347827,0.11462450592885376,7.0,3.2371541501976284,0.049275362318840575
CDMS-10-5C-MAORTO-CorrEtiq.txt,30.0,24.0,29.0,1.0,0.0,0.0,0.0,1.0,24.0,18.0,2.4166666666666665,0.10144927536231885,9.0,3.973809523809524,0.058646616541353384
CDMS-10-5C-NBEMO-CorrEtiq.txt,30.0,23.0,29.0,1.0,2.0,2.0,1.0,0.0,23.0,20.5,2.5217391304347827,0.10276679841897234,8.5,3.6196969696969696,0.0
CDMS-10-6B-ASCACO-CorrEtiq.txt,30.0,25.0,29.0,0.0,0.0,0.0,0.0,1.0,25.0,22.0,2.32,0.09666666666666666,9.0,3.92,0.04776556776556777
CDMS-10-6B-JJMOBE-CorrEtiq.txt,30.0,24.0,29.0,0.0,0.0,0.0,0.0,1.0,24.0,20.5,2.4166666666666665,0.10507246376811594,8.0,3.529808959156785,0.06385869565217392
CDMS-11-4A-GACHSA-CorrEtiq.txt,30.0,24.0,29.0,0.0,0.0,0.0,0.0,1.0,24.0,20.0,2.4166666666666665,0.09782608695652174,9.0,4.203333333333333,0.03333333333333333
CDMS-11-5A-EAARCA-CorrEtiq.txt,30.0,24.0,29.0,0.0,0.0,0.0,0.0,0.0,24.0,20.5,2.4166666666666665,0.10507246376811594,8.5,3.61231884057971,0.0
CDMS-11-5A-MGTHAR-CorrEtiq.txt,30.0,20.0,29.0,0.0,0.0,0.0,0.0,1.0,20.0,18.0,2.8,0.1380952380952381,5.0,2.6857142857142855,0.06011904761904763
CDMS-11-6A-DFVEBE-CorrEtiq.txt,30.0,22.0,29.0,0.0,1.0,1.0,1.0,0.0,22.0,20.0,2.6363636363636362,0.12121212121212122,6.0,3.1255411255411256,0.0
