file,wc,nodes,edges,re,pe,l1,l2,l3,lcc,lsc,atd,density,diameter,asp,cc
CDMS-10-4A-JURAN,2.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.6666666666666666,0.23809523809523808,3.0,1.6666666666666667,0.0
CDMS-10-5A-HEPIHO,2.0,13.5,8.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.6153846153846154,0.10073260073260074,2.0,1.5,0.0
CDMS-10-5A-KSRAGU,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.6,0.3,2.0,1.3333333333333333,0.0
CDMS-10-5A-SROPU,2.0,13.5,9.5,0.0,0.0,0.0,0.0,0.0,4.5,1.0,0.6944444444444444,0.12581699346405228,3.5,1.8333333333333335,0.0
CDMS-10-5A-SZURO,2.0,11.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.6363636363636364,0.10909090909090909,2.0,1.3333333333333333,0.0
CDMS-10-5B-SRAJA,2.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.6666666666666666,0.13333333333333333,2.0,1.5,0.0
CDMS-10-5C-DAAUSA,2.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.75,0.26666666666666666,2.0,1.5,0.0
CDMS-10-5C-ICAPA,2.0,5.0,3.0,0.5,0.0,0.0,0.0,0.0,3.0,1.0,0.6571428571428571,0.3,2.0,1.3333333333333333,0.0
CDMS-10-5C-JFALGI,2.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.6,0.23809523809523808,2.0,1.3333333333333333,0.0
CDMS-10-5C-MAORTO,2.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.6666666666666666,0.16666666666666666,2.0,1.5,0.0
CDMS-10-5C-NBEMO,2.0,6.5,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.6125,0.23928571428571427,2.0,1.3333333333333333,0.0
CDMS-10-6B-ASCACO,2.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.14285714285714285,1.0,1.0,0.0
CDMS-10-6B-JJMOBE,2.0,13.5,9.5,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.7166666666666667,0.11861471861471862,4.0,2.238888888888889,0.0
CDMS-11-4A-GACHSA,2.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.6125,0.2833333333333333,2.0,1.3333333333333333,0.0
CDMS-11-5A-EAARCA,2.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.6,0.19047619047619047,2.0,1.3333333333333333,0.0
CDMS-11-5A-MGTHAR,2.0,9.0,6.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.17777777777777778,4.0,2.0,0.0
CDMS-11-6A-DFVEBE,2.0,12.5,9.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.801948051948052,0.12767232767232767,4.0,2.1,0.0
CDMS-11-6A-NMREPR,2.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.5833333333333334,0.10606060606060606,2.0,1.3333333333333333,0.0
CDMS-11-6B-ARAHE,2.0,13.5,9.0,0.0,0.0,0.0,0.0,0.0,4.5,1.0,0.6583333333333333,0.10541125541125541,3.0,1.7333333333333334,0.0
CDMS-11-6B-AVROTO,2.0,8.0,4.5,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.5634920634920635,0.16468253968253968,2.0,1.3333333333333333,0.0
CDMS-11-6B-EAFESA,2.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.6923076923076923,0.16666666666666666,2.0,1.5,0.0
CDMS-11-6B-EFRGR,2.0,11.5,6.5,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.5441176470588236,0.10909090909090909,2.0,1.3333333333333335,0.0
CDMS-11-6B-EROCO,2.0,9.0,5.5,0.5,0.0,0.0,0.0,0.0,3.0,1.0,0.6666666666666666,0.1527777777777778,2.0,1.3333333333333333,0.0
CDMS-11-6B-JACUPE,2.0,15.0,11.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.8,0.10476190476190476,4.0,2.1333333333333333,0.0
CDMS-11-6B-JDCHBA,2.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,0.8571428571428571,0.23809523809523808,2.0,1.6,0.0
CDMS-11-6B-JFSAHE,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.6,0.3,2.0,1.3333333333333333,0.0
CDMS-11-6B-JLPENA,2.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.6,0.2,1.0,1.0,0.0
CDMS-11-6B-JMARME,2.0,11.0,7.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.7,0.12727272727272726,3.0,1.6666666666666667,0.0
CDMS-11-6B-JPSAMA,2.0,8.0,6.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.8,0.19047619047619047,2.0,1.5,0.0
CDMS-11-6B-LESTA,2.0,10.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.7,0.13333333333333333,2.0,1.3333333333333333,0.0
CDMS-11-6B-MAGIMU,2.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.7272727272727273,0.26666666666666666,2.0,1.3333333333333333,0.0
CDMS-11-6B-MEBRTA,2.0,12.0,8.5,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.8125,0.15297619047619046,3.0,1.9404761904761907,0.0
CDMS-11-6B-MMAMO,2.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.6153846153846154,0.25,2.0,1.3333333333333333,0.0
CDMS-11-6B-RSECA,2.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.5555555555555556,0.1388888888888889,2.0,1.3333333333333333,0.0
CDMS-11-6B-SCAPA,2.0,6.0,3.5,0.0,0.0,0.0,0.0,0.0,2.5,1.0,0.5625,0.25595238095238093,1.5,1.1666666666666665,0.0
CDMS-11-6B-VZAPE,2.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.6,0.13333333333333333,3.0,1.6666666666666667,0.0
CDMS-11-6B-YLNIME,2.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.6153846153846154,0.10909090909090909,2.0,1.3333333333333333,0.0
CDMS-11-7C-ICARE,2.0,7.5,4.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,0.5277777777777778,0.16944444444444445,1.5,1.1666666666666665,0.0
CDMS-11-7C-IMOIB,2.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.625,0.19047619047619047,2.0,1.3333333333333333,0.0
CDMS-11-7C-SALMA,2.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.6666666666666666,0.21428571428571427,2.0,1.5,0.0
CDMS-11-7C-SPGAVE,2.0,9.5,6.5,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.6904761904761905,0.17965367965367965,2.0,1.5,0.0
CDMS-12-5A-SRIGO,2.0,9.0,5.5,0.0,0.0,0.0,0.0,0.0,3.5,1.0,0.6076923076923078,0.2012820512820513,2.0,1.4166666666666665,0.0
