file,window,wc,nodes,edges,re,pe,l1,l2,l3,lcc,lsc,atd,density,diameter,asp,cc
CDMS-10-4A-JURAN,0,4,10,8,0,0,0,0,0,3,1,0.8,0.08888888888888889,1.0,1.0,1.0
CDMS-10-4A-JURAN,1,4,13,11,0,0,0,0,0,3,1,0.8461538461538461,0.07051282051282051,1.0,1.0,1.0
CDMS-10-4A-JURAN,2,4,16,15,0,0,0,0,0,6,1,0.9375,0.0625,2.0,1.5333333333333334,0.7000000000000001
CDMS-10-4A-JURAN,3,4,11,11,0,0,0,0,0,4,1,1.0,0.1,2.0,1.3333333333333333,0.5833333333333334
CDMS-10-4A-JURAN,4,4,12,13,0,0,0,0,0,8,1,1.0833333333333333,0.09848484848484848,4.0,2.0357142857142856,0.3541666666666667
CDMS-10-4A-JURAN,5,4,10,10,0,0,0,0,0,8,1,1.0,0.1111111111111111,4.0,2.0357142857142856,0.3541666666666667
CDMS-10-5A-HEPIHO,0,4,24,19,0,0,0,0,0,6,1,0.7916666666666666,0.034420289855072464,4.0,1.8666666666666667,0.4444444444444444
CDMS-10-5A-HEPIHO,1,4,22,20,1,0,0,0,0,6,1,0.9090909090909091,0.04329004329004329,4.0,1.8666666666666667,0.4444444444444444
CDMS-10-5A-HEPIHO,2,4,21,16,1,0,0,0,0,6,1,0.7619047619047619,0.0380952380952381,3.0,1.6666666666666667,0.611111111111111
CDMS-10-5A-HEPIHO,3,4,22,17,1,0,0,0,0,6,1,0.7727272727272727,0.0367965367965368,2.0,1.6,0.35000000000000003
CDMS-10-5A-HEPIHO,4,4,24,21,1,0,0,0,0,6,1,0.875,0.03804347826086957,2.0,1.6,0.35000000000000003
CDMS-10-5A-HEPIHO,5,4,23,22,2,0,0,0,0,5,1,0.9565217391304348,0.043478260869565216,2.0,1.5,0.4333333333333333
CDMS-10-5A-KSRAGU,0,4,10,7,0,0,0,0,0,3,1,0.7,0.07777777777777778,1.0,1.0,1.0
CDMS-10-5A-SZURO,0,4,17,12,2,0,0,0,0,3,1,0.7058823529411765,0.04411764705882353,1.0,1.0,1.0
CDMS-10-5B-SRAJA,0,4,13,10,0,0,0,0,0,3,1,0.7692307692307693,0.0641025641025641,2.0,1.3333333333333333,0.0
CDMS-10-5B-SRAJA,1,4,22,26,1,0,0,0,0,12,1,1.1818181818181819,0.05627705627705628,4.0,2.121212121212121,0.684126984126984
CDMS-10-5B-SRAJA,2,4,24,40,4,0,1,0,0,19,1,1.6666666666666667,0.07246376811594203,6.0,2.5964912280701755,0.5391812865497075
CDMS-10-5B-SRAJA,3,4,25,38,4,0,1,0,0,18,1,1.52,0.06333333333333334,6.0,2.6209150326797386,0.5135802469135802
CDMS-10-5B-SRAJA,4,4,20,38,8,0,1,0,0,16,1,1.9,0.1,5.0,2.2916666666666665,0.5024305555555555
CDMS-10-5C-DAAUSA,0,4,18,20,2,0,0,0,0,8,1,1.1111111111111112,0.06535947712418301,4.0,2.142857142857143,0.3333333333333333
CDMS-10-5C-ICAPA,0,4,11,7,1,0,0,0,0,3,1,0.6363636363636364,0.06363636363636363,2.0,1.3333333333333333,0.0
CDMS-10-5C-ICAPA,1,4,10,8,1,0,0,0,0,3,1,0.8,0.08888888888888889,2.0,1.3333333333333333,0.0
CDMS-10-5C-JFALGI,0,4,12,9,0,0,0,0,0,5,1,0.75,0.06818181818181818,3.0,1.7,0.4666666666666667
CDMS-10-5C-JFALGI,1,4,15,10,0,0,0,0,0,3,1,0.6666666666666666,0.047619047619047616,1.0,1.0,1.0
CDMS-10-5C-JFALGI,2,4,15,12,1,0,0,0,0,4,1,0.8,0.05714285714285714,3.0,1.6666666666666667,0.0
CDMS-10-5C-MAORTO,0,4,11,9,0,0,0,0,0,4,1,0.8181818181818182,0.08181818181818182,2.0,1.1666666666666667,0.8333333333333333
CDMS-10-5C-MAORTO,1,4,13,12,0,0,0,0,0,5,1,0.9230769230769231,0.07692307692307693,3.0,1.5,0.5333333333333333
CDMS-10-5C-MAORTO,2,4,9,10,0,0,0,0,0,6,1,1.1111111111111112,0.1388888888888889,2.0,1.5333333333333334,0.7000000000000001
CDMS-10-5C-MAORTO,3,4,13,12,0,0,0,0,0,6,1,0.9230769230769231,0.07692307692307693,2.0,1.5333333333333334,0.7000000000000001
CDMS-10-5C-NBEMO,0,4,10,8,0,0,0,0,0,3,1,0.8,0.08888888888888889,1.0,1.0,1.0
CDMS-10-5C-NBEMO,1,4,13,12,1,0,0,0,0,3,1,0.9230769230769231,0.07692307692307693,1.0,1.0,1.0
