file,z_wc,z_nodes,z_edges,z_re,z_pe,z_l1,z_l2,z_l3,z_lcc,z_lsc,z_atd,z_density,z_diameter,z_asp,z_cc
CDMS-10-4A-JURAN,0.0,2.223540418464425,0.0,0.0,-0.28718318937900084,-0.7255421646990948,-0.28718318937900084,-0.029310519088027457,-1.1070114330999608,-0.29353463103979854,-1.5001742339389808,-1.2364674697143068,-1.095680842179643,-1.1233015841522425,-0.12186985859994111
CDMS-10-5A-HEPIHO,0.0,1.817584727275354,0.0,0.0,-0.3118115175922594,-0.8651345244898728,-0.3118115175922594,-0.08793155726408237,-0.3312898305413579,-0.3283357576335639,-1.3906424886008295,-0.9115615081822878,-0.20216132992029326,-0.24348123202169528,-0.18108294301776395
CDMS-10-5A-KSRAGU,0.0,0.9801960588196068,0.0,0.0,0.0,-0.9801960588196068,0.0,0.0,0.9801960588196068,0.0,-0.9801960588196068,0.9801960588196068,0.0,0.0,0.0
CDMS-10-5A-SZURO,0.0,0.9801960588196068,0.0,0.0,0.0,-0.9801960588196068,0.0,0.0,0.9801960588196068,0.0,-0.9801960588196068,0.9801960588196068,0.0,0.0,0.0
CDMS-10-5B-SRAJA,0.0,1.4981252396332188,0.0,0.0,-0.5625984869471446,-0.26578319616124124,-0.5625984869471446,-0.3294712232380187,0.15512017157188585,-0.6246010723418353,-1.2823911217382622,-0.956734961348937,0.7472120307027058,0.40566265003440904,-0.5927702500628399
CDMS-10-5C-DAAUSA,0.0,1.7459554706770455,0.0,0.0,-0.4034732923929645,-0.891148371601353,-0.4034732923929645,-0.17586311452816475,-0.9829794734892129,-0.4264014327112208,-1.3810687210594865,-0.931909515182854,-0.6622661785325219,-0.7342555241112946,-0.33834506919300483
CDMS-10-5C-ICAPA,0.0,0.9801960588196068,0.0,0.0,0.0,-0.9801960588196068,0.0,0.0,0.9801960588196068,0.0,-0.9801960588196068,0.9801960588196068,0.0,0.0,0.0
CDMS-10-5C-JFALGI,0.0,0.9801960588196068,0.0,0.0,0.0,-0.9801960588196068,0.0,0.0,0.9801960588196068,0.0,-0.9801960588196068,0.9801960588196068,0.0,0.0,0.0
CDMS-10-5C-MAORTO,0.0,1.900576668379263,0.0,0.0,-0.3237544694262632,-1.0369331916561602,-0.3237544694262632,0.0,0.2784629210707881,-0.32375446942626346,-1.3857526656489618,-0.7308809394862732,0.3661222320814195,0.3387828614954306,-0.10714285714285715
CDMS-10-5C-NBEMO,0.0,2.199822192610343,0.0,0.0,-0.28356551366826555,-0.7348816493082135,-0.28356551366826555,0.0,-1.0887633223931816,-0.2835655136682659,-1.480297753885985,-1.193099124590936,-1.153236137613451,-1.1692337485098017,-0.07142857142857144
CDMS-10-6B-ASCACO,0.0,0.9801960588196073,0.0,0.0,-0.3515615246553262,-1.0052310731814404,-0.3515615246553262,0.0,1.2399882379497627,-0.35156152465532653,-0.9801960588196067,0.04932636236669884,1.2909944487358056,1.2909944487358054,0.0
CDMS-11-4A-GACHSA,0.0,1.5524418385172145,0.0,0.0,-0.20184867578188806,-0.8621614307244155,-0.20184867578188806,0.0,-0.013228476663561,-0.20184867578188828,-1.2473931449388493,-0.3894967972270087,-0.378248878934559,-0.3782488789345586,0.0
CDMS-11-5A-EAARCA,0.0,1.8513609446350705,0.0,0.0,-0.3320577607625301,-0.8637524458612155,-0.3320577607625301,-0.05024660415090421,-0.15772443156702268,-0.3407773022315362,-1.3564482198869954,-0.83309640401328,-0.014589873229677388,-0.05566310440754939,-0.15279488868466448
