file,z_wc,z_nodes,z_edges,z_re,z_pe,z_l1,z_l2,z_l3,z_lcc,z_lsc,z_atd,z_density,z_diameter,z_asp,z_cc
CDMS-10-4A-JURAN,0.0,1.6018318531970435,0.0,0.0,-0.6412330519033401,-1.0259236140351498,-0.6412330519033401,-0.4144651437822064,-2.2341863944093774,-0.7240732857610744,-1.4313324886707122,-0.8275732734800972,-1.9679711756594758,-2.1296585673401416,4.37398122277097
CDMS-10-5A-HEPIHO,0.0,2.840983125512522,0.0,0.0,-0.5669995560197775,-0.8945403964186323,-0.5669995560197775,-0.3558060825223653,-2.6503672009314716,-0.6181187830103858,-2.3371011585626724,-1.8293187908968271,-2.4001362603961964,-2.607377998195367,5.553938096836756
CDMS-10-5A-KSRAGU,0.0,2.451941530202146,0.0,0.0,-0.43148400027826295,-0.7902097499986017,-0.43148400027826295,-0.20412414523193154,-2.1877243437256975,-0.4503169969735112,-1.902380777261696,-1.3989396662508995,-2.5661826013409437,-2.8146298918766988,8.423623030056755
CDMS-10-5A-SZURO,0.0,3.8506172844629774,0.0,0.0,-0.36927447293799814,-0.7284313590846836,-0.36927447293799814,-0.14285714285714288,-2.0674038580945653,-0.3442141954107571,-2.6774743505696237,-2.2858699369899864,-2.239731649061969,-2.4258103184335384,7.880452933100095
CDMS-10-5B-SRAJA,0.0,1.5149046631950582,0.0,0.0,-0.9526505368248465,-0.6182584321622608,-0.9526505368248465,-0.7291702227227326,-3.43181310907998,-1.2042153520790084,-1.3750891880578806,-0.7949862306820489,-1.1930866692335447,-1.9269941811256177,6.264244177907177
CDMS-10-5C-DAAUSA,0.0,1.7371980724307587,0.0,0.0,-0.6587131135923012,-1.176696810829104,-0.6587131135923012,-0.5180653234396059,-3.196079862165534,-0.7374337936822954,-1.5540526749740342,-0.9684904290011266,-1.7224514532305286,-1.8355105325251766,3.3181705369160186
CDMS-10-5C-ICAPA,0.0,2.8077286479099017,0.0,0.0,-0.37298472564741925,-0.7538521451240405,-0.37298472564741925,-0.21676993955124668,-1.8591486847934053,-0.39182516515342225,-2.03123458362584,-1.5628117179447782,-1.4353541239291325,-1.6119503607861096,-0.3454180531050826
CDMS-10-5C-JFALGI,0.0,2.6526202749927315,0.0,0.0,-0.5220461008728843,-0.7956150791331794,-0.5220461008728843,-0.243340011808628,-2.049636157097293,-0.5558000530904609,-2.079031968261181,-1.6006395040973314,-1.8257306369229889,-1.9848508807519878,3.6536004401973425
CDMS-10-5C-MAORTO,0.0,1.669290433496962,0.0,0.0,-0.6607685355900957,-1.0307521130690716,-0.6607685355900957,-0.3701616134214371,-1.9297961879208383,-0.7046463520129927,-1.4730336017339933,-0.8174869013471722,-1.9073649290622967,-2.0238069755927004,3.532046457138467
CDMS-10-5C-NBEMO,0.0,2.022405541473618,0.0,0.0,-0.5473839722683558,-0.9389832834730232,-0.5473839722683558,-0.29441854080047136,-2.8844646948173702,-0.5896769518807263,-1.7449073154120738,-1.2010455630609629,-2.771750791284055,-3.0294161752095903,6.8136409700579765
