file,z_wc,z_nodes,z_edges,z_re,z_pe,z_l1,z_l2,z_l3,z_lcc,z_lsc,z_atd,z_density,z_diameter,z_asp,z_cc
CDMS-10-4A-JURAN,0.0,1.7459554706770455,0.0,0.0,-0.4034732923929645,-0.7439906087868118,-0.4034732923929645,-0.17586311452816475,-0.4755981308317063,-0.4264014327112208,-1.3810687210594865,-0.931909515182854,0.062004119966183456,-0.08752737507691052,-0.33834506919300483
CDMS-10-5A-HEPIHO,0.0,3.236318081467096,0.0,0.0,-0.42354655255943036,-0.7588094150071492,-0.42354655255943036,-0.1593601286926538,-1.2944771357120128,-0.43089732714014867,-2.4627039245538143,-1.8204691963220467,-1.2928694208517055,-1.3284484432909691,-0.30619120547030154
CDMS-10-5A-KSRAGU,0.0,2.2073702048991484,0.0,0.0,-0.3144854510165755,-1.0475005644810669,-0.3144854510165755,0.0,-0.04204551788887002,-0.31448545101657577,-1.520938201258747,-0.9909500401039306,0.057831493196624076,0.021378999081972275,-0.14285714285714288
CDMS-10-5A-SROPU,0.0,2.628802021388678,0.0,0.0,-0.45090371106232385,-0.8856187853674824,-0.45090371106232385,-0.2570668782521005,-1.3875866659142142,-0.4793226654902394,-2.052801991153894,-1.5582106302914172,-0.6073376204323229,-0.815777529347036,-0.45606157294636673
CDMS-10-5A-SZURO,0.0,3.1635157656176576,0.0,0.0,-0.3144854510165755,-0.7174945402494793,-0.3144854510165755,-0.2294157338705618,-1.5305730258611134,-0.33333333333333326,-2.160088389989984,-1.726683769638657,-1.214519476780067,-1.3197754391107839,-0.32561062357148846
CDMS-10-5B-SRAJA,0.0,2.2073702048991484,0.0,0.0,-0.4034732923929645,-0.8502754786744449,-0.4034732923929645,-0.17586311452816475,-0.1340411716100376,-0.4264014327112208,-1.5540526749740342,-1.0251385715643964,-0.8633970960424555,-0.4849628823850441,-0.33834506919300483
CDMS-10-5C-DAAUSA,0.0,1.7459554706770455,0.0,0.0,-0.4525696378552518,-0.891148371601353,-0.4525696378552518,-0.17586311452816475,0.2612983410540945,-0.45562108082560976,-1.3810687210594865,-0.931909515182854,-0.6622661785325219,-0.0946601198331632,-0.33834506919300483
CDMS-10-5C-ICAPA,0.0,2.1227344331797102,0.0,0.0,-0.29441854080047136,-0.9169171077380005,-0.29441854080047136,0.0,-0.35164357583418143,-0.31347286578286393,-1.520938201258747,-1.0080443058341635,-0.2301169151214909,-0.28321255540756385,-0.14285714285714288
CDMS-10-5C-JFALGI,0.0,2.2073702048991484,0.0,0.0,-0.35633158904644796,-0.7439906087868118,-0.35633158904644796,-0.14285714285714288,-0.4755981308317063,-0.3779644730092271,-1.520938201258747,-0.9909500401039306,0.057831493196624076,-0.08752737507691052,-0.26231118312755486
CDMS-10-5C-MAORTO,0.0,2.305992364824163,0.0,0.0,-0.42354655255943036,-0.8173068387245352,-0.42354655255943036,-0.25264557631995566,-0.04204551788887002,-0.4803844614152615,-1.7692740541226615,-1.271285584286734,0.057831493196624076,0.021378999081972275,-0.4686168324984671
CDMS-10-5C-NBEMO,0.0,2.3262739389996288,0.0,0.0,-0.37546061574428014,-0.8615001040948244,-0.37546061574428014,-0.07142857142857144,-0.6876894256111019,-0.36503341895111235,-1.7127863036201458,-1.2604497268546915,-0.4482085641669644,-0.5366736154947737,-0.20258416299234888
CDMS-10-6B-ASCACO,0.0,2.8093446969074622,0.0,0.0,-0.3515615246553262,-0.7013363202894909,-0.3515615246553262,0.0,-1.5162850110068706,-0.35156152465532653,-1.7644284651917281,-1.5695703628437376,-1.4430751791844465,-1.4750704009771485,-0.14285714285714288
