file,z_wc,z_nodes,z_edges,z_re,z_pe,z_l1,z_l2,z_l3,z_lcc,z_lsc,z_atd,z_density,z_diameter,z_asp,z_cc
CDMS-10-4A-JURAN,0.0,1.3389594082846539,0.0,0.0,-0.6224199682387501,-0.9774180268277938,-0.6224199682387501,-0.3515615246553262,-2.0426487199475702,-0.6706134457228003,-1.1719961924958537,-0.539912555592738,-2.0047998789065966,-2.1230477257027403,3.29810487499082
CDMS-10-5A-HEPIHO,0.0,2.836028829509624,0.0,0.0,-0.6255432421712244,-0.8919529754965995,-0.6255432421712244,-0.30151134457776363,-2.1752614954596523,-0.6200415665065958,-2.332594526316142,-1.8107472543332896,-2.312398811636669,-2.2475202871711253,5.050972355205145
CDMS-10-5A-KSRAGU,0.0,1.6849334404077716,0.0,0.0,-0.48407484240125,-0.8790449976984411,-0.48407484240125,-0.20412414523193154,-1.5603814733672894,-0.5055065487669591,-1.3732080018554367,-0.8894509741345855,-2.1466927081947857,-2.270087396051296,4.510934171473661
CDMS-10-5A-SROPU,0.0,1.7371980724307587,0.0,0.0,-0.6587131135923012,-1.176696810829104,-0.6587131135923012,-0.5180653234396059,-1.590009579670291,-0.7374337936822954,-1.5540526749740342,-0.9684904290011266,-1.0548346108931146,-0.8827952611767249,-0.05482554197025712
CDMS-10-5A-SZURO,0.0,3.611840226721759,0.0,0.0,-0.42354655255943036,-0.7221215813022954,-0.42354655255943036,-0.138183448027043,-2.061757481169674,-0.44841158553964433,-2.6098435821569304,-2.1022532710419832,-2.6874590925022606,-2.7276493513777127,6.332012894209107
CDMS-10-5B-SRAJA,0.0,1.5331765014257868,0.0,0.0,-0.9007120220120861,-0.5631053772001438,-0.9007120220120861,-0.6736688618941953,-3.0668433526220116,-1.05826203972947,-1.3566085556813716,-0.804677021147704,-1.9828741336901654,-2.1514324513633722,5.582951864916302
CDMS-10-5C-DAAUSA,0.0,1.3491362673789502,0.0,0.0,-0.6653921951265531,-1.1890998146006626,-0.6653921951265531,-0.4607693079162852,-2.0847942629589253,-0.7253451277438068,-1.230436599395197,-0.48584650425037734,-1.4515270043164046,-1.8284050240931553,2.908808290858351
CDMS-10-5C-ICAPA,0.0,2.451941530202146,0.0,0.0,-0.3515615246553262,-0.7603476001106327,-0.3515615246553262,-0.17586311452816475,-1.1962490654307831,-0.3790904868435973,-1.902380777261696,-1.3989396662508995,-0.9195855500673209,-1.0795748778788963,-0.302647723028218
CDMS-10-5C-JFALGI,0.0,2.5805855094270393,0.0,0.0,-0.46255494202406944,-0.8627569915888893,-0.46255494202406944,-0.23923788790814937,-1.815439351266352,-0.47864449106900964,-1.9575789310056946,-1.4515407286106075,-1.6780074546948471,-1.898744822893893,3.9445699497465614
CDMS-10-5C-MAORTO,0.0,1.372812945967288,0.0,0.0,-0.6152198555457548,-1.0314212462587935,-0.6152198555457548,-0.36927447293799814,-1.6695556309650146,-0.6469966392206306,-1.2152099886654362,-0.6629838183010764,-1.8831913889340925,-1.9232828355493041,3.4681574956882777
CDMS-10-5C-NBEMO,0.0,1.571428571428571,0.0,0.0,-0.6224199682387501,-0.9774180268277938,-0.6224199682387501,-0.3144854510165755,-2.2916585328543455,-0.6448314199366041,-1.3722184106296906,-0.9241645183640389,-2.422911554300826,-2.636731943597537,4.312433754827419
CDMS-10-6B-ASCACO,0.0,3.077467897898087,0.0,0.0,-0.3714364581250927,-0.8452713433287522,-0.3714364581250927,-0.2528177449048476,-2.1016302096953963,-0.4251068404041196,-2.185636216303732,-1.5956547528458178,-1.9780766915369241,-2.2249712978031995,1.943025807313354
CDMS-10-6B-JJMOBE,0.0,2.875600539303352,0.0,0.0,-0.6834296476214932,-1.1209514113057326,-0.6834296476214932,-0.34554737023254406,-1.604169242137492,-0.6236095644623236,-2.3410590249037044,-1.6958221095186492,-1.7899345862361138,-1.4912571130230228,4.292102224744877
CDMS-11-4A-GACHSA,0.0,1.571428571428571,0.0,0.0,-0.4723479762979613,-0.9005485401182526,-0.4723479762979613,-0.27435163058436723,-1.5380098631139434,-0.5345224838248486,-1.3722184106296906,-0.9241645183640389,-2.018889326767669,-2.1803309333178698,4.312433754827419
CDMS-11-5A-EAARCA,0.0,1.8899430202441803,0.0,0.0,-0.4541000287686232,-1.0499084084896446,-0.4541000287686232,-0.29488391230979427,-2.158203464960134,-0.5156093378915595,-1.609748273886359,-1.1454436990821468,-1.9579632628298673,-2.169351279342095,4.252991587396164
CDMS-11-5A-MGTHAR,0.0,0.9739347419114428,0.0,0.0,-0.8966966944909033,-1.1013505420409104,-0.8966966944909033,-0.6895820964978057,-2.551730001794665,-1.0453550668771039,-0.9186688262603047,-0.19377184192595803,-2.161788823972887,-1.9820345942729576,5.365918679436129
CDMS-11-6A-DFVEBE,0.0,2.0588347297148206,0.0,0.0,-0.7293249574894728,-0.9923230449262096,-0.7293249574894728,-0.6634512665877929,-3.0812030835178446,-1.0031364426203888,-1.902014045191702,-1.1996190324098723,-2.7100868813710637,-2.8255029068596063,7.326870358566075
CDMS-11-6A-NMREPR,0.0,3.3205515918713315,0.0,0.0,-0.4777890365303335,-0.8108946205942047,-0.4777890365303335,-0.25459822393074905,-2.1668856975538056,-0.4934158374882461,-2.4816533492487682,-1.8874320456330032,-2.502843878463693,-2.6920979544043053,7.5404617593060195
CDMS-11-6B-ARAHE,0.0,2.4193880002806143,0.0,0.0,-0.5570860145311556,-1.070658009822501,-0.5570860145311556,-0.3203581541090473,-1.9749967951940708,-0.5720775535473555,-2.053144506149876,-1.505379425066642,-1.441537394853534,-1.6782152980312979,1.8395921293953361
CDMS-11-6B-AVROTO,0.0,2.100890835579971,0.0,0.0,-0.38755403860737825,-0.8015128835922222,-0.38755403860737825,-0.21676993955124668,-1.2863236083552176,-0.4270510038956147,-1.5884927253665282,-1.1482120779255651,-1.4340984874745262,-1.4932224108725975,2.0563561568312076
CDMS-11-6B-EAFESA,0.0,1.7213111047961571,0.0,0.0,-0.6724476512655634,-1.0549817583528722,-0.6724476512655634,-0.542806281983058,-3.309389083059801,-0.8521037724525247,-1.5344313743395719,-0.9710616651502768,-2.210766960513179,-2.535696810431498,6.323745511620721
CDMS-11-6B-EFRGR,0.0,3.560389167260031,0.0,0.0,-0.43643578047198484,-0.7572712299036657,-0.43643578047198484,-0.14285714285714288,-2.2035045046253816,-0.42211588240886916,-2.757974578381942,-2.2626554937121144,-1.9984197417634013,-2.3031041473111102,5.161502005048418
