file,z_wc,z_nodes,z_edges,z_re,z_pe,z_l1,z_l2,z_l3,z_lcc,z_lsc,z_atd,z_density,z_diameter,z_asp,z_cc
CDMS-10-4A-JURAN,0.0,0.0,0.0,-0.6422285251880867,-0.1593601286926538,-0.5399674387642383,-0.1593601286926538,0.0,-2.308346508456701,-0.15936012869265395,0.0,0.0,-2.4601164233207173,-2.5105112722927743,3.392421023904394
CDMS-10-5A-HEPIHO,0.0,0.0,0.0,0.902869525295978,-0.10050378152592122,-0.4395838166925201,-0.10050378152592122,0.0,-2.0965917867951838,-0.1005037815259213,0.0,0.0,-2.0131283928428627,-2.3254928015111824,8.909227060748346
CDMS-10-5A-KSRAGU,0.0,0.0,0.0,-0.4034732923929645,0.0,-0.4034732923929645,0.0,0.0,-1.7312593746705462,0.0,0.0,0.0,-2.5875430006702107,-2.5875430006702107,5.686240703077327
CDMS-10-5A-SZURO,0.0,0.0,0.0,3.1190817264943074,0.0,-0.46852128566581813,0.0,0.0,-2.3941829953393694,0.0,0.0,0.0,-3.5148416356654306,-3.7982526985154283,10.0
CDMS-10-5B-SRAJA,0.0,0.0,0.0,-0.38049355920567784,-0.3144854510165755,0.44475804587471407,-0.3144854510165755,-0.10050378152592122,-4.450562074811644,-0.32035815410904755,0.0,0.0,-0.24989156364703513,-1.252249682049727,6.646402823052784
CDMS-10-5C-DAAUSA,0.0,0.0,0.0,0.8283247669754626,-0.23995690956687138,-0.42354655255943036,-0.25264557631995566,0.0,-3.7697421244187637,-0.25264557631995593,0.0,0.0,-2.302937686582401,-2.4941556119606685,5.374170457519478
CDMS-10-5C-ICAPA,0.0,0.0,0.0,1.589082002928905,0.0,-0.20173664619648224,0.0,0.0,-1.812588799126447,0.0,0.0,0.0,-1.4232434968036638,-1.673689472686589,-0.08793155726408236
CDMS-10-5C-JFALGI,0.0,0.0,0.0,-0.3865556717425342,0.0,-0.29488391230979427,0.0,0.0,-1.6829898293323495,0.0,0.0,0.0,-1.6022931807980436,-1.6478356296065884,4.898979485566357
CDMS-10-5C-MAORTO,0.0,0.0,0.0,-0.7404594685076185,-0.12168046219153206,-0.5625933072916012,-0.12168046219153206,0.0,-1.796631413282343,-0.1330124796231975,0.0,0.0,-2.101580409687662,-2.1857098942490563,6.177718484432523
CDMS-10-5C-NBEMO,0.0,0.0,0.0,0.5636184307770461,-0.14285714285714288,-0.5183091313819009,-0.14285714285714288,0.0,-2.3807763665425328,-0.142857142857143,0.0,0.0,-2.2321761224912695,-2.4142615562306586,2.8431203515386634
CDMS-10-6B-ASCACO,0.0,0.0,0.0,-0.5641519475835701,0.0,-0.42008402520840293,0.0,0.0,-0.9765829533069121,0.0,0.0,0.0,-0.7305517513304672,-1.7365240106591155,8.439049892466745
CDMS-11-4A-GACHSA,0.0,0.0,0.0,0.42356866443480967,-0.14285714285714288,-0.5361404877247946,-0.14285714285714288,0.0,-1.990581612261408,-0.142857142857143,0.0,0.0,-2.285111333086514,-2.280334341603685,6.449795692494498
CDMS-11-5A-EAARCA,0.0,0.0,0.0,-0.6923076923076923,-0.14285714285714288,-0.5079907656453765,-0.14285714285714288,0.0,-2.031820920793919,-0.142857142857143,0.0,0.0,-2.2093790829559765,-2.4605188648135212,6.434085887611272
CDMS-11-5A-MGTHAR,0.0,0.0,0.0,0.8524826841213413,-0.20412414523193154,-0.5388159060803248,-0.20412414523193154,-0.10050378152592122,-8.958358447787663,-0.22367584416130515,0.0,0.0,-1.8437443388785228,-1.8776928755489553,4.741462940153266
CDMS-11-6A-NMREPR,0.0,0.0,0.0,-0.3905667329424716,0.0,-0.46279762485732295,0.0,0.0,-0.8646431109083133,0.0,0.0,0.0,-1.182759561006418,-1.046855811717726,-0.17515915239377544
CDMS-11-6B-AVROTO,0.0,0.0,0.0,-0.27435163058436723,0.0,-0.36927447293799814,0.0,0.0,-1.2176924923557888,0.0,0.0,0.0,-1.6454618573150404,-1.754648000767642,3.958114029012639
CDMS-11-6B-EAFESA,0.0,0.0,0.0,-0.16783627165933798,-0.10050378152592122,-0.5465357250000211,-0.10050378152592122,0.0,-3.326042403144187,-0.1005037815259213,0.0,0.0,-2.505657933222665,-2.831893114523477,7.810965964121866
CDMS-11-6B-EFRGR,0.0,0.0,0.0,-0.3871758152921836,0.0,-0.3714534159082674,0.0,0.0,-1.5221513529697572,0.0,0.0,0.0,-1.9336000683778343,-2.1357017584274196,7.167377473847302
CDMS-11-6B-EROCO,0.0,0.0,0.0,1.3499108517900442,-0.05025189076296061,-0.4479472644286958,-0.05025189076296061,0.0,-2.4689561829024362,-0.05025189076296065,0.0,0.0,-2.2161203163259424,-2.2877486099080127,-0.14138433789389027
CDMS-11-6B-JACUPE,0.0,0.0,0.0,0.876681233311646,-0.29488391230979427,0.618309370051277,-0.29488391230979427,-0.10050378152592122,-5.500734373209065,-0.3015113445777639,0.0,0.0,-2.9889888903848023,-3.68786744103383,10.0
CDMS-11-6B-JDCHBA,0.0,0.0,0.0,0.3715214247039928,-0.14285714285714288,-0.5175218286277214,-0.14285714285714288,0.0,-4.513590596115935,-0.142857142857143,0.0,0.0,-2.331697181496392,-2.6564651904873218,3.182503306695352
CDMS-11-6B-JFSAHE,0.0,0.0,0.0,-0.42008402520840293,0.0,0.0,0.0,0.0,-1.2223076539347575,0.0,0.0,0.0,-1.30487650860252,-1.222307653934758,0.0
CDMS-11-6B-JLPENA,0.0,0.0,0.0,3.0433054380033426,0.0,-0.5155800469472481,0.0,0.0,-1.8200639264571612,0.0,0.0,0.0,-2.4192273040525047,-2.451451377934287,5.363895423928559
CDMS-11-6B-JMARME,0.0,0.0,0.0,1.2522599089223732,-0.20412414523193154,-0.6162495185552518,-0.20412414523193154,0.0,-3.61361287139181,-0.20412414523193168,0.0,0.0,-2.8947812678460245,-3.1452864048575955,10.0
CDMS-11-6B-JPSAMA,0.0,0.0,0.0,0.7473298985080157,0.0,-0.4714045207910317,0.0,0.0,-2.0513393260501838,0.0,0.0,0.0,-2.4733906960074292,-2.567924808309922,10.0
CDMS-11-6B-LESTA,0.0,0.0,0.0,1.0440709992420045,-0.2294157338705618,-0.6409831055487921,-0.2294157338705618,0.0,-4.958173929583688,-0.229415733870562,0.0,0.0,-3.6443842225901357,-3.651604343808539,4.765935397198132
CDMS-11-6B-MAGIMU,0.0,0.0,0.0,1.215985234231114,-0.20412414523193154,-0.7145446229081066,-0.20412414523193154,0.0,-3.870201030226034,-0.20412414523193168,0.0,0.0,-3.049887759725035,-3.0768754407463423,6.035550047459836
CDMS-11-6B-MMAMO,0.0,0.0,0.0,-1.2138641070350022,-0.20412414523193154,-0.850459518815013,-0.20412414523193154,0.0,-0.26094457957246153,-0.20412414523193168,0.0,0.0,-0.9211062163130328,-1.017775779147931,2.252283370888775
CDMS-11-6B-RSECA,0.0,0.0,0.0,-0.29488391230979427,0.0,-0.2294157338705618,0.0,0.0,-0.7582729173680421,0.0,0.0,0.0,-0.6785936995240639,-0.6785936995240646,-0.17586311452816475
CDMS-11-6B-VZAPE,0.0,0.0,0.0,-0.024260699053001728,-0.2294157338705618,-0.58481530992811,-0.2294157338705618,-0.10050378152592122,-3.7343372554558343,-0.23995690956687157,0.0,0.0,-3.4397120288425858,-3.675190165205031,10.0
CDMS-11-6B-YLNIME,0.0,0.0,0.0,-0.42008402520840293,0.0,-0.3144854510165755,0.0,0.0,-0.9894672312056636,0.0,0.0,0.0,-0.9310271134515593,-0.9392632275467427,0.0
CDMS-11-7C-ICARE,0.0,0.0,0.0,0.6220475211002849,-0.05025189076296061,-0.3304498670744124,-0.05025189076296061,0.0,-2.447257114114551,-0.05025189076296065,0.0,0.0,-2.7453377003161386,-3.2234072002726526,3.075800966378728
CDMS-11-7C-IMOIB,0.0,0.0,0.0,-0.5,-0.10050378152592122,-0.4525696378552518,-0.10050378152592122,0.0,-2.1971925077785563,-0.1005037815259213,0.0,0.0,-2.4632068981648936,-2.5909982972739183,5.116206579515952
CDMS-11-7C-SALMA,0.0,0.0,0.0,-0.645818533288947,0.0,-0.4034732923929645,0.0,0.0,-0.7793252697074516,0.0,0.0,0.0,-0.39417610732549924,-1.1467762454984218,4.892565354901108
