file,z_wc,z_nodes,z_edges,z_re,z_pe,z_l1,z_l2,z_l3,z_lcc,z_lsc,z_atd,z_density,z_diameter,z_asp,z_cc
CDMS-10-4A-JURAN,0.0,1.8687570239667062,0.0,0.0,-0.4723479762979613,-0.9005485401182526,-0.4723479762979613,-0.27435163058436723,-2.7691643060440114,-0.5345224838248486,-1.620814461602618,-1.1587260136615052,-2.77611169020716,-3.1727366911508805,6.84797043892915
CDMS-10-4A-JURAN,0.0,2.1760540589805295,0.0,0.0,-0.6224199682387501,-0.9774180268277938,-0.6224199682387501,-0.3144854510165755,-2.999765083590729,-0.6448314199366041,-1.8690001692215295,-1.2433651124604204,-2.7673898923609506,-2.8860956592683005,6.779311501186803
CDMS-10-4A-JURAN,0.0,1.9539348350445234,0.0,0.0,-0.6709196490606821,-1.0571882797418486,-0.6709196490606821,-0.502518907629606,-3.0953485304138857,-0.7720486469779562,-1.7238849222495383,-1.1750614143089144,-2.845080043813556,-2.6499913692869033,5.741041421126419
CDMS-10-4A-JURAN,0.0,1.2039707324401565,0.0,0.0,-0.626300100575299,-1.1395348837209303,-0.626300100575299,-0.34956331860724565,-2.9092954473549084,-0.7592247407659276,-1.1204832031947958,-0.43606380889128776,-2.0873479119593905,-2.3684744526864097,3.496859583153259
CDMS-10-4A-JURAN,0.0,1.1828914767134735,0.0,0.0,-0.7624928516630234,-1.0890815647638703,-0.7624928516630234,-0.5773502691896258,-1.6315449990527293,-0.8540675764418303,-1.0958498320660204,-0.5084715518012276,-0.9246484223154158,-1.0998042008291526,1.6788135281034842
CDMS-10-4A-JURAN,0.0,1.225382992036871,0.0,0.0,-0.6929177655843248,-0.9917703890382036,-0.6929177655843248,-0.46852128566581813,0.0,-0.7797448466192796,-1.1579623436897701,-0.4437517397572277,-0.4072490933003812,-0.6008490308192022,1.6998908641267065
CDMS-10-5A-HEPIHO,0.0,2.973084990297187,0.0,0.0,-0.5570860145311556,-0.864817962047613,-0.5570860145311556,-0.3322429367794645,-2.1985391128766953,-0.6266382993206857,-2.5213779868978894,-1.9894326117360983,-1.6957137957193713,-2.270111847980495,5.540923974169407
CDMS-10-5A-HEPIHO,0.0,2.434461581909594,0.0,0.0,-0.6101545896612097,-0.9569741022387825,-0.6101545896612097,-0.4155813868856491,-3.5191129276446174,-0.588926521310553,-2.056690316065335,-1.5968310091742035,-1.975688633080111,-2.641940206128596,6.23506938590601
CDMS-10-5A-HEPIHO,0.0,3.560389167260031,0.0,0.0,-0.5927489783638191,-0.9662823901213163,-0.5927489783638191,-0.23995690956687138,-1.6824375272042276,-0.5698157300199148,-2.757974578381942,-2.041565777113841,-1.7214571252710134,-1.9698571685012758,7.873620646049041
CDMS-10-5A-HEPIHO,0.0,3.114743978180262,0.0,0.0,-0.5310850045437944,-0.8041806928957864,-0.5310850045437944,-0.33333333333333337,-2.274947167602935,-0.5720128721359539,-2.4560872281143564,-2.0077847206050046,-3.0067334837087243,-2.7545968749834224,4.908915142657309
CDMS-10-5A-HEPIHO,0.0,2.5773401085579066,0.0,0.0,-0.5865884600854132,-0.8775463007410559,-0.5865884600854132,-0.3665083330689156,-2.917203247846148,-0.666010175452128,-2.2195830040127924,-1.7052234400490742,-3.1311136109063824,-3.0909140903198455,4.287895319948789
CDMS-10-5A-HEPIHO,0.0,2.3858789268701526,0.0,0.0,-0.5243342889332725,-0.8974409304672389,-0.5243342889332725,-0.4472135954999579,-3.3099632224142064,-0.6853090998230793,-2.010893837903718,-1.6350751867027427,-2.8701109136915766,-2.9168478012585664,4.477204112289979
CDMS-10-5A-KSRAGU,0.0,2.451941530202146,0.0,0.0,-0.43148400027826295,-0.7902097499986017,-0.43148400027826295,-0.20412414523193154,-2.1877243437256975,-0.4503169969735112,-1.902380777261696,-1.3989396662508995,-2.5661826013409437,-2.8146298918766988,8.423623030056755
CDMS-10-5A-SZURO,0.0,3.8506172844629774,0.0,0.0,-0.36927447293799814,-0.7284313590846836,-0.36927447293799814,-0.14285714285714288,-2.0674038580945653,-0.3442141954107571,-2.6774743505696237,-2.2858699369899864,-2.239731649061969,-2.4258103184335384,7.880452933100095
CDMS-10-5B-SRAJA,0.0,2.402545388094522,0.0,0.0,-0.6,-0.935759658214234,-0.6,-0.29488391230979427,-2.648149998149352,-0.6328145078635634,-1.963710411484215,-1.425363967943262,-1.9620797536766674,-2.1406773726118957,-0.5036509621344356
CDMS-10-5B-SRAJA,0.0,1.741338009840745,0.0,0.0,-0.8823915077589173,-1.0776318121606494,-0.8823915077589173,-0.6410832172066031,-4.2600643361512915,-0.9615239476408232,-1.601438052653036,-0.9982840481929774,-2.4405784272308,-3.091449393860195,10.0
CDMS-10-5B-SRAJA,0.0,1.0337992248352241,0.0,0.0,-1.1060641817976131,-0.3846153846153846,-1.1060641817976131,-0.868553950490285,-3.2922822610294,-1.4945036827065392,-1.009202640338533,-0.3663660519321504,-0.23033422711991958,-1.1500124946897015,7.780831209078172
CDMS-10-5B-SRAJA,0.0,1.3862955861325998,0.0,0.0,-0.8220875007943663,-0.2808922563998753,-0.8220875007943663,-0.8988771049900601,-3.788997218021069,-1.4989414843897062,-1.3197521128043659,-0.8508386932719416,-0.5534700659692902,-1.4999752901376386,8.973952163659451
CDMS-10-5B-SRAJA,0.0,1.0105451070722005,0.0,0.0,-1.352709493773336,-0.41239304942116123,-1.352709493773336,-0.9424529286169205,-3.169571732048788,-1.4332931377944098,-0.9813427230092527,-0.33407839206991286,-0.7789708721710469,-1.7528563543286582,5.070088478932695
CDMS-10-5C-DAAUSA,0.0,1.7371980724307587,0.0,0.0,-0.6587131135923012,-1.176696810829104,-0.6587131135923012,-0.5180653234396059,-3.196079862165534,-0.7374337936822954,-1.5540526749740342,-0.9684904290011266,-1.7224514532305286,-1.8355105325251766,3.3181705369160186
CDMS-10-5C-ICAPA,0.0,3.1635157656176576,0.0,0.0,-0.3144854510165755,-0.7174945402494793,-0.3144854510165755,-0.2294157338705618,-1.5305730258611134,-0.33333333333333326,-2.160088389989984,-1.726683769638657,-1.214519476780067,-1.3197754391107839,-0.32561062357148846
CDMS-10-5C-ICAPA,0.0,2.451941530202146,0.0,0.0,-0.43148400027826295,-0.7902097499986017,-0.43148400027826295,-0.20412414523193154,-2.1877243437256975,-0.4503169969735112,-1.902380777261696,-1.3989396662508995,-1.6561887710781977,-1.9041252824614352,-0.36522548263867677
CDMS-10-5C-JFALGI,0.0,2.3020177340801045,0.0,0.0,-0.46852128566581813,-0.9271726499455307,-0.46852128566581813,-0.30151134457776363,-1.5359892451421895,-0.5374767446821003,-1.836356931347285,-1.3257200508211204,-1.229282513513926,-1.2993276288223854,2.1416972275266315
CDMS-10-5C-JFALGI,0.0,3.1187309051701946,0.0,0.0,-0.5334650693692645,-0.7014229662505337,-0.5334650693692645,-0.17586311452816475,-2.474851459283227,-0.56239160503386,-2.362965003889664,-1.8971312157768532,-2.8265712882176373,-3.0546678793022184,9.299442160084892
CDMS-10-5C-JFALGI,0.0,2.5371121857278953,0.0,0.0,-0.5641519475835701,-0.7582496212034737,-0.5641519475835701,-0.25264557631995566,-2.138067766866462,-0.5675318095554224,-2.037773969546594,-1.579067245694021,-1.4213381090374029,-1.6005571341313596,-0.4803380670194951
CDMS-10-5C-MAORTO,0.0,1.8899430202441803,0.0,0.0,-0.4396787718714283,-1.1080464279410855,-0.4396787718714283,-0.29488391230979427,-2.121194832785722,-0.4937419311010187,-1.5931115180861097,-1.1454436990821468,-1.8831913889340925,-2.4359617990590086,4.0862215711942245
CDMS-10-5C-MAORTO,0.0,1.8439088914585766,0.0,0.0,-0.6917024963842813,-0.9917703890382036,-0.6917024963842813,-0.36927447293799814,-2.33360716150682,-0.7291583221596406,-1.6263850296866087,-1.0240915685442642,-1.4663194228352217,-1.985558981278371,3.000434781705536
CDMS-10-5C-MAORTO,0.0,1.0994009308265147,0.0,0.0,-0.819990377720392,-1.0314212462587935,-0.819990377720392,-0.4472135954999579,-1.4528353635588944,-0.8665268326316712,-1.046252829476646,-0.07632076921801326,-2.1923076923076925,-1.7504242864841173,2.897827413328787
CDMS-10-5C-MAORTO,0.0,1.8439088914585766,0.0,0.0,-0.6917024963842813,-0.9917703890382036,-0.6917024963842813,-0.36927447293799814,-1.8115473938319164,-0.7291583221596406,-1.6263850296866087,-1.0240915685442642,-2.08764121217218,-1.9232828355493041,4.143702062325319
CDMS-10-5C-NBEMO,0.0,1.8687570239667062,0.0,0.0,-0.4723479762979613,-0.9005485401182526,-0.4723479762979613,-0.27435163058436723,-2.7691643060440114,-0.5345224838248486,-1.620814461602618,-1.1587260136615052,-2.77611169020716,-3.1727366911508805,6.84797043892915
CDMS-10-5C-NBEMO,0.0,2.1760540589805295,0.0,0.0,-0.6224199682387501,-0.9774180268277938,-0.6224199682387501,-0.3144854510165755,-2.999765083590729,-0.6448314199366041,-1.8690001692215295,-1.2433651124604204,-2.7673898923609506,-2.8860956592683005,6.779311501186803
CDMS-10-6B-ASCACO,0.0,2.9108197533554088,0.0,0.0,-0.4714045207910317,-0.8321954658113967,-0.4714045207910317,-0.17586311452816475,-1.970445861668172,-0.45886973490279426,-2.2061553911316567,-1.89981772448238,-1.4606914009054512,-2.0215044750962683,4.362832839776079
CDMS-11-4A-GACHSA,0.0,2.3020177340801045,0.0,0.0,-0.46852128566581813,-0.9271726499455307,-0.46852128566581813,-0.30151134457776363,-2.8544349491269014,-0.5374767446821003,-1.836356931347285,-1.3257200508211204,-2.836187759937358,-2.8657454861799176,5.182486014667896
CDMS-11-4A-GACHSA,0.0,1.8899430202441803,0.0,0.0,-0.4396787718714283,-1.1080464279410855,-0.4396787718714283,-0.29488391230979427,-1.4685194996208846,-0.4937419311010187,-1.5931115180861097,-1.1454436990821468,-1.8831913889340925,-1.8840832686410782,4.273743656106078
CDMS-11-4A-GACHSA,0.0,2.3020177340801045,0.0,0.0,-0.46852128566581813,-0.9271726499455307,-0.46852128566581813,-0.30151134457776363,-2.8544349491269014,-0.5374767446821003,-1.836356931347285,-1.3257200508211204,-2.836187759937358,-2.8657454861799176,5.182486014667896
CDMS-11-4A-GACHSA,0.0,1.8687570239667062,0.0,0.0,-0.4723479762979613,-0.9005485401182526,-0.4723479762979613,-0.27435163058436723,-2.7691643060440114,-0.5345224838248486,-1.620814461602618,-1.1587260136615052,-2.77611169020716,-3.1727366911508805,6.84797043892915
CDMS-11-4A-GACHSA,0.0,1.8687570239667062,0.0,0.0,-0.4723479762979613,-0.9005485401182526,-0.4723479762979613,-0.27435163058436723,-2.7691643060440114,-0.5345224838248486,-1.620814461602618,-1.1587260136615052,-2.77611169020716,-3.1727366911508805,6.84797043892915
CDMS-11-4A-GACHSA,0.0,1.3573145169868968,0.0,0.0,-0.6152198555457548,-0.9455109766412951,-0.6152198555457548,-0.3736323588785367,-1.6695556309650146,-0.6469966392206306,-1.2152099886654362,-0.6629838183010764,-1.563629226704791,-1.7054679041367293,2.225687600244252
CDMS-11-4A-GACHSA,0.0,1.3573145169868968,0.0,0.0,-0.6152198555457548,-0.9455109766412951,-0.6152198555457548,-0.3736323588785367,0.47090030616961964,-0.6469966392206306,-1.2152099886654362,-0.6629838183010764,0.0998061208534974,-0.044336391098009395,0.3915653736364034
CDMS-11-4A-GACHSA,0.0,1.3573145169868968,0.0,0.0,-0.6152198555457548,-0.9455109766412951,-0.6152198555457548,-0.3736323588785367,0.47090030616961964,-0.6469966392206306,-1.2152099886654362,-0.6629838183010764,0.0998061208534974,-0.044336391098009395,0.3915653736364034
CDMS-11-5A-EAARCA,0.0,2.3458364269244028,0.0,0.0,-0.5948030041269223,-0.8489492083971341,-0.5948030041269223,-0.33333333333333337,-2.073813159564924,-0.6508386401425585,-1.895322574964946,-1.4564041801874663,-2.2527414065990365,-2.3903337533359266,6.752632795012567
CDMS-11-5A-EAARCA,0.0,1.8439088914585766,0.0,0.0,-0.6917024963842813,-0.9917703890382036,-0.6917024963842813,-0.36927447293799814,-2.33360716150682,-0.7291583221596406,-1.6263850296866087,-1.0240915685442642,-2.08764121217218,-2.1723874184655707,5.286969342945101
CDMS-11-5A-EAARCA,0.0,1.7173215691241293,0.0,0.0,-0.7381051253765321,-1.0526701639873237,-0.7381051253765321,-0.5761659596980317,-2.8052955782854365,-0.8684814849414458,-1.5135228928361004,-1.0136276376538886,-1.414213562373095,-1.9087660977663086,3.066037435598671
CDMS-11-5A-EAARCA,0.0,2.1445522011219658,0.0,0.0,-0.6834296476214932,-0.8700692924472788,-0.6834296476214932,-0.3203581541090473,-3.017136330943289,-0.690227061010223,-1.9067691071211292,-1.3670347917578933,-2.5492363968499894,-2.6739914722470304,5.193258017333513
CDMS-11-5A-EAARCA,0.0,2.616710637345549,0.0,0.0,-0.4936258837698759,-0.8385481602338832,-0.4936258837698759,-0.23995690956687138,-3.4636643665888194,-0.5364799360395373,-2.016795936173904,-1.7113960068739043,-3.2926195301014953,-3.4891247865746777,9.422548704208468
CDMS-11-5A-EAARCA,0.0,2.2980857258439653,0.0,0.0,-0.626300100575299,-1.0735921807199342,-0.626300100575299,-0.3905667329424716,-2.5569511714220137,-0.6760891953787851,-1.9590006139490002,-1.4093842807745707,-2.3230315905999017,-2.4298690135704897,6.386144440264032
CDMS-11-5A-EAARCA,0.0,2.402545388094522,0.0,0.0,-0.6,-0.935759658214234,-0.6,-0.29488391230979427,-1.52127765851133,-0.6328145078635634,-1.963710411484215,-1.425363967943262,-1.2188677257688387,-1.7806259143214802,3.0583607362826
CDMS-11-5A-MGTHAR,0.0,0.9611874017309733,0.0,0.0,-0.9305415914315353,-1.0954061194025735,-0.9305415914315353,-0.7690096033344016,-3.1033337321940944,-1.0942333390697225,-0.8913053227613297,-0.3239627042524995,-1.9431015050981568,-1.8830891551123072,5.463274717470184
CDMS-11-6A-NMREPR,0.0,3.8349454080498355,0.0,0.0,-0.4396787718714283,-0.7428041493700419,-0.4396787718714283,-0.29488391230979427,-2.2987970568192493,-0.4926646390821466,-2.989228341757896,-2.5486654618062303,-1.9279705782748606,-1.9692133050407075,-0.47638409251067065
