feature,type,task,window_tag,n,r_MOT,p_MOT,r_partial_MOT,p_partial_MOT,r_COG,p_COG,r_partial_COG,p_partial_COG,r_MOT_V4,p_MOT_V4,r_partial_MOT_V4,p_partial_MOT_V4,r_COG_V1,p_COG_V1,r_partial_COG_V1,p_partial_COG_V1
edges,raw,2,T2W10,240,0.012655068222002824,0.8453649782586026,0.008989399465714514,0.8900452616245824,0.20248839894554166,0.0016144221535441736,0.17964523228427537,0.005346445630772128,0.014229840651500965,0.8264101914063826,0.01045289689767233,0.8722863390541975,0.26258695445271374,3.800951157541807e-05,0.2528714090598065,7.709955533780588e-05
lcc,raw,2,T2W10,240,-0.01858447304075351,0.7745480149735413,-0.026687649926427515,0.6814457141038411,0.11751900333009588,0.06915680069542456,0.06676406175975592,0.3040046921355801,-0.013609399659552686,0.8338667931024698,-0.02178377918390169,0.7375924835642265,0.14292179870477864,0.02683199277822931,0.1223220732874966,0.058994293453002875
lsc,raw,2,T2W10,240,-0.004474739704447909,0.9450208286410337,-0.0031334065686608767,0.9615668583007093,0.03637598496167262,0.5749489933962241,0.047710254335680206,0.46286715986518073,-0.0016345396367214195,0.9799034194088984,-0.0002436164112864641,0.9970107540390319,0.10394705907371228,0.10821068900122285,0.10935329689970232,0.09164953929707952
diameter,raw,2,T2W10,240,0.0028780277469868764,0.964622604940815,-0.0034423244288724723,0.9577811504435987,0.09687000603958945,0.13455203961101922,0.052059382308358916,0.4230491673974334,0.004251803598194541,0.9477559518698369,-0.0022460396984741405,0.9724458039274182,0.0951078528949661,0.14182082520214928,0.07539277949375281,0.24560665697386092
asp,raw,2,T2W10,240,0.00219555362465564,0.9730080624500138,-0.0041588550395022465,0.9490040394519044,0.09293686441946274,0.15118362859903942,0.047818144156589845,0.4618549194437886,0.0006613960813657035,0.9918674546327697,-0.005949106231030375,0.9271035868072341,0.09180196064159808,0.1562607578569594,0.07193846457462037,0.26797116421500383
nodes,raw,2,T2W10,240,-0.04868075941870847,0.45285313699584645,-0.05491042342435207,0.39806517396381463,0.05948597379614948,0.3588522658605233,0.020682693990216848,0.7504057697205924,-0.05132681320401024,0.42863939641898485,-0.05778553318249454,0.3737867845713675,0.07002435340163662,0.27993034600613265,0.05277877637832449,0.4166604732713824
l3,raw,2,T2W10,240,-0.09467083096218676,0.14366907876228346,-0.0954600023493319,0.141182732018772,-0.09508801564573734,0.14190432577335874,-0.10288160834999294,0.11265206147250777,-0.05851942804615517,0.366727736220263,-0.0593081708147988,0.3613062165919573,-0.05724816660437547,0.3772476814512911,-0.0600996305525052,0.35492267524378274
l2,raw,2,T2W10,240,0.13034054787935784,0.04366435801836335,0.13572348310334634,0.03599832955824389,-0.009382462859305576,0.8850292182042261,0.02123979249675401,0.7439140324426871,0.13267967593265712,0.039992898372247135,0.13822475520141128,0.03268242075059926,-0.04272575123220196,0.5100565261113159,-0.029230950951026576,0.6529798226455853
pe,raw,2,T2W10,240,0.12053818615072556,0.062262207634636524,0.12455614350485196,0.05448118845653134,0.00971318580022819,0.8810060860526456,0.03466503660848327,0.593854213511909,0.12220223649106353,0.058710382905018406,0.1263415052565083,0.05108368426901456,-0.025843084462281923,0.6903827737095789,-0.014861424380585148,0.8192108118860645
atd,raw,2,T2W10,240,0.04955895390865454,0.44473294874168134,0.05283855659946369,0.41613214267842674,0.007422906788517588,0.9089235838952521,0.030717341358131842,0.6365696384901078,0.0637515238665009,0.32537180956884815,0.06721966713701073,0.3007092529174991,0.025821824007558614,0.6906243952907457,0.03664801848908925,0.572901349722387
re,raw,2,T2W10,240,-0.01256779807620901,0.8464181196111897,-0.010240661142765384,0.8748579849846545,-0.039637514103763274,0.5411360166216717,-0.02224024509211269,0.7323015490936976,0.015135295011134201,0.8155562684062689,0.017655191498378395,0.7859812513359391,-0.02497224998413913,0.7003050705525584,-0.016749350206676172,0.796716254200074
l1,raw,2,T2W10,240,0.01174059231175039,0.8564137945118891,0.018672588845518305,0.7739723344493304,-0.016881420170111756,0.7947257097770731,0.03344142655057124,0.6069546296763947,-0.02388542318632028,0.7127598715890986,-0.017744899949996583,0.7849202894147461,0.024865759744611186,0.7015219574379238,0.04908945828006185,0.45002016614690726
density,raw,2,T2W10,240,0.017238618488529613,0.7904818208924819,0.019810534317051095,0.7606040413866667,-0.02275037601819383,0.7258489710311282,-0.004004164671036685,0.9508984285982126,0.04793815523363905,0.4597840276059832,0.05073119691399564,0.43499290190148493,0.014969784154038015,0.8175377314487485,0.023953694259154095,0.7125552195650702
