feature,type,task,window_tag,n,r_MOT,p_MOT,r_partial_MOT,p_partial_MOT,r_COG,p_COG,r_partial_COG,p_partial_COG,r_MOT_V4,p_MOT_V4,r_partial_MOT_V4,p_partial_MOT_V4,r_COG_V1,p_COG_V1,r_partial_COG_V1,p_partial_COG_V1
z_atd,z,2,T2W10,240,0.05862143133475816,0.3658915893816735,0.06761584557807356,0.2978629513546702,-0.1350998306524686,0.03647169054977371,-0.08768055662454376,0.17669374923329859,0.02057003918281727,0.7512136318758516,0.02856170005302175,0.6604239903961597,-0.15995656984828208,0.0130979419665224,-0.14077959901864828,0.029567457419801397
z_l3,z,2,T2W10,240,-0.12807193414958024,0.04749129665575073,-0.13184780353681588,0.04169713641635403,-0.11675081682961586,0.07100709580506434,-0.14325924630025533,0.026790408338815838,-0.08132557587037814,0.20933606436421012,-0.08491473047906034,0.19079479912730743,-0.0761221788067176,0.2400634329653547,-0.08751721126430499,0.17750447493760493
z_asp,z,2,T2W10,240,0.04174766587443748,0.5197984331683184,0.05001910096579215,0.44147526885126537,-0.11161306291137207,0.08444280142088187,-0.06373476742661874,0.3265198926661031,0.022273972642672918,0.731366796914411,0.030165988532001385,0.6426366373100224,-0.10251574979397689,0.11318194472928969,-0.08153540868898852,0.20911939535659307
z_cc,z,2,T2W10,240,-0.12383895541617213,0.05538167105082214,-0.12734731840053762,0.04924854974332518,-0.10638973096168917,0.10012509040584357,-0.13125625728249457,0.04263039841334138,-0.06748723533002497,0.2977656235696317,-0.07077858996115015,0.2757831186632601,-0.06661342892044742,0.3040792065333542,-0.07728216263498983,0.23394013175392384
z_lsc,z,2,T2W10,240,-0.028442280750584498,0.6610860638248178,-0.033352013586792253,0.6079169273121806,0.07424837779996214,0.2518663664612734,0.041867507129818196,0.5194813693936357,-0.02833284873455136,0.6623095601537381,-0.03339334318587894,0.6074720378213645,0.07633401953632588,0.23875385098737903,0.061679028961756324,0.34239697451866397
z_pe,z,2,T2W10,240,0.15030767065096506,0.019824665309583964,0.15061661648685856,0.019828692507651947,0.015073582799173089,0.8162949384238241,0.017322117024510957,0.7899238909945494,0.1440074506066071,0.02568460156117177,0.14432571726498727,0.025666678865387656,-0.0413945705264265,0.5233386098949084,-0.04072474713930941,0.5309552189442928
z_l2,z,2,T2W10,240,0.1538151696548174,0.01709482438988619,0.15379624291501295,0.017343672519244797,0.02123476220108857,0.7434508703451855,0.021110265736432852,0.7454217836324535,0.14722075502035684,0.022532404684526622,0.14720048806817793,0.02283723451510667,-0.035112935417936496,0.5883047913852818,-0.0355603373581124,0.5843510241173098
z_diameter,z,2,T2W10,240,0.06031343066606946,0.35219471367547467,0.06620603271494684,0.3080733276460058,-0.07075723297894657,0.27491554696414683,-0.03531332515531234,0.5869659096516947,0.04652821220880245,0.4731042656587456,0.05236538598543866,0.4203247153439782,-0.05088726511529479,0.43260902999688955,-0.034472691802293155,0.5959049946060331
z_l1,z,2,T2W10,240,-0.025918306362129953,0.6895281409791814,-0.021336986069858933,0.7427832944024663,-0.014962550789152103,0.8176243543797105,0.023337081652548306,0.7196400304132008,-0.07482228343924212,0.24820943017729868,-0.0708891951436003,0.2750315837876439,0.011199015918302637,0.8629705438288474,0.029215853140890702,0.6531473832083221
z_re,z,2,T2W10,240,-0.044945535938392275,0.48830433569272735,-0.043108216188509504,0.5071696288543603,-0.04781631874248831,0.46092676262846916,-0.03376249397496415,0.6035047624028842,-0.02834887854280941,0.6621302840046215,-0.026398109602565393,0.6847161120683356,0.009790282553203562,0.8800686647824114,0.01684246463685164,0.7956109661736316
z_density,z,2,T2W10,240,-0.07458843899732873,0.24969500968370625,-0.08272834471257637,0.20251119854696079,0.03558729522767478,0.5832721034589012,-0.01109599269903812,0.8645022861279953,-0.04540017897121628,0.4839113262640423,-0.053006772797845256,0.4146475776473172,0.03315106727152204,0.6093277225010991,0.012014414109544588,0.8534084798812577
