feature,type,task,window_tag,n,r_MOT,p_MOT,r_partial_MOT,p_partial_MOT,r_COG,p_COG,r_partial_COG,p_partial_COG,r_MOT_V4,p_MOT_V4,r_partial_MOT_V4,p_partial_MOT_V4,r_COG_V1,p_COG_V1,r_partial_COG_V1,p_partial_COG_V1,abs_r_MOT,abs_r_partial_MOT,abs_r_COG,abs_r_partial_COG,abs_r_MOT_V4,abs_r_partial_MOT_V4,abs_r_COG_V1,abs_r_partial_COG_V1
nodes,raw,2,T2W20,237,-0.07203470546701311,0.26936219831588215,-0.07809440244055045,0.23202249754777274,0.026494388044306587,0.6848964039759401,-0.01816323655773517,0.7813422232942971,-0.07646121225715022,0.24095653077424725,-0.08269732690810119,0.2055687993730727,0.09141046706692026,0.16069304589369526,0.07133798682510434,0.275058496607875,0.07203470546701311,0.07809440244055045,0.026494388044306587,0.01816323655773517,0.07646121225715022,0.08269732690810119,0.09141046706692026,0.07133798682510434
edges,raw,2,T2W20,237,0.0021462850874518764,0.9737806631968222,-0.0003279935549408703,0.9960010359018733,0.19953894975473946,0.0020237640933111183,0.1804894750160905,0.005421094997203217,0.011049383198188375,0.8656323260753699,0.008589750113517664,0.8955696131801273,0.26197408697912394,4.44088043729466e-05,0.25282064229525414,8.591436910532937e-05,0.0021462850874518764,0.0003279935549408703,0.19953894975473946,0.1804894750160905,0.011049383198188375,0.008589750113517664,0.26197408697912394,0.25282064229525414
re,raw,2,T2W20,237,-0.013328077054383653,0.8382695876694896,-0.009773307909984376,0.8812799950420264,-0.034892361446722905,0.5930068263273791,0.001778114997194093,0.978323420352472,0.01292885578534584,0.8430504233368465,0.016939250716626407,0.7957412574256912,-0.010312948852771264,0.8745114716225485,0.008177424728257972,0.9005559595490874,0.013328077054383653,0.009773307909984376,0.034892361446722905,0.001778114997194093,0.01292885578534584,0.016939250716626407,0.010312948852771264,0.008177424728257972
pe,raw,2,T2W20,237,0.1107963656904043,0.08877149263936356,0.11381868302225817,0.08100112415407505,0.00909554891577643,0.8892235568445863,0.03327209041410894,0.6110589302493895,0.11261402676534207,0.08362810602541235,0.11569064844140038,0.07609662897420456,-0.017119587847507205,0.7931838359478534,-0.0055704136283989975,0.9321655010012893,0.1107963656904043,0.11381868302225817,0.00909554891577643,0.03327209041410894,0.11261402676534207,0.11569064844140038,0.017119587847507205,0.0055704136283989975
l1,raw,2,T2W20,237,0.009078113270293082,0.8894345518403296,0.01425942874027643,0.8275027567688144,-0.03313443150163935,0.6117755970125992,0.015399870331736228,0.8139486295957642,-0.02466295463859057,0.7056301298970084,-0.020250490753754406,0.7569610564066808,0.013650198115080961,0.8344163687819811,0.03875593485664157,0.5535550518461994,0.009078113270293082,0.01425942874027643,0.03313443150163935,0.015399870331736228,0.02466295463859057,0.020250490753754406,0.013650198115080961,0.03875593485664157
l2,raw,2,T2W20,237,0.12716471726138018,0.0505511493168774,0.1313092033209818,0.04388017220658031,0.004488200631854129,0.9452045351333094,0.034653730336664905,0.5963246380109842,0.12542655021048696,0.05381408587481102,0.12960920007926777,0.04671009091232051,-0.025465581198546753,0.6965157246240028,-0.011093709813440314,0.8653836003613226,0.12716471726138018,0.1313092033209818,0.004488200631854129,0.034653730336664905,0.12542655021048696,0.12960920007926777,0.025465581198546753,0.011093709813440314
l3,raw,2,T2W20,237,-0.07823103453053534,0.23020784701083338,-0.07914831783432705,0.22576325323815438,-0.05456785531444439,0.40301808466334127,-0.06446832121761623,0.32406004901187696,-0.0374206827900341,0.5664828149956392,-0.038313599124323514,0.5580941746558085,-0.06281070608236071,0.33564933357793786,-0.06742340409348242,0.3023286014675856,0.07823103453053534,0.07914831783432705,0.05456785531444439,0.06446832121761623,0.0374206827900341,0.038313599124323514,0.06281070608236071,0.06742340409348242
lcc,raw,2,T2W20,237,-0.05491822200355469,0.4000003368074119,-0.0619696207569049,0.3432047885807245,0.07524478461209454,0.2485449374853176,0.024649239593267997,0.7063850525373658,-0.048077722973006616,0.46132912222499556,-0.055020710545129616,0.4001273111866334,0.14326577155076844,0.027434737205907358,0.1215132803633145,0.062360619990166906,0.05491822200355469,0.0619696207569049,0.07524478461209454,0.024649239593267997,0.048077722973006616,0.055020710545129616,0.14326577155076844,0.1215132803633145
lsc,raw,2,T2W20,237,0.05216317509560748,0.4240930152115913,0.051664185849282215,0.4295313072284442,0.12530282868960396,0.0540528512126283,0.12305983617104532,0.05907641508696855,0.057377485760938964,0.37920086009911014,0.05687228155390868,0.3844349280072676,0.0701008665467276,0.2824615357079254,0.06791370614597043,0.2988183783147164,0.05216317509560748,0.051664185849282215,0.12530282868960396,0.12305983617104532,0.057377485760938964,0.05687228155390868,0.0701008665467276,0.06791370614597043
atd,raw,2,T2W20,237,0.05490486425035431,0.4001151405461556,0.05874763973301466,0.36892822418472754,0.02228745640112442,0.7328481107240006,0.0558814054651058,0.39278572452440597,0.0791670181090802,0.22466231129091394,0.08333724972879554,0.20207087076418187,-0.015329053388461529,0.8143997662312022,0.00053948697267478,0.9934225118201606,0.05490486425035431,0.05874763973301466,0.02228745640112442,0.0558814054651058,0.0791670181090802,0.08333724972879554,0.015329053388461529,0.00053948697267478
density,raw,2,T2W20,237,0.021017556411021286,0.7475390383964527,0.023857089447973163,0.7154058985816772,0.009321567887725684,0.8864891311727046,0.036776895924779514,0.5740016713063065,0.05899520108488705,0.3658864162371913,0.06217490607196598,0.3416053718659472,-0.040278370912411064,0.5372019497760967,-0.02746830948843253,0.674620680229631,0.021017556411021286,0.023857089447973163,0.009321567887725684,0.036776895924779514,0.05899520108488705,0.06217490607196598,0.040278370912411064,0.02746830948843253
