feature,type,task,window_tag,n,r_MOT,p_MOT,r_partial_MOT,p_partial_MOT,r_COG,p_COG,r_partial_COG,p_partial_COG
edges,raw,2,T2W10,240,0.012655068222002824,0.8453649782586026,0.008901767019678828,0.8911104766718708,0.20248839894554166,0.0016144221535441736,0.18648868299070515,0.0038114994888321057
edges,raw,2,T2W20,237,0.0021462850874518764,0.9737806631968222,-0.000738814221438694,0.9909923794678308,0.19953894975473946,0.0020237640933111183,0.18638258897587115,0.004062327040010233
edges,raw,2,T2W40,222,-0.018094730112616673,0.7886182170854219,-0.02416709584792158,0.7208788140707985,0.19992561483784319,0.002769053514441558,0.18366512468496618,0.0061771416284242325
edges,raw,2,T2W30,230,-0.008901270822776657,0.8931957103515163,-0.013426538156901499,0.8398560269130229,0.19446828163328686,0.003061307045153706,0.17928701556661733,0.00652157815238238
lsc,raw,2,T2W20,237,0.05216317509560748,0.4240930152115913,0.05150575637042459,0.4309493343102978,0.12530282868960396,0.0540528512126283,0.123465977592503,0.05823800648072179
lsc,raw,2,T2W30,230,0.026630217065476688,0.6878768102264986,0.020534002360337776,0.7572697992198391,0.1464082834214766,0.026400334245027218,0.12223250621493156,0.06481655349621283
l3,raw,2,T2W10,240,-0.09467083096218676,0.14366907876228346,-0.0950842815649597,0.14276187911799412,-0.09508801564573734,0.14190432577335874,-0.09864674362541524,0.12832063552122908
cc,raw,2,T2W10,240,-0.08542386093730521,0.18720802699885797,-0.0856022069285981,0.18721526804981684,-0.09604621493365233,0.13791369066383619,-0.09839805103135464,0.12929063727799725
lcc,raw,2,T2W10,240,-0.01858447304075351,0.7745480149735413,-0.029191119499833523,0.6534219230208039,0.11751900333009588,0.06915680069542456,0.0709891653943644,0.2743535069980948
lsc,raw,2,T2W40,222,-0.1072947351350123,0.11088313907806932,-0.1269543722363055,0.059532403161205484,0.11993092744130233,0.0745399486200578,0.06938572926951017,0.3044761744909036
l3,raw,2,T2W20,237,-0.07823103453053534,0.23020784701083338,-0.07913296092217932,0.22585359011838083,-0.05456785531444439,0.40301808466334127,-0.06079314430663427,0.35246241225395564
cc,raw,2,T2W20,237,-0.09848287328418452,0.13058830552088155,-0.098135071946611,0.13278602226979896,-0.06195022873953221,0.34232484249838735,-0.060650044306820874,0.35359907184019573
atd,raw,2,T2W20,237,0.05490486425035431,0.4001151405461556,0.06110545743385571,0.3499896631438922,0.02228745640112442,0.7328481107240006,0.056330770100868316,0.388985165607028
diameter,raw,2,T2W10,240,0.0028780277469868764,0.964622604940815,-0.005458764155562202,0.933097272939062,0.09687000603958945,0.13455203961101922,0.05584691285383315,0.3900554038546225
diameter,raw,2,T2W30,230,-0.07222225649343732,0.2753775690678295,-0.08215233533234993,0.21553744471299424,-0.014752670020334889,0.823902547902667,-0.0534044166772795,0.42121959154678723
l3,raw,2,T2W30,230,-0.040983307747106755,0.5363010849601008,-0.04214840580302869,0.5256809290739509,-0.046867396393517446,0.4793829103686141,-0.052755287899716424,0.4268944402252527
pe,raw,2,T2W30,230,0.1322422949885898,0.04513073258761378,0.13903529948893775,0.0354923856741163,0.026850517690225867,0.6854314482489828,0.05262515930329693,0.4280373604568581
asp,raw,2,T2W10,240,0.00219555362465564,0.9730080624500138,-0.006129938238311845,0.9248942094259097,0.09293686441946274,0.15118362859903942,0.05188181105807496,0.42463484251909067
asp,raw,2,T2W30,230,-0.0764644153753223,0.24808475540071617,-0.08640032919031244,0.1926577869088732,-0.012880794066066133,0.8459483125004176,-0.05120118120550797,0.44065928041113056
l2,raw,2,T2W30,230,0.13751649215145084,0.03715203525851396,0.1466058251767511,0.02652699888793949,0.017541390576330966,0.7913181700739895,0.05010903796025082,0.45048182638054235
diameter,raw,2,T2W20,237,-0.07990072023941432,0.22038206481451678,-0.0868623602995082,0.1835727588352412,-0.013175977209262129,0.8400903552826644,-0.04864843601715154,0.45698302121738194
asp,raw,2,T2W20,237,-0.07442783686713846,0.25373357095777055,-0.08119662645155247,0.21394288636411035,-0.010011970007007247,0.8781449455525007,-0.044907403980970984,0.49235743822786526
lsc,raw,2,T2W10,240,-0.004474739704447909,0.9450208286410337,-0.003052447187413176,0.9625591402937127,0.03637598496167262,0.5749489933962241,0.04477145910550465,0.4909071491636988
atd,raw,2,T2W30,230,0.06869304149989172,0.29958146464289187,0.0783418068182838,0.23766037022238773,0.003498893511211183,0.9579116613192022,0.04098231989765394,0.5372079650771475
diameter,raw,2,T2W40,222,-0.05715789790737427,0.39670594223726213,-0.06598400143474083,0.3288541143403281,-0.008019010783038268,0.9054274872605461,-0.03832573167399361,0.5708974763578684
density,raw,2,T2W20,237,0.021017556411021286,0.7475390383964527,0.02554600596645769,0.696222151492796,0.009321567887725684,0.8864891311727046,0.036267805520098104,0.5793182809576249
pe,raw,2,T2W10,240,0.12053818615072556,0.062262207634636524,0.12651617248526106,0.05076097704096095,0.00971318580022819,0.8810060860526456,0.035763307748395375,0.5822064073896368
atd,raw,2,T2W40,222,0.08660100805294593,0.19863226255101302,0.10247863248319856,0.12880870178658457,-0.013188765198476912,0.8450740767008582,0.03563171758722587,0.5982859332615381
asp,raw,2,T2W40,222,-0.0657325413442966,0.3296005952392418,-0.0750063266403165,0.2668737970152548,-0.0036381653452331212,0.9570135580289534,-0.034912177313309915,0.6057000566640869
l2,raw,2,T2W20,237,0.12716471726138018,0.0505511493168774,0.1335040473968399,0.04044053629995482,0.004488200631854129,0.9452045351333094,0.0344453313864857,0.5985367574633192
