feature,type,task,window_tag,n,r_MOT,p_MOT,r_partial_MOT,p_partial_MOT,r_COG,p_COG,r_partial_COG,p_partial_COG
edges,raw,2,T2W20,237,0.0021462850874518764,0.9737806631968222,-0.0003279935549408703,0.9960010359018733,0.19953894975473946,0.0020237640933111183,0.1804894750160905,0.005421094997203217
edges,raw,2,T2W10,240,0.012655068222002824,0.8453649782586026,0.008989399465714514,0.8900452616245824,0.20248839894554166,0.0016144221535441736,0.17964523228427537,0.005346445630772128
edges,raw,2,T2W40,222,-0.018094730112616673,0.7886182170854219,-0.023931052301875453,0.7234933681426196,0.19992561483784319,0.002769053514441558,0.1775874898644941,0.0081420288490326
edges,raw,2,T2W30,230,-0.008901270822776657,0.8931957103515163,-0.013718484998415192,0.8364222110156495,0.19446828163328686,0.003061307045153706,0.17332769761675038,0.008576351263877902
lsc,raw,2,T2W20,237,0.05216317509560748,0.4240930152115913,0.051664185849282215,0.4295313072284442,0.12530282868960396,0.0540528512126283,0.12305983617104532,0.05907641508696855
lsc,raw,2,T2W30,230,0.026630217065476688,0.6878768102264986,0.020558609620928935,0.7569880205515664,0.1464082834214766,0.026400334245027218,0.1147248769503236,0.08321549141036547
l3,raw,2,T2W10,240,-0.09467083096218676,0.14366907876228346,-0.0954600023493319,0.141182732018772,-0.09508801564573734,0.14190432577335874,-0.10288160834999294,0.11265206147250777
cc,raw,2,T2W10,240,-0.08542386093730521,0.18720802699885797,-0.08589703881449805,0.18569533663029492,-0.09604621493365233,0.13791369066383619,-0.10158552732129879,0.11727955529654129
lcc,raw,2,T2W10,240,-0.01858447304075351,0.7745480149735413,-0.026687649926427515,0.6814457141038411,0.11751900333009588,0.06915680069542456,0.06676406175975592,0.3040046921355801
cc,raw,2,T2W20,237,-0.09848287328418452,0.13058830552088155,-0.09870179732744586,0.1305518978492456,-0.06195022873953221,0.34232484249838735,-0.06540695178170725,0.31705050247950833
l3,raw,2,T2W20,237,-0.07823103453053534,0.23020784701083338,-0.07914831783432705,0.22576325323815438,-0.05456785531444439,0.40301808466334127,-0.06446832121761623,0.32406004901187696
lsc,raw,2,T2W40,222,-0.1072947351350123,0.11088313907806932,-0.12397713351197345,0.06581160128052008,0.11993092744130233,0.0745399486200578,0.06253834864384873,0.3547925630591537
atd,raw,2,T2W20,237,0.05490486425035431,0.4001151405461556,0.05874763973301466,0.36892822418472754,0.02228745640112442,0.7328481107240006,0.0558814054651058,0.39278572452440597
l3,raw,2,T2W30,230,-0.040983307747106755,0.5363010849601008,-0.042127399479533534,0.5258874647110234,-0.046867396393517446,0.4793829103686141,-0.05440402960902669,0.4125672608664034
diameter,raw,2,T2W30,230,-0.07222225649343732,0.2753775690678295,-0.07985331181279949,0.22870155324212074,-0.014752670020334889,0.823902547902667,-0.053270416690640074,0.422387438193385
pe,raw,2,T2W30,230,0.1322422949885898,0.04513073258761378,0.13760686022284002,0.03744455565184329,0.026850517690225867,0.6854314482489828,0.05323816954756792,0.4226687619852688
asp,raw,2,T2W30,230,-0.0764644153753223,0.24808475540071617,-0.08436937908410806,0.20336499275912762,-0.012880794066066133,0.8459483125004176,-0.052248533887225404,0.43135521721092795
diameter,raw,2,T2W10,240,0.0028780277469868764,0.964622604940815,-0.0034423244288724723,0.9577811504435987,0.09687000603958945,0.13455203961101922,0.052059382308358916,0.4230491673974334
l2,raw,2,T2W30,230,0.13751649215145084,0.03715203525851396,0.14499398195424812,0.028252970880215136,0.017541390576330966,0.7913181700739895,0.05192484409859816,0.43421853895960133
diameter,raw,2,T2W20,237,-0.07990072023941432,0.22038206481451678,-0.08462409590144707,0.19516765458789667,-0.013175977209262129,0.8400903552826644,-0.05040085862381323,0.4409134824602341
asp,raw,2,T2W10,240,0.00219555362465564,0.9730080624500138,-0.0041588550395022465,0.9490040394519044,0.09293686441946274,0.15118362859903942,0.047818144156589845,0.4618549194437886
lsc,raw,2,T2W10,240,-0.004474739704447909,0.9450208286410337,-0.0031334065686608767,0.9615668583007093,0.03637598496167262,0.5749489933962241,0.047710254335680206,0.46286715986518073
asp,raw,2,T2W20,237,-0.07442783686713846,0.25373357095777055,-0.0790882661862424,0.22611665232194056,-0.010011970007007247,0.8781449455525007,-0.04719809900688879,0.47052603205661253
atd,raw,2,T2W30,230,0.06869304149989172,0.29958146464289187,0.0760872233890258,0.2514762980969772,0.003498893511211183,0.9579116613192022,0.0407457405827756,0.5395619108350149
density,raw,2,T2W20,237,0.021017556411021286,0.7475390383964527,0.023857089447973163,0.7154058985816772,0.009321567887725684,0.8864891311727046,0.036776895924779514,0.5740016713063065
l3,raw,2,T2W40,222,-0.039848684609922594,0.5547784770561219,-0.04155233010243563,0.5388967001595867,-0.0266735608990498,0.6926555449992945,-0.03592656911355603,0.5952596533784925
pe,raw,2,T2W10,240,0.12053818615072556,0.062262207634636524,0.12455614350485196,0.05448118845653134,0.00971318580022819,0.8810060860526456,0.03466503660848327,0.593854213511909
l2,raw,2,T2W20,237,0.12716471726138018,0.0505511493168774,0.1313092033209818,0.04388017220658031,0.004488200631854129,0.9452045351333094,0.034653730336664905,0.5963246380109842
diameter,raw,2,T2W40,222,-0.05715789790737427,0.39670594223726213,-0.06259079249086875,0.3543884040975787,-0.008019010783038268,0.9054274872605461,-0.03439150764618044,0.6110903617940409
cc,raw,2,T2W30,230,-0.06119045902593572,0.3555857007824439,-0.060921695746943595,0.358765299213475,-0.03523840236076617,0.5949543872307184,-0.0342826058858151,0.6057826466176537
