feature,type,task,window_tag,n,r_MOT,p_MOT,r_partial_MOT,p_partial_MOT,r_COG,p_COG,r_partial_COG,p_partial_COG
l2,raw,2,T2W30,230,0.13751649215145084,0.03715203525851396,0.14499398195424812,0.028252970880215136,0.017541390576330966,0.7913181700739895,0.05192484409859816,0.43421853895960133
pe,raw,2,T2W30,230,0.1322422949885898,0.04513073258761378,0.13760686022284002,0.03744455565184329,0.026850517690225867,0.6854314482489828,0.05323816954756792,0.4226687619852688
l2,raw,2,T2W10,240,0.13034054787935784,0.04366435801836335,0.13572348310334634,0.03599832955824389,-0.009382462859305576,0.8850292182042261,0.02123979249675401,0.7439140324426871
l2,raw,2,T2W20,237,0.12716471726138018,0.0505511493168774,0.1313092033209818,0.04388017220658031,0.004488200631854129,0.9452045351333094,0.034653730336664905,0.5963246380109842
l2,raw,2,T2W40,222,0.12191135565211889,0.06983919733238753,0.13018375002813956,0.05328822902131879,-0.010195039565904373,0.8799370144373598,0.02471576053687279,0.7148140397519092
pe,raw,2,T2W40,222,0.12129987513085844,0.07126409597824865,0.12720361067229455,0.059029932054372306,0.007056911301742997,0.9167302443210059,0.03346526907163135,0.6207311564275291
pe,raw,2,T2W10,240,0.12053818615072556,0.062262207634636524,0.12455614350485196,0.05448118845653134,0.00971318580022819,0.8810060860526456,0.03466503660848327,0.593854213511909
lsc,raw,2,T2W40,222,-0.1072947351350123,0.11088313907806932,-0.12397713351197345,0.06581160128052008,0.11993092744130233,0.0745399486200578,0.06253834864384873,0.3547925630591537
pe,raw,2,T2W20,237,0.1107963656904043,0.08877149263936356,0.11381868302225817,0.08100112415407505,0.00909554891577643,0.8892235568445863,0.03327209041410894,0.6110589302493895
lcc,raw,2,T2W40,222,-0.08575255753060824,0.20308288576095507,-0.09958877392054538,0.14000591021576592,0.0593725661716402,0.3786349126960948,0.004655627692335973,0.945133879731558
cc,raw,2,T2W20,237,-0.09848287328418452,0.13058830552088155,-0.09870179732744586,0.1305518978492456,-0.06195022873953221,0.34232484249838735,-0.06540695178170725,0.31705050247950833
atd,raw,2,T2W40,222,0.08660100805294593,0.19863226255101302,0.09729342182881309,0.1494178503389071,-0.013188765198476912,0.8450740767008582,0.03267263059869017,0.6290331432937581
l3,raw,2,T2W10,240,-0.09467083096218676,0.14366907876228346,-0.0954600023493319,0.141182732018772,-0.09508801564573734,0.14190432577335874,-0.10288160834999294,0.11265206147250777
nodes,raw,2,T2W40,222,-0.08214348878277422,0.2228205235327144,-0.09517819122284571,0.15850872934321106,0.05373485531594758,0.4256326491723888,0.0010799424052330823,0.9872635431993851
cc,raw,2,T2W10,240,-0.08542386093730521,0.18720802699885797,-0.08589703881449805,0.18569533663029492,-0.09604621493365233,0.13791369066383619,-0.10158552732129879,0.11727955529654129
nodes,raw,2,T2W30,230,-0.07515923421017731,0.25627380737054145,-0.08537557268145136,0.19800772276891052,0.04082292459640936,0.5378984900989073,-0.005885197588250939,0.9294215765375797
diameter,raw,2,T2W20,237,-0.07990072023941432,0.22038206481451678,-0.08462409590144707,0.19516765458789667,-0.013175977209262129,0.8400903552826644,-0.05040085862381323,0.4409134824602341
asp,raw,2,T2W30,230,-0.0764644153753223,0.24808475540071617,-0.08436937908410806,0.20336499275912762,-0.012880794066066133,0.8459483125004176,-0.052248533887225404,0.43135521721092795
diameter,raw,2,T2W30,230,-0.07222225649343732,0.2753775690678295,-0.07985331181279949,0.22870155324212074,-0.014752670020334889,0.823902547902667,-0.053270416690640074,0.422387438193385
l3,raw,2,T2W20,237,-0.07823103453053534,0.23020784701083338,-0.07914831783432705,0.22576325323815438,-0.05456785531444439,0.40301808466334127,-0.06446832121761623,0.32406004901187696
asp,raw,2,T2W20,237,-0.07442783686713846,0.25373357095777055,-0.0790882661862424,0.22611665232194056,-0.010011970007007247,0.8781449455525007,-0.04719809900688879,0.47052603205661253
nodes,raw,2,T2W20,237,-0.07203470546701311,0.26936219831588215,-0.07809440244055045,0.23202249754777274,0.026494388044306587,0.6848964039759401,-0.01816323655773517,0.7813422232942971
atd,raw,2,T2W30,230,0.06869304149989172,0.29958146464289187,0.0760872233890258,0.2514762980969772,0.003498893511211183,0.9579116613192022,0.0407457405827756,0.5395619108350149
lcc,raw,2,T2W30,230,-0.06277746657082221,0.3432234384441819,-0.07436811766189363,0.26237807152315673,0.0694599521033145,0.2942055791277769,0.01757589443464334,0.7913665334959088
asp,raw,2,T2W40,222,-0.0657325413442966,0.3296005952392418,-0.07194781363583601,0.28692282284968906,-0.0036381653452331212,0.9570135580289534,-0.03307830624578014,0.6247782458683604
diameter,raw,2,T2W40,222,-0.05715789790737427,0.39670594223726213,-0.06259079249086875,0.3543884040975787,-0.008019010783038268,0.9054274872605461,-0.03439150764618044,0.6110903617940409
lcc,raw,2,T2W20,237,-0.05491822200355469,0.4000003368074119,-0.0619696207569049,0.3432047885807245,0.07524478461209454,0.2485449374853176,0.024649239593267997,0.7063850525373658
cc,raw,2,T2W30,230,-0.06119045902593572,0.3555857007824439,-0.060921695746943595,0.358765299213475,-0.03523840236076617,0.5949543872307184,-0.0342826058858151,0.6057826466176537
atd,raw,2,T2W20,237,0.05490486425035431,0.4001151405461556,0.05874763973301466,0.36892822418472754,0.02228745640112442,0.7328481107240006,0.0558814054651058,0.39278572452440597
re,raw,2,T2W40,222,0.04748444053926925,0.4814917020866842,0.05727617649549602,0.3968062834000815,-0.059213786806654886,0.37991350781992284,-0.016009154024990056,0.812921561418752
