feature,type,task,window_tag,n,r_MOT,p_MOT,r_partial_MOT,p_partial_MOT,r_COG,p_COG,r_partial_COG,p_partial_COG
z_l3,z,2,T2W10,240,-0.12807193414958024,0.04749129665575073,-0.13184780353681588,0.04169713641635403,-0.11675081682961586,0.07100709580506434,-0.14325924630025533,0.026790408338815838
z_cc,z,2,T2W10,240,-0.12383895541617213,0.05538167105082214,-0.12734731840053762,0.04924854974332518,-0.10638973096168917,0.10012509040584357,-0.13125625728249457,0.04263039841334138
z_cc,z,2,T2W20,237,-0.16317579850954683,0.011880920157801974,-0.1667437028726495,0.010289265334617045,-0.10281340761269515,0.11442553435741079,-0.13118816511441309,0.04407678868574519
z_l3,z,2,T2W20,237,-0.14629597906222697,0.024295576779158782,-0.150024687347728,0.02113580470411124,-0.09947714760262232,0.12673001307956597,-0.12939103542647978,0.047084071158093335
z_cc,z,2,T2W30,230,-0.13861319399154667,0.035652220001300146,-0.14332725163747315,0.030137922292471985,-0.08924421973223803,0.1774094928516184,-0.11455207925284334,0.08368394198960111
z_l3,z,2,T2W30,230,-0.10651333280676992,0.10714920135404664,-0.11261254577704297,0.08908880455941386,-0.07823501960192095,0.23726894497232404,-0.11040638762380253,0.09557245092547281
z_diameter,z,2,T2W30,230,-0.024745092971875632,0.7089323099488082,-0.019430299546394574,0.7699407744997779,-0.11702447697621046,0.07652994445217699,-0.08881591412352352,0.18046584764044535
z_atd,z,2,T2W10,240,0.05862143133475816,0.3658915893816735,0.06761584557807356,0.2978629513546702,-0.1350998306524686,0.03647169054977371,-0.08768055662454376,0.17669374923329859
z_asp,z,2,T2W30,230,-0.02056176004541005,0.7564329591203022,-0.014885899331538064,0.8227228808233192,-0.11686344212238868,0.07693880177511667,-0.08682818135897888,0.1904556108357927
z_cc,z,2,T2W40,222,-0.13235376824809927,0.048887977197573394,-0.1367110798865184,0.042318558724737665,-0.058465128591919824,0.3859776336622476,-0.07986092585933019,0.23705698047580154
z_diameter,z,2,T2W20,237,-0.033808360612049136,0.6045494076587723,-0.031613375429564654,0.6289565185439645,-0.10114094835344542,0.12047158144469378,-0.07983466201740079,0.2217519780285429
z_lsc,z,2,T2W30,230,0.027799049410346728,0.6749402608989494,0.024044628306576582,0.7174099913749413,0.09939938672138889,0.13284482713176082,0.0797140779125947,0.2295166745926923
z_l3,z,2,T2W40,222,-0.10060041293845788,0.13511188958238898,-0.10932317322115168,0.10504955353762833,-0.03859382652875306,0.5673206203209306,-0.07823000860138841,0.2468014424932159
z_asp,z,2,T2W20,237,-0.01710989422397571,0.7932983017785599,-0.014272112218601285,0.8273517248436515,-0.10000622803858661,0.12471316944974772,-0.0729686180836414,0.26420715915260046
z_lsc,z,2,T2W20,237,-0.006193973889186766,0.9244325631108662,-0.007936296857336787,0.9034737954858786,0.08267827412204388,0.20470554634621038,0.06749927885914031,0.30178361537956255
z_asp,z,2,T2W10,240,0.04174766587443748,0.5197984331683184,0.05001910096579215,0.44147526885126537,-0.11161306291137207,0.08444280142088187,-0.06373476742661874,0.3265198926661031
z_atd,z,2,T2W20,237,0.018795627733089657,0.7734611083676781,0.019663898204747197,0.7637899467129886,0.052430730268366574,0.4217169468327806,0.06236640144821465,0.3401176749256309
z_atd,z,2,T2W30,230,0.038191508950629754,0.5644411710665789,0.033757934088719785,0.611313364060154,0.08675739339012356,0.1898423430411335,0.062092762986482496,0.34958476309602
z_asp,z,2,T2W40,222,0.012944399545567071,0.8479094799704385,0.02176510039535751,0.7476309416267768,-0.09668360645582638,0.15106302693809787,-0.05656490059775165,0.40270539440990166
z_diameter,z,2,T2W40,222,0.019730027023401864,0.7700269094241272,0.027411248507050415,0.6852843463888679,-0.08350315769748638,0.21523037109298004,-0.0485135653335275,0.4730417293268591
z_pe,z,2,T2W30,230,0.13394464380647159,0.04241171658495597,0.13470048413171534,0.04169775200990014,0.04254112076440978,0.5209098132512112,0.04729457567878876,0.47635396644819605
z_l2,z,2,T2W30,230,0.13023320070628344,0.048526020792919136,0.13168796924056872,0.046527889278314444,0.03631410737668853,0.5837531127518214,0.04468024736992787,0.5010930423424441
z_lsc,z,2,T2W40,222,-0.03743128207155075,0.5790591291853826,-0.043620122060219264,0.5188691684504639,0.07123197306078345,0.29065588727492897,0.04346914888069143,0.5203183860052756
z_lsc,z,2,T2W10,240,-0.028442280750584498,0.6610860638248178,-0.033352013586792253,0.6079169273121806,0.07424837779996214,0.2518663664612734,0.041867507129818196,0.5194813693936357
z_density,z,2,T2W20,237,-0.097856667162916,0.1330643830204476,-0.10412059557687474,0.11062788331879356,0.00254788003227936,0.9688769979293662,-0.04135325036416542,0.5272704929088353
z_re,z,2,T2W40,222,0.033798045679721875,0.6164556972442429,0.037874502310642426,0.5754432917478779,-0.05940377746870734,0.37838388869975875,-0.04094626344941033,0.5448388148021558
z_diameter,z,2,T2W10,240,0.06031343066606946,0.35219471367547467,0.06620603271494684,0.3080733276460058,-0.07075723297894657,0.27491554696414683,-0.03531332515531234,0.5869659096516947
z_l2,z,2,T2W20,237,0.13603735078545298,0.03635495242066591,0.13642884794447094,0.036212361301139175,0.030122039394318262,0.6445289625277524,0.0343313778377155,0.5997479171872822
z_re,z,2,T2W10,240,-0.044945535938392275,0.48830433569272735,-0.043108216188509504,0.5071696288543603,-0.04781631874248831,0.46092676262846916,-0.03376249397496415,0.6035047624028842
z_pe,z,2,T2W40,222,0.11118449876822738,0.09845571277216995,0.1121243792152257,0.09638389140138709,0.024398217644365856,0.7177056113480214,0.029265569875628797,0.6652403753802332
