feature,type,task,window_tag,n,r_MOT,p_MOT,r_partial_MOT,p_partial_MOT,r_COG,p_COG,r_partial_COG,p_partial_COG,r_MOT_V4,p_MOT_V4,r_partial_MOT_V4,p_partial_MOT_V4,r_COG_V1,p_COG_V1,r_partial_COG_V1,p_partial_COG_V1
cc,raw,6,T6W150,252,0.08064886683264003,0.20196418830039795,0.08635614835486677,0.17261204492862525,-0.12521596466483514,0.0470687233280618,-0.08596236839349759,0.174585444096993,0.1435724161787036,0.02262945293547656,0.15350837562480624,0.01491912521439716,-0.02982578785281367,0.637483193688172,-0.011213213222180008,0.8596894344368103
density,raw,6,T6W150,252,0.1009760200093901,0.10980617720657138,0.11452230825363591,0.07009723385762713,-0.13892153033836546,0.02745059844718115,-0.07102514468232447,0.26226677072833315,0.1421321332541837,0.02403756997444668,0.16347957580690312,0.009471382811114135,-0.14343766213390333,0.02275810504191194,-0.11846646340515839,0.06091690807281198
atd,raw,6,T6W150,252,0.100699061843703,0.11078906471790367,0.11619434086568331,0.0660762629937661,-0.14708065215037502,0.01949421192824889,-0.07383271716925259,0.24382358504350113,0.1391280930718343,0.027219135087527272,0.1632442112469285,0.009576222802215139,-0.14052715309622169,0.025695060868643937,-0.11368910821338966,0.07217422852949772
asp,raw,6,T6W150,252,-0.10369156104856601,0.1005281105455869,-0.11491934369486285,0.06912479930812379,0.12582591806331694,0.04599584956739429,0.06537714046419715,0.30221137134950327,-0.13783575347960306,0.028695207685149132,-0.15524467195331587,0.013808482935896324,0.10399949469738133,0.09951643831961007,0.07938905330509145,0.2100382296327717
lcc,raw,6,T6W150,252,-0.10129726145902174,0.10867472910960037,-0.11679848650448477,0.06467067858317016,0.15040374195217196,0.016879489906935795,0.07760325891212276,0.2205080216421468,-0.13577809888853512,0.031186687113140318,-0.15958807338078837,0.011342097374455129,0.14654028016759066,0.019951072030070034,0.12020547503392376,0.057196207381375465
nodes,raw,6,T6W150,252,-0.10118430155675641,0.1090715367374095,-0.11666056687244508,0.06498937810586795,0.1506649339295206,0.016687592866292563,0.07793961402308384,0.2185081184920069,-0.13576755839666724,0.03119991045294153,-0.15955224752882738,0.0113607360200057,0.14674085889889119,0.01978041894420561,0.120434366106822,0.05672077921744665
lsc,raw,6,T6W150,252,-0.09525296848265812,0.13155269106816636,-0.11065361798976842,0.08016846373996027,0.14836007584203195,0.018448575865070403,0.07429872188294452,0.24085222580074847,-0.1270434191452954,0.04391548808136581,-0.15071416132104892,0.016870973288629975,0.14938457127478535,0.017646802936279075,0.1230121117427721,0.05158876759466086
re,raw,6,T6W150,252,0.08307544067997437,0.1886784936717707,0.09819754529578595,0.12072714576020553,-0.1590208026736694,0.01147363112471723,-0.0839939415504903,0.1847015882155022,0.11269141012874516,0.07414474406170081,0.13623464133460064,0.030954379342295873,-0.11032908187840298,0.08045490007396322,-0.08009905261916132,0.20597659914113345
l3,raw,6,T6W150,252,0.05666291176295561,0.37038964705839195,0.06792288564612803,0.2837344236737567,-0.19424384718006368,0.001949936586563092,-0.12944303350760972,0.04044688770842725,0.09701583467783607,0.12452676067046298,0.11632793933947405,0.0657633017600843,-0.14619247094492038,0.020250018499930623,-0.1208744501506814,0.05581586688977948
diameter,raw,6,T6W150,252,-0.07580700602272786,0.23047263904605214,-0.08088676902026334,0.20153708739060885,0.1285186318737615,0.04150113973674654,0.09246593075769792,0.14408274861486545,-0.07099381558667003,0.2615198256479806,-0.07871245729564236,0.21396209437161381,0.09547762933083526,0.13064068254181518,0.07967538563553443,0.20839335425895003
pe,raw,6,T6W150,252,0.03249549266064041,0.607656903411112,0.036467838172434715,0.565246227368584,-0.06028304385548882,0.3405530742660411,-0.024354382778476676,0.7009955018325099,0.0707995560339212,0.26283049934947195,0.07784757059225281,0.2190540993126089,-0.02092409998052951,0.7409885038220362,-0.004819706001317373,0.939436761225888
l1,raw,6,T6W150,252,-0.03299456761482799,0.6021505119174867,-0.029546048847722176,0.6413138154525871,-0.032016134424086067,0.612966675169981,0.011572622997027668,0.8552407584442356,-0.06251850242018671,0.3229158505923447,-0.05676558972346852,0.37048279317462685,-0.027327582378032164,0.6659334479781502,-0.008603461554486293,0.892116470235738
l2,raw,6,T6W150,252,0.025508297398262346,0.6869599484872173,0.02712984005723514,0.6688325579311268,-0.007469559828269106,0.906077393914212,0.00924317792656561,0.8841490366997871,0.04224327983740854,0.5044174490429096,0.04503069406433616,0.4775679223863181,-0.02302420542308862,0.7160603718053117,-0.015910221085311475,0.8019509635554619
edges,raw,6,T6W150,252,-0.03716084108508862,0.5570827683433874,-0.03929864275268386,0.5354294430643481,0.026537039808606964,0.6750393435490751,0.0058363171308824175,0.9266949442248594,-0.007454381351392842,0.9062673727925132,-0.01084796708954562,0.8642148901857827,0.10432133517518166,0.0984677230410586,0.09603293308996465,0.1291751948090753
