feature,type,task,window_tag,n,r_MOT,p_MOT,r_partial_MOT,p_partial_MOT,r_COG,p_COG,r_partial_COG,p_partial_COG,r_MOT_V4,p_MOT_V4,r_partial_MOT_V4,p_partial_MOT_V4,r_COG_V1,p_COG_V1,r_partial_COG_V1,p_partial_COG_V1
z_l2,z,6,T6W150,252,-0.0563501035373716,0.3730413718181119,-0.06251575314309496,0.3239087841515797,0.10401923111846553,0.09945187342474474,0.057896564022458845,0.36101010078015977,-0.0747637088189624,0.23697075769749248,-0.08478022454959717,0.1806101957564553,0.02368291983624646,0.7083016054084039,0.0022393490246249022,0.9718397933199143
z_l3,z,6,T6W150,252,0.06554338834067347,0.30001043549104756,0.0695181003423227,0.27255211802070917,-0.09760050461561065,0.12226192822386597,-0.06639006178302441,0.2947664403915547,0.061611433644661234,0.32999974538700294,0.0678244516620481,0.2844344084190551,-0.10509055059854398,0.09599676707835879,-0.09183586221080509,0.14684706944147727
z_diameter,z,6,T6W150,252,-0.02232365377492807,0.7243440062991575,-0.019452695670335834,0.759087449289853,0.06695878106105362,0.2896717949713594,0.1037746753469512,0.10093757908368314,0.023568163370469776,0.709651145649723,0.0292186388866695,0.6450152545470069,0.024009389633065776,0.7044672972461545,0.039192828291461874,0.5365296498596761
z_pe,z,6,T6W150,252,-0.02371595024471008,0.7079133350490702,-0.024526004405803267,0.6989904371562802,0.045256343454040934,0.4744749844183892,0.03779104819458286,0.5512105040632492,-0.009202602292946541,0.8844238306430969,-0.010562655004117252,0.8677530410661988,0.027754552585257164,0.6610355528021913,0.02418811282664274,0.7029400191139313
z_asp,z,6,T6W150,252,0.02222833212982709,0.72547364079325,0.025240496112208893,0.6906655390466736,0.04455692516926847,0.48133780592682024,0.07679399516125762,0.22537312455536881,0.032260304700099794,0.6102594945348605,0.03737263830877628,0.5556302494528328,0.016082102385062802,0.7994626120725311,0.02952816114684113,0.6415158120828871
z_cc,z,6,T6W150,252,0.021210942445304436,0.7375670423149061,0.017818280327427525,0.7787810622872297,0.027660571580871075,0.6621124069463128,-0.012246979997246941,0.846906187564353,0.03810990124064207,0.5470496724525074,0.03235120821153625,0.6099710882596926,0.04838336287177764,0.44445527152301806,0.03172709626725054,0.6168858865206752
z_re,z,6,T6W150,252,0.019060629712587752,0.7633373609326755,0.02046369415134599,0.746981990085153,0.02487103972011881,0.6943834362848197,0.04042379223564351,0.5238010271439302,-0.007674027163780489,0.9035187375592175,-0.0053729543917187495,0.9325004362824503,0.030809355233887066,0.6264231982316072,0.03742732611724809,0.5550515957271964
z_l1,z,6,T6W150,252,-0.04113729437414962,0.5156516096501484,-0.04040169690152305,0.5240281369660122,0.00964476964833651,0.8789122145561754,0.01836867116882261,0.7721327416324549,-0.09131566906679707,0.14834390235596456,-0.09011343522567537,0.15460961678699833,-0.022104084179694557,0.726946965609666,-0.01857325712328116,0.7696656965254576
z_density,z,6,T6W150,252,0.012621111206263863,0.8419766303067531,0.01018465393917257,0.8724446730823954,-0.004129790132417968,0.9479887028689657,-0.03204417757572486,0.6133685371063843,0.04059519864463589,0.5212047595747082,0.0365913146974335,0.5639292791923275,0.03342658031702482,0.5974021623332604,0.021874972569267244,0.7301874972971804
z_lsc,z,6,T6W150,252,0.021574590768543993,0.7332368661513698,0.021581037290767217,0.733675103976093,0.0014090719590781704,0.9822428482977765,0.0014651101203961478,0.9815738080822646,0.03546800224318241,0.5751969412409935,0.03549313356732474,0.5756932546769732,0.029692967003871848,0.6389829749959908,0.029841012399575303,0.6379867582111705
