feature,type,task,window_tag,n,r_MOT,p_MOT,r_partial_MOT,p_partial_MOT,r_COG,p_COG,r_partial_COG,p_partial_COG,r_MOT_V4,p_MOT_V4,r_partial_MOT_V4,p_partial_MOT_V4,r_COG_V1,p_COG_V1,r_partial_COG_V1,p_partial_COG_V1
z_lsc,z,6,T6W160,250,0.07556884954645357,0.23382497991581452,0.07463977224367824,0.24059253257418364,0.01865465575507591,0.7691374275173573,0.00845992665605874,0.8943309466039776,0.07486937431196407,0.23819423403058174,0.07333835134582374,0.24891450405488796,0.05041534878419061,0.42740118624376217,0.04608758751080774,0.46908086426480083
z_diameter,z,6,T6W160,250,-0.05129426401186316,0.4193780518465164,-0.048578824868972345,0.4453712539777359,0.08489298922457474,0.18090763273388144,0.1223840520543912,0.053764778194365204,0.00568230891315402,0.9287674795810037,0.011085506883759519,0.8618249755786669,0.025028720440257,0.6937159596822866,0.04029811604733901,0.5267655873257553
z_l2,z,6,T6W160,250,-0.03534335990638621,0.5780735834911801,-0.041353607644442375,0.5159871975009996,0.13009033998903716,0.03984591226682099,0.08439589061618076,0.18437205773014412,-0.0644512938979096,0.3100996007459143,-0.07435783411467371,0.24237865287593488,0.030522685596032897,0.6310145405456226,0.008747401888839839,0.890762240418895
z_l3,z,6,T6W160,250,0.029442294105629877,0.6431557880211871,0.03317364396314044,0.6023801892135963,-0.11624133598498791,0.0665129234612363,-0.0856040559103076,0.17814608048298097,0.03686522248881359,0.5618023912652526,0.04276184601696796,0.5017857715023539,-0.09322081872655244,0.14162511099131897,-0.07962963250420609,0.21049654229360673
z_l1,z,6,T6W160,250,-0.017945728016499247,0.7776769860800988,-0.01742702992771936,0.7843682193719,0.018303713903316633,0.7733613737648332,0.024250950844585843,0.7033486463229146,-0.06972337233992806,0.27210165071751213,-0.06893620581464105,0.2785372638388391,-0.015595797485538033,0.8061696980781229,-0.013305159523295763,0.8345226305839675
z_re,z,6,T6W160,250,0.012296423591139471,0.8466014854362134,0.014186816820164228,0.8237308755551846,0.025517649818585793,0.6880425726528983,0.045376110355106365,0.4759773442697194,-0.03464093632879088,0.5856572216742849,-0.03181552071768532,0.6173279964773435,0.0013845504271129889,0.9826218816194601,0.009669684045322478,0.8793282562673965
z_pe,z,6,T6W160,250,-0.005487495371419143,0.9312034997501535,-0.0065311628291330566,0.9183260521168878,0.05613012115079518,0.37683422205706474,0.046877340638804825,0.4614904168198841,0.0009095241366623919,0.9885836413111756,-0.0007578375598732422,0.9905067501463781,0.012820040373543926,0.8401551146582732,0.008246579860711397,0.8969808043681391
z_asp,z,6,T6W160,250,-0.004831778686986765,0.9394073991808134,-0.0020592053417224513,0.9742086880338414,0.027284176134231886,0.6676913379913555,0.05737877871934999,0.3672645615685593,0.0016000530594103121,0.9799175402095469,0.006145793152290629,0.9231298905387778,-0.011265427188411186,0.8593238033489844,0.001211742143508935,0.984821350081026
z_density,z,6,T6W160,250,0.00012376364149309827,0.998446465463033,-0.0032932994500441733,0.9587629215814646,-0.0018040119304484166,0.9773582721751976,-0.03731675388881144,0.5578152287124346,0.036827823658268345,0.5621995944582057,0.03179165183376159,0.6175921416381778,0.0318411899328151,0.6163307138149889,0.01704289405705708,0.7890083245353511
z_cc,z,6,T6W160,250,-9.608978376793344e-05,0.9987938393443331,-0.0040531764699797326,0.9492596771561721,0.005465608773140361,0.9314772182771482,-0.0353158999849256,0.5791378390763859,0.027377486178941556,0.6666229241109317,0.02146764930313766,0.7360504626061685,0.03228384475200984,0.6114346146638509,0.015216168104786593,0.8111732267888099
