feature,type,task,window_tag,n,r_MOT,p_MOT,r_partial_MOT,p_partial_MOT,r_COG,p_COG,r_partial_COG,p_partial_COG,r_MOT_V4,p_MOT_V4,r_partial_MOT_V4,p_partial_MOT_V4,r_COG_V1,p_COG_V1,r_partial_COG_V1,p_partial_COG_V1
l3,raw,6,T6W180,247,0.07752134087934977,0.2247511214344839,0.09039726997341672,0.157508751195201,-0.1628274984743613,0.010371750227095097,-0.09377657620272024,0.1424929161308512,0.13049775719388096,0.040432670250379665,0.15192630678518623,0.017098021143653577,-0.14152118644832473,0.02614147842316756,-0.11207108419815444,0.07937151469354002
re,raw,6,T6W180,247,0.08197505288395156,0.19915387981254165,0.09613292167764216,0.1326867257823716,-0.15563201974772434,0.014346058363927683,-0.08240320107101429,0.1977276346386584,0.12172571865819401,0.05607196938500988,0.144157428593031,0.023738863433491603,-0.11523895391026732,0.07061222611292474,-0.08261439982605184,0.1965770568614944
lcc,raw,6,T6W180,247,-0.0931614487103117,0.14431841374862334,-0.107413495733094,0.09276272011507218,0.10796685253225194,0.0904216207897677,0.03249226966350913,0.612042794263043,-0.13303186740746706,0.03666721212532136,-0.15521693360585542,0.014815000449350647,0.1270142696814555,0.04613634321338062,0.09608864471917114,0.13286607361056085
nodes,raw,6,T6W180,247,-0.0937498349152608,0.1417899484488549,-0.10799045994006094,0.09101199567307315,0.10787047018162571,0.0907113057033302,0.03256562065805925,0.6112393382782555,-0.1338318026504876,0.035542042310744815,-0.15599385572305563,0.014316647316250502,0.12680199074075146,0.04650466286295979,0.09592089213618922,0.1335472631197049
atd,raw,6,T6W180,247,0.09522097894421289,0.13561609926111617,0.10918698093357858,0.08746549206973209,-0.10563022301983464,0.0976559837354315,-0.03144614212628697,0.6235517586329551,0.13910800656016936,0.028830069001386356,0.16104671250127042,0.011419677537894251,-0.12453103340907393,0.05060111923417479,-0.09393799181223192,0.14180400222347048
lsc,raw,6,T6W180,247,-0.08679395714738973,0.1739178983286717,-0.10090268365382535,0.11443527309704457,0.1023551116628472,0.10856111504788549,0.02532725740528215,0.6926342744526549,-0.11089654558115435,0.08196370160598362,-0.1320162916784367,0.03853545987712066,0.1355819478872211,0.03318208286894228,0.10494574271548593,0.10055605110805108
asp,raw,6,T6W180,247,-0.09671346439205698,0.1295656996523505,-0.1065431068870517,0.09545453230071485,0.08640325322416578,0.1758709877898971,0.027419323608948717,0.6686908749287076,-0.13839220416184736,0.029671718983628144,-0.153839846951621,0.015735733743486895,0.08829062923495824,0.1665850726584883,0.06194925376772414,0.333235667439644
density,raw,6,T6W180,247,0.10148041039321504,0.11162997971351077,0.11376039635871085,0.07491892566626675,-0.08142525001833754,0.20219401758030345,-0.012852466441915091,0.8410390119063915,0.1414224957456981,0.026247052080074267,0.16039783839620614,0.011760145686859708,-0.11787646651663086,0.0643668499467343,-0.08950915717892027,0.1616461009071864
cc,raw,6,T6W180,247,0.050157523344766954,0.43258090445488256,0.05659484114436833,0.37678096823429036,-0.07719126009061146,0.22673719633233944,-0.02767974408925853,0.6657330953996708,0.11187524691317616,0.07928468212922034,0.12328743094751181,0.05345672760743448,-0.025949945247148262,0.6848638457458074,-0.0017135938590675174,0.9786672685648663
l1,raw,6,T6W180,247,-0.005240841728185045,0.9346872308248,-0.0010419347079472843,0.9870278640648052,-0.07096461600460262,0.266550956092465,-0.0291625938593596,0.6489908156020716,-0.0408058260007034,0.523261012520807,-0.034517161038391635,0.590036088215373,-0.055895299034612725,0.3817417461803115,-0.036211525100440026,0.5719048987459088
diameter,raw,6,T6W180,247,-0.10209212883609324,0.10947672662910446,-0.10588576806772779,0.09752836708598431,0.06894838106056021,0.2804106771962294,0.0409562963345125,0.522581613551538,-0.10659700059055767,0.09460890165153477,-0.1123489152931464,0.07862487008436561,0.06899315983821254,0.2800976778563348,0.05576376540714181,0.3838395095916591
edges,raw,6,T6W180,247,-0.03139363848814018,0.623420743894554,-0.03385910576415025,0.5971481182382857,0.049655803557214856,0.4372042025130709,0.027230325453392143,0.6708406687474793,-0.002150244350821299,0.9731782910655433,-0.005933584460969073,0.9262281351416063,0.16174837439703962,0.01089754114616266,0.15233901730877772,0.016795805588128227
pe,raw,6,T6W180,247,0.03823020602354788,0.5498360956539902,0.04287766253111711,0.5032451015238061,-0.04573347354732852,0.47430848688985044,-0.005573779871619232,0.9306900005036649,0.0785520557774625,0.21862898386875973,0.08648902006118786,0.17632630424750423,-0.02601930140219877,0.6840667238457624,-0.006901909395105808,0.914231964907515
l2,raw,6,T6W180,247,0.031154483476289324,0.6260700036749128,0.03303225220979488,0.6061389688301376,0.008068559838108643,0.8996003756467453,0.026887166201325752,0.674750838679771,0.05084958988016126,0.4262499728859897,0.053959156621248706,0.3994410616766053,-0.03927574794676323,0.5389689879021397,-0.030953830029887518,0.6289999319223473
