feature,type,task,window_tag,n,r_MOT,p_MOT,r_partial_MOT,p_partial_MOT,r_COG,p_COG,r_partial_COG,p_partial_COG,r_MOT_V4,p_MOT_V4,r_partial_MOT_V4,p_partial_MOT_V4,r_COG_V1,p_COG_V1,r_partial_COG_V1,p_partial_COG_V1
l3,raw,6,T6W200,248,0.0444915115912464,0.4855157417795912,0.0544279360885852,0.3943836139033606,-0.19601184194056373,0.0019264508740011524,-0.13229762857355604,0.037726377467893604,0.09044388114676752,0.15559955940159537,0.10795592236631434,0.09045443504876542,-0.16925203312359005,0.007557677691842818,-0.14498168089613037,0.022663351994551988
diameter,raw,6,T6W200,248,-0.08185231203641126,0.19891251159810075,-0.08455231123190553,0.1853449410981376,0.10169202734388705,0.11015407028465994,0.0799862185514914,0.2103099683334727,-0.07525106743798506,0.23770486511083028,-0.07936239396812673,0.2139001168231883,0.07576171791129194,0.23452686949399687,0.06563605846479267,0.3042192747986636
cc,raw,6,T6W200,248,0.07949072372815535,0.21222454159588328,0.08411578541957662,0.187632962022461,-0.11323138129236424,0.0750940513165224,-0.07875932848962912,0.21741236381321766,0.14943073828778303,0.018543439186981304,0.15739468626595263,0.013265550991780194,-0.023264126908938896,0.7154381629739593,-0.006538779603567726,0.9185623689702781
nodes,raw,6,T6W200,248,-0.0875876063388653,0.16912943353430251,-0.09955453580466438,0.11862642338039044,0.14288759805911525,0.02442435353884168,0.07687546755588916,0.22864891434064685,-0.11946670246371123,0.06030020923448093,-0.13780927838790177,0.030372561190267627,0.15067633377559306,0.01757571835711677,0.12582506733275556,0.04823155260969935
lcc,raw,6,T6W200,248,-0.08823806588335531,0.16597368436393886,-0.10023588709218355,0.11611311046556325,0.1426318450094771,0.024683653497031097,0.0766236533730667,0.23018147877067852,-0.11977319950841596,0.059639859888560624,-0.13812340235257406,0.02999315890602063,0.15070741504310853,0.01755214438804266,0.12586530047734212,0.048159390708429756
re,raw,6,T6W200,248,0.061199895834850575,0.3371519164198782,0.073162819955882,0.25198254868257125,-0.14619448896843348,0.021277196834291908,-0.07390063257318112,0.24721881812685592,0.09670890192396653,0.12880242490412283,0.11619402086113834,0.0682959704548862,-0.11294367501177671,0.07584212777689446,-0.08342841235539442,0.19127767745655933
atd,raw,6,T6W200,248,0.09013077716081508,0.15704157763349325,0.10212406459015975,0.10936521522100175,-0.13661428997374514,0.031505564467883385,-0.07051704001275053,0.2695864199071898,0.12334215220938496,0.05238029555350837,0.14173124843126655,0.02591798016553085,-0.14661881557993328,0.020899958530474248,-0.12163832383200145,0.0562499742373678
lsc,raw,6,T6W200,248,-0.090859984834178,0.1536986570552683,-0.10359998658283433,0.10430836568355002,0.13750962452232285,0.030398579847043028,0.06895289321627963,0.28037912696918127,-0.11613868171798693,0.0678657302306336,-0.13511739750407414,0.03379512354422933,0.15026339693574425,0.01789154289852244,0.12481019899411362,0.05008188798424815
density,raw,6,T6W200,248,0.0953738275811717,0.13419123623761528,0.10583965340094087,0.09698937436163182,-0.12537905452564405,0.0485770009892905,-0.06524988944904248,0.30707938931526796,0.12553384306127485,0.04829765533885683,0.14139495670917326,0.026276577034529996,-0.14601858382934177,0.021435301309162134,-0.12301018375873053,0.05350913102360963
asp,raw,6,T6W200,248,-0.10138270355481711,0.11124623765071946,-0.11011650248447465,0.08415078575698018,0.1139544902258668,0.07324028284109475,0.06117871630758292,0.3383053693131314,-0.13318047036215575,0.03607521965696211,-0.1464739290689328,0.02129150154159463,0.09753947590883529,0.12553524379620243,0.07512247842987949,0.2394684434843561
l2,raw,6,T6W200,248,0.04692033767030214,0.46198969637053594,0.04846933294648262,0.4482491695181647,-0.0019597142565168932,0.9755042247687945,0.014143088394928702,0.8249681361085284,0.05120775755214564,0.42204791112768436,0.053711778408141134,0.40064392196127674,-0.030471775723422263,0.6329658290492693,-0.023588909306220884,0.7122025545197959
pe,raw,6,T6W200,248,0.045530217321388705,0.4753765530316783,0.04985497200283904,0.43536551009848967,-0.05237689282055263,0.4115158959166634,-0.013811327104290031,0.8290101290374846,0.07701313984793752,0.22686554003700818,0.08421338467183775,0.18711961214626022,-0.021214588035851085,0.7395591088972827,-0.0037263328643413734,0.953535912138321
edges,raw,6,T6W200,248,-0.056609299172786405,0.37470624017767334,-0.058869050789707625,0.35689073217743233,0.01978136967858269,0.7565808385597412,-0.0020432025996320368,0.9745130447427114,-0.02126744832647133,0.7389336697401125,-0.024638740084449735,0.6999985176666905,0.10991991521259122,0.08407543824015236,0.1011355154738311,0.11285857205351248
l1,raw,6,T6W200,248,-0.0389578466776109,0.5414371560533706,-0.03573738082076185,0.5761708690699462,-0.04239084375866178,0.5063717274918094,0.0013636118567348858,0.9829886801034241,-0.06558728023602466,0.3035926910149416,-0.060315309716118426,0.3451794534190666,-0.02037846997709288,0.7494745222997506,-0.0007778170388125291,0.99029609003003
