feature,type,task,window_tag,n,r_MOT,p_MOT,r_partial_MOT,p_partial_MOT,r_COG,p_COG,r_partial_COG,p_partial_COG,r_MOT_V4,p_MOT_V4,r_partial_MOT_V4,p_partial_MOT_V4,r_COG_V1,p_COG_V1,r_partial_COG_V1,p_partial_COG_V1
density,raw,6,T6W50,252,0.09600503374558078,0.1285188507241111,0.11512466704186598,0.06862625082900443,-0.14470604177865976,0.021571812837189935,-0.059807720388845596,0.3453496259791247,0.15030741403614883,0.01695074616008871,0.1816809625558973,0.003876082879915872,-0.12743563724617357,0.04326235150915815,-0.09636679528769158,0.12784321804946444
lsc,raw,6,T6W50,252,-0.10605658863685881,0.0929637195215668,-0.1265341188979521,0.045206507289205965,0.10469059685414685,0.09727531287188951,0.013712746761760024,0.8288501570359349,-0.1481074628048644,0.01865107527945065,-0.17977343052096154,0.00427336019566082,0.13384183703281674,0.03369740111433079,0.10323624096616243,0.10272827715742035
atd,raw,6,T6W50,252,0.09454631234988195,0.13445335202916578,0.11407828955872652,0.07119792882229328,-0.15724970119591494,0.012439670778549475,-0.07250210519935449,0.2524484237063551,0.1448914834467427,0.021402935921831946,0.17660803217542295,0.005014170470310443,-0.12877578036259815,0.04109193719779234,-0.09745554486693611,0.12357322582492833
lcc,raw,6,T6W50,252,-0.09944411861056256,0.11532947892409119,-0.11911180330714334,0.05951356046129637,0.15594108768966317,0.013198753207487665,0.07197070674438115,0.2559512367806408,-0.1453138560137347,0.021022558175067443,-0.17649245179896214,0.005043281986180116,0.14049173420317057,0.025732719987011404,0.11068141028598728,0.08009215328303673
nodes,raw,6,T6W50,252,-0.0969785154282262,0.1246724210156909,-0.11655969226636051,0.06522328982760424,0.15516130264262962,0.013670182947923428,0.07066394280838281,0.26470729330039083,-0.14467050956365513,0.021604302402605014,-0.1760420882026048,0.005158170549672376,0.13839046987411416,0.028053438326455384,0.10825168497767272,0.08698856390453905
asp,raw,6,T6W50,252,-0.09687043419283611,0.1250950168588996,-0.1127913106781603,0.07446803787562291,0.12653443447211896,0.04477538786381668,0.048988058381649865,0.43969588422452816,-0.12626041117796624,0.045244150581072104,-0.15044770217004583,0.017068249349203254,0.08244748326372321,0.19205352284408717,0.050193442722099295,0.4285102187127825
diameter,raw,6,T6W50,252,-0.09539444982204026,0.130977778900911,-0.10931984063969084,0.0839002377273472,0.130186573092985,0.03890691257901078,0.05907400833774512,0.3513102001865078,-0.11823872042036182,0.060898804277742295,-0.1391299388899657,0.027527136124345115,0.08250985131453067,0.19171635818162594,0.05255217754137217,0.4071042785927244
re,raw,6,T6W50,252,0.07914811384540059,0.2105130222431725,0.09395173043890781,0.1377212209342371,-0.17376203813256463,0.005679316581749646,-0.10032484874927672,0.11284972343351672,0.10876319467726449,0.084871622319976,0.13198558587103387,0.03663953043084822,-0.1435416088852491,0.022658809683856116,-0.11615721833106189,0.06616344066013297
l3,raw,6,T6W50,252,0.07172540983574602,0.2566240825924607,0.08232668646919865,0.19360186002121266,-0.20829283062125753,0.0008789057109083971,-0.15055370719078148,0.01698952764270788,0.10850307039581042,0.0856238607701064,0.12593039160842529,0.04625101033555789,-0.14960747930822685,0.01747643164668471,-0.12629767774026962,0.045613193029899364
cc,raw,6,T6W50,252,0.04576865036702828,0.469482228915232,0.054745979334128246,0.38777580341968954,-0.1594366627595205,0.011256633419121455,-0.09902388825300153,0.11761785224724854,0.1035185470807116,0.10110008821885992,0.12021238526202249,0.057181806114393496,-0.06399000511642554,0.31163517331250756,-0.03624587977883541,0.5676172290239881
pe,raw,6,T6W50,252,0.02070694251076812,0.7435821561671766,0.02367368242665589,0.7089684485532427,-0.05503664755916295,0.3843027807331499,-0.026524530278342798,0.6757982597640855,0.05970154535492587,0.34523964647061717,0.06502779865881743,0.3048076113117949,-0.03397788945688304,0.5913673003699368,-0.02135500332686977,0.736360771512657
l2,raw,6,T6W50,252,0.007578446067595148,0.9047146946922217,0.008978357975388299,0.8874459068653149,-0.010575811007361527,0.867326149109403,0.00427082193689209,0.9463228860795655,0.05001388102087423,0.4292396980539197,0.05252103623903691,0.40738269644181724,-0.02225846435484143,0.7251164865333575,-0.015895071672336326,0.8021356494444751
l1,raw,6,T6W50,252,-0.013521858567003001,0.8308625621701197,-0.009556962165706154,0.8802451707934212,-0.029454234839433484,0.6416823710147842,0.015796820407190135,0.8033336929735828,-0.03777076674125086,0.5506246435916066,-0.03131657557847875,0.6214527515609554,-0.03412578513228234,0.5897531222089041,-0.01493313127861756,0.8138847056007064
edges,raw,6,T6W50,252,-0.04111783031736758,0.515850467047125,-0.04368629698950911,0.4908261682999167,0.024006682084692355,0.7044990662226608,-0.00046648024106913706,0.994132770719019,-0.015001212138420721,0.8126829684511092,-0.01904345314963573,0.7640045466279946,0.10746131482163665,0.08869028879454925,0.0977767599482583,0.12233482037572523
