feature,type,task,window_tag,n,r_MOT,p_MOT,r_partial_MOT,p_partial_MOT,r_COG,p_COG,r_partial_COG,p_partial_COG,abs_r_MOT,abs_r_partial_MOT,abs_r_COG,abs_r_partial_COG
nodes,raw,6,T6W150,252,-0.10118430155675641,0.1090715367374095,-0.10397965739925512,0.10026239202675594,0.1506649339295206,0.016687592866292563,0.1312687829819839,0.037680877994332465,0.10118430155675641,0.10397965739925512,0.1506649339295206,0.1312687829819839
edges,raw,6,T6W150,252,-0.03716084108508862,0.5570827683433874,-0.03721413228201428,0.5573090596318004,0.026537039808606964,0.6750393435490751,0.026179320797403125,0.6797832507735301,0.03716084108508862,0.03721413228201428,0.026537039808606964,0.026179320797403125
re,raw,6,T6W150,252,0.08307544067997437,0.1886784936717707,0.08603339661761926,0.17422825931743163,-0.1590208026736694,0.01147363112471723,-0.13788204327850878,0.02896221320344705,0.08307544067997437,0.08603339661761926,0.1590208026736694,0.13788204327850878
pe,raw,6,T6W150,252,0.03249549266064041,0.607656903411112,0.033857476926906015,0.5934252934964819,-0.06028304385548882,0.3405530742660411,-0.04537173415453976,0.4742358710782043,0.03249549266064041,0.033857476926906015,0.06028304385548882,0.04537173415453976
l1,raw,6,T6W150,252,-0.03299456761482799,0.6021505119174867,-0.031924115714148965,0.6146993359863008,-0.032016134424086067,0.612966675169981,-0.015549459423762296,0.8063519598426062,0.03299456761482799,0.031924115714148965,0.032016134424086067,0.015549459423762296
l2,raw,6,T6W150,252,0.025508297398262346,0.6869599484872173,0.025995857593358727,0.6819047257283769,-0.007469559828269106,0.906077393914212,-0.0013220800261833391,0.9833723760944164,0.025508297398262346,0.025995857593358727,0.007469559828269106,0.0013220800261833391
l3,raw,6,T6W150,252,0.05666291176295561,0.37038964705839195,0.05873795617090331,0.35406174458582856,-0.19424384718006368,0.001949936586563092,-0.17741848628781826,0.004814245969145065,0.05666291176295561,0.05873795617090331,0.19424384718006368,0.17741848628781826
lcc,raw,6,T6W150,252,-0.10129726145902174,0.10867472910960037,-0.10409001396344696,0.09990037519001566,0.15040374195217196,0.016879489906935795,0.1310210015442981,0.03804661984051593,0.10129726145902174,0.10409001396344696,0.15040374195217196,0.1310210015442981
lsc,raw,6,T6W150,252,-0.09525296848265812,0.13155269106816636,-0.09756096198691437,0.12316573523360078,0.14836007584203195,0.018448575865070403,0.1312290544657988,0.03773931899831539,0.09525296848265812,0.09756096198691437,0.14836007584203195,0.1312290544657988
atd,raw,6,T6W150,252,0.100699061843703,0.11078906471790367,0.10354080425052146,0.10171231552758274,-0.14708065215037502,0.01949421192824889,-0.1273402192170116,0.0438427590839744,0.100699061843703,0.10354080425052146,0.14708065215037502,0.1273402192170116
