feature,type,task,window_tag,n,r_MOT,p_MOT,r_partial_MOT,p_partial_MOT,r_COG,p_COG,r_partial_COG,p_partial_COG
l3,raw,6,T6W30,252,0.07323254261812999,0.24673885807712811,0.07434766160031628,0.24054165155925983,-0.20832656949786713,0.0008771696255254403,-0.19947213412580134,0.0014909416740881598
l3,raw,6,T6W50,252,0.07172540983574602,0.2566240825924607,0.07321624324261575,0.24779355965199726,-0.20829283062125753,0.0008789057109083971,-0.19651850152490274,0.0017572472053189717
l3,raw,6,T6W40,252,0.07231084986077564,0.2527522219984891,0.07360628418927281,0.24527657845472034,-0.20497959712049263,0.0010656653773337475,-0.19462750177923624,0.0019498615004121386
l3,raw,6,T6W200,248,0.0444915115912464,0.4855157417795912,0.0458712209151386,0.47297696016968604,-0.19601184194056373,0.0019264508740011524,-0.1818665030469408,0.004134523266114573
l3,raw,6,T6W150,252,0.05666291176295561,0.37038964705839195,0.05873795617090331,0.35406174458582856,-0.19424384718006368,0.001949936586563092,-0.17741848628781826,0.004814245969145065
cc,raw,6,T6W30,252,0.03598992553869676,0.5695826906641559,0.03733278405501016,0.5560521331201497,-0.170655407864971,0.006616565021405296,-0.15799912564141919,0.012195185974333052
cc,raw,6,T6W40,252,0.045477806764850096,0.472313134601076,0.04671729907463102,0.4612140554191971,-0.16678946332941028,0.007974510784898732,-0.15539512923045756,0.013715748674748408
re,raw,6,T6W50,252,0.07914811384540059,0.2105130222431725,0.08198580958386746,0.19545946943228104,-0.17376203813256463,0.005679316581749646,-0.1533594510460549,0.01501793230033349
cc,raw,6,T6W50,252,0.04576865036702828,0.469482228915232,0.0469218267640089,0.45925225822312776,-0.1594366627595205,0.011256633419121455,-0.14871712164082973,0.01839914223614522
re,raw,6,T6W40,252,0.07945171703786788,0.2087629226199282,0.08213681599322638,0.19463496346404047,-0.16493306693887871,0.008710720226000225,-0.14516579472999253,0.021415472919236782
re,raw,6,T6W30,252,0.08883810111908617,0.15971483680675086,0.09168716780616491,0.14750528343449656,-0.1603999567109654,0.010767841059749655,-0.1402371035910034,0.026305371292660865
lcc,raw,6,T6W50,252,-0.09944411861056256,0.11532947892409119,-0.10197076406617323,0.1070358355150378,0.15594108768966317,0.013198753207487665,0.13796840326005125,0.028860877805137627
re,raw,6,T6W150,252,0.08307544067997437,0.1886784936717707,0.08603339661761926,0.17422825931743163,-0.1590208026736694,0.01147363112471723,-0.13788204327850878,0.02896221320344705
atd,raw,6,T6W50,252,0.09454631234988195,0.13445335202916578,0.09740414080675877,0.12377230759864252,-0.15724970119591494,0.012439670778549475,-0.13731182972654354,0.029638976429807087
nodes,raw,6,T6W50,252,-0.0969785154282262,0.1246724210156909,-0.09955104575590204,0.1156671770125335,0.15516130264262962,0.013670182947923428,0.13679993454980946,0.03025799355570728
nodes,raw,6,T6W150,252,-0.10118430155675641,0.1090715367374095,-0.10397965739925512,0.10026239202675594,0.1506649339295206,0.016687592866292563,0.1312687829819839,0.037680877994332465
lsc,raw,6,T6W150,252,-0.09525296848265812,0.13155269106816636,-0.09756096198691437,0.12316573523360078,0.14836007584203195,0.018448575865070403,0.1312290544657988,0.03773931899831539
atd,raw,6,T6W40,252,0.10198140066775829,0.10629567809347629,0.10492049498299966,0.09720917500703358,-0.15127033826598757,0.016250109481069124,-0.13121465364303483,0.03776052165561753
lcc,raw,6,T6W150,252,-0.10129726145902174,0.10867472910960037,-0.10409001396344696,0.09990037519001566,0.15040374195217196,0.016879489906935795,0.1310210015442981,0.03804661984051593
nodes,raw,6,T6W40,252,-0.10517115003139792,0.0957407379226345,-0.10781639360086391,0.08827298146888217,0.1490923411821706,0.01787234866251557,0.13063755826431828,0.03861852023148235
lcc,raw,6,T6W40,252,-0.1089318326168852,0.08438679316447015,-0.11151340117906125,0.07783475767354028,0.14803674110259257,0.01870811233330097,0.13007156459383015,0.03947595073930586
re,raw,6,T6W200,248,0.061199895834850575,0.3371519164198782,0.06300388795149417,0.3240638549925432,-0.14619448896843348,0.021277196834291908,-0.12870631524968634,0.04328692264385111
atd,raw,6,T6W30,252,0.10503657197786488,0.09616853789387647,0.10833528816250765,0.08674360034750746,-0.14944123624754474,0.017603356619480825,-0.12781197461722904,0.04306078807000488
nodes,raw,6,T6W200,248,-0.0875876063388653,0.16912943353430251,-0.0892743241742826,0.16189292856747448,0.14288759805911525,0.02442435353884168,0.12770712701316134,0.044951132027075215
lcc,raw,6,T6W200,248,-0.08823806588335531,0.16597368436393886,-0.08992541951287394,0.15884224058800925,0.1426318450094771,0.024683653497031097,0.12747353956429572,0.04534782588894346
atd,raw,6,T6W150,252,0.100699061843703,0.11078906471790367,0.10354080425052146,0.10171231552758274,-0.14708065215037502,0.01949421192824889,-0.1273402192170116,0.0438427590839744
lcc,raw,6,T6W30,252,-0.10927688405658913,0.08340172289616093,-0.11190205452326435,0.07679803800119103,0.14518937961773012,0.021134045131212278,0.12695578355498985,0.044488772533697304
nodes,raw,6,T6W30,252,-0.11007982067604825,0.08114527812068482,-0.11296832276808452,0.07401115842078682,0.14563767907280115,0.020734910107708057,0.12614078828737232,0.04588473517977662
density,raw,6,T6W50,252,0.09600503374558078,0.1285188507241111,0.09882063682573602,0.11837677515293327,-0.14470604177865976,0.021571812837189935,-0.12477601888323234,0.04830444163777801
lsc,raw,6,T6W200,248,-0.090859984834178,0.1536986570552683,-0.092321483622889,0.14798731126105932,0.13750962452232285,0.030398579847043028,0.12398277896132336,0.051633888945572186
