feature,type,task,window_tag,n,r_MOT,p_MOT,r_partial_MOT,p_partial_MOT,r_COG,p_COG,r_partial_COG,p_partial_COG,r_MOT_V4,p_MOT_V4,r_partial_MOT_V4,p_partial_MOT_V4,r_COG_V1,p_COG_V1,r_partial_COG_V1,p_partial_COG_V1
edges,raw,7,T7W20,250,0.12494997904709244,0.048441772548567005,0.12669837514039956,0.04579665160360424,0.1257301552156069,0.047045212771435994,0.14656395482854875,0.020689082185872957,0.08177301054209071,0.19752872708715452,0.08478098021769186,0.18237045282969658,0.036103202827159654,0.5699220970996972,0.044019079326203754,0.4892830873725077
cc,raw,7,T7W20,250,0.12092216093719829,0.05621339853153508,0.12411858359566785,0.05043285050916482,-0.007565856395321147,0.9052524736055807,0.02055666106998184,0.7468614266560542,0.14122297876632967,0.025552666464162103,0.14687747846024687,0.020415960268720702,0.01688442603523814,0.7905108975574463,0.029497275368162313,0.643208177336989
lsc,raw,7,T7W20,250,0.1103771174917217,0.08154430090710875,0.11736986400548659,0.0644372565687369,0.006908981329141874,0.9134448680606065,0.058829073744677454,0.355258807298433,0.10777152338195192,0.08904938771429857,0.11877943941974843,0.06127475443213047,0.02365831412410345,0.7097080383216764,0.04695182664611261,0.4607780557107741
re,raw,7,T7W20,250,-0.0509779293403047,0.42225550634624587,-0.04913347159005506,0.4401865236416454,-0.03166692788888201,0.6182628643499765,-0.0015191948486342115,0.9809707565583897,-0.031778737986328125,0.6170228542275812,-0.027302296154638885,0.6681159947609614,0.03436400688433949,0.5886596245717353,0.04851332260882031,0.44598583220285104
diameter,raw,7,T7W20,250,-0.048175115428664365,0.4482483494750763,-0.056235146161717375,0.376906738967858,0.09153852725300651,0.1489840579775228,0.02661689600282814,0.675970336555081,-0.08960706714068051,0.15778665576324274,-0.10557421689224997,0.09647289407921629,0.0006707949069715292,0.991580043443692,-0.030778223223656077,0.6288522546950556
l1,raw,7,T7W20,250,-0.04305312893584616,0.49800472444160854,-0.042549335535544144,0.5039155857094678,0.07695095494031011,0.22535838989259005,0.08578876771128702,0.17720808661180915,-0.09148681166438337,0.14921479182273004,-0.09050553779069818,0.15447800560967168,0.09516149784442024,0.13348440747314225,0.09869692195518597,0.12033484643611053
asp,raw,7,T7W20,250,-0.0364598390345426,0.5661150362056656,-0.044023747198429386,0.4892369800024936,0.10076102929165581,0.11200742299591863,0.03569340542631365,0.5750858784868621,-0.08558737880921863,0.17735307794200075,-0.10162155360695208,0.10967932601922432,0.001486753344702328,0.9813393110996581,-0.030357725980449796,0.6335498666210805
lcc,raw,7,T7W20,250,0.030863438173491634,0.6272054635378476,0.027114595952937245,0.6702634012703258,0.12067349850313669,0.05672521122038715,0.06000260389363169,0.3457265136216108,-0.026630237047980523,0.6751977290161001,-0.03873419260011329,0.5429433296607242,-0.00708250303265023,0.9112798206909273,-0.03791082008357483,0.551558306315619
l2,raw,7,T7W20,250,-0.02639899406945962,0.6778598569356892,-0.02435766619238069,0.7021051609460752,-0.0821247220339893,0.1956013409140179,-0.054619740437634866,0.3907880879398235,-0.030309684755782156,0.6334005207060015,-0.02595044643970088,0.6836412829208275,0.01457318959407352,0.8186514796845431,0.0279893241180732,0.6602790814939441
l3,raw,7,T7W20,250,0.022693056317522144,0.721049486871344,0.024594200807671017,0.6993518029941987,-0.01925979538082787,0.761869986554918,0.003440899004158176,0.9569165004738343,0.024851191315946243,0.6957802037823229,0.02859852297249,0.6533607757295115,0.04803961244238009,0.4495274565007747,0.05869556054867731,0.35635364921368645
pe,raw,7,T7W20,250,-0.022253872148517113,0.7262301814509478,-0.020107758289753096,0.7522071029478076,-0.07347392048590665,0.24708130189477379,-0.04468857224328182,0.48269392221995994,-0.018585581177202846,0.7699682773695465,-0.013958419856260942,0.8265234333330596,0.017926015540977405,0.7779148245519533,0.03185757694377507,0.6168627006843693
nodes,raw,7,T7W20,250,0.021733378329620075,0.7323861576071408,0.01739130159092912,0.7847994754105331,0.0915917928384762,0.1487466917881982,0.026146520359635234,0.681381023810465,-0.035371009588627884,0.5777760082984228,-0.04853388737248138,0.44579283059779,-0.02885919299435654,0.6497484149037638,-0.06231876907313972,0.3273933353491897
density,raw,7,T7W20,250,0.014379995127498098,0.8210148213400085,0.021362355071214263,0.7372974147181045,-0.09277903116004771,0.14353021883473613,-0.021535520194542954,0.7352470641445366,0.07394896965930207,0.24403035741811027,0.09106585975448014,0.1519312603707468,0.029007271743880524,0.6480716045771417,0.06578770707539143,0.30113166913988826
atd,raw,7,T7W20,250,-0.0090108947630253,0.887266724213299,-0.003907199135240302,0.9510847974470054,-0.0721827812747035,0.2555072891748625,-0.004228247959717576,0.9470711492169636,0.04107025175470118,0.5180228547973902,0.05478105659583598,0.38938816715664165,0.03569746456058297,0.574268019334452,0.070096881439952,0.2705049466976405
