feature,type,task,window_tag,n,r_MOT,p_MOT,r_partial_MOT,p_partial_MOT,r_COG,p_COG,r_partial_COG,p_partial_COG,r_MOT_V4,p_MOT_V4,r_partial_MOT_V4,p_partial_MOT_V4,r_COG_V1,p_COG_V1,r_partial_COG_V1,p_partial_COG_V1
z_density,z,7,T7W20,250,0.09307350279606147,0.14225821936282063,0.09248228942806451,0.1456351714734097,0.007942781231705774,0.9005560189600893,-0.0008524230906244847,0.9893219662333718,0.12181966733549761,0.05439778475423537,0.12060470810385307,0.05737054880070783,-0.05654672465103053,0.3732972566776028,-0.060777120549924325,0.33952491149333813
z_l1,z,7,T7W20,250,-0.03745148331404291,0.5555935557567978,-0.03926854521566977,0.5373882538918863,0.1076243750607031,0.089489205171233,0.0892308013514739,0.16039178105485458,-0.11369213586792189,0.07274228604419827,-0.11761834761432996,0.06387023807865566,0.0691456673616826,0.2761036248607351,0.060424096749146436,0.34234274832641115
z_re,z,7,T7W20,250,-0.06759862248559594,0.2870162750145094,-0.06666941564680615,0.2946853875927538,-0.014849226762031865,0.8152775708440477,-0.0009809671307856591,0.9877118540507625,-0.06712963146826736,0.2903808727103689,-0.06511162230345582,0.30613737661484874,0.04432371081740188,0.4853959954086553,0.05084422240565217,0.4244132841451087
z_atd,z,7,T7W20,250,-0.040594669097030175,0.5228848612547958,-0.03792228187516056,0.5514379244330968,-0.08628944138145632,0.17381207567951665,-0.04230840739695563,0.5063359290722691,-0.01063623053423241,0.8671060764579132,-0.003468135155162257,0.956575810140439,0.02107445432292147,0.7402039430763018,0.04271243567482965,0.5022805469883416
z_asp,z,7,T7W20,250,-0.08141514842171906,0.19950395975246993,-0.08150513398457528,0.19991579679887875,-0.002577831667838024,0.9676507401680009,-0.0036633692747070666,0.9541339089551296,-0.08637776967774473,0.17337031759407837,-0.08658572556050573,0.1732029150386563,0.03748519768825368,0.5552375164648446,0.03720669322489633,0.5589781851501933
z_diameter,z,7,T7W20,250,-0.09361506356730795,0.13994137973846496,-0.09341025131191426,0.14161927903316057,-0.021679956495516805,0.733018964777868,-0.019211582318467223,0.7629142238782838,-0.08497318727089567,0.18049443674785665,-0.08456936054652221,0.18346841042962278,0.03560515883422044,0.5752588926301426,0.0370700471900331,0.5604236823774945
z_l3,z,7,T7W20,250,0.02997417796001228,0.6371664711318688,0.029191918629673713,0.6466502868595695,0.01572015256877395,0.8046551142462846,0.005276523839302398,0.9339757679022231,0.01865977895807695,0.7690758145690629,0.017021209136604525,0.7892704875493439,0.04037310462286916,0.5251578995197682,0.03587293044115752,0.5731636293673226
z_cc,z,7,T7W20,250,0.118784763428966,0.06073983597780016,0.1180759220661987,0.06283680887873215,0.05035721747756909,0.42793494960920453,0.03975699511926817,0.5323353297512942,0.11427432621498257,0.0712793354435733,0.1126781369419293,0.07594073567049776,0.037853631655871606,0.5513539217663214,0.03290108322154235,0.6053670369255036
z_pe,z,7,T7W20,250,-0.036805761457624105,0.5624339745332221,-0.03608552822826391,0.5708911816256227,-0.06250203129089003,0.324990677972141,-0.05397626421575295,0.3964024185875388,-0.06198553636198676,0.3290126084107123,-0.060534133281006694,0.3414628463566988,0.005278783034971227,0.9338140258995845,0.009702076523297458,0.8789271109040405
z_l2,z,7,T7W20,250,-0.03396919758835577,0.5929522247083356,-0.03372193711595907,0.5963918202391777,-0.07276288076434803,0.2516973109670339,-0.07110736796336295,0.26364172426291255,-0.06393876569854931,0.31397087957473657,-0.06346268948432698,0.3185746445199276,-0.004991609664065604,0.9374070757074041,-0.0035436675181249135,0.9556310357784267
z_lsc,z,7,T7W20,250,0.05707989031618315,0.36880059324985714,0.056916975909517595,0.3711395703458083,0.04156641932124241,0.5129752881941455,0.04025427701523041,0.5272157179443432,0.030877294002884324,0.6270507850595034,0.0305433307387189,0.6314745460429495,1.7751101223561888e-05,0.9997771803944214,-0.000981411930795517,0.9877062826738552
