feature,type,task,window_tag,n,r_MOT,p_MOT,r_partial_MOT,p_partial_MOT,r_COG,p_COG,r_partial_COG,p_partial_COG,r_MOT_V4,p_MOT_V4,r_partial_MOT_V4,p_partial_MOT_V4,r_COG_V1,p_COG_V1,r_partial_COG_V1,p_partial_COG_V1
z_cc,z,7,T7W30,250,0.14238435984808193,0.02435418261020292,0.1420869700374886,0.024948386362789097,0.02765373872321495,0.6634637367327461,0.02372368719444699,0.7095040350749307,0.14588996095602666,0.021025732486426398,0.14529702486981727,0.021825245162148968,-0.0024204612690616836,0.9696246049778061,-0.0044344617908446534,0.944493828421946
z_density,z,7,T7W30,250,0.11875555220212802,0.06080371767230311,0.11847813924835779,0.06193978838590622,-0.01486631135208833,0.8150688628341679,-0.019363059640502247,0.7611012064681338,0.14520482701779694,0.021643379989355116,0.1446729938048518,0.022404433788259574,-0.06242076128036518,0.32562140810390067,-0.06452510272989034,0.3105241033936118
z_diameter,z,7,T7W30,250,-0.11540625443020333,0.06850359951172023,-0.11446873294391934,0.07136799107110221,-0.022927519855776422,0.7182888964320775,-0.006170681543844032,0.9228195573899,-0.11914313396510334,0.05996060881582632,-0.1169081462586068,0.06550182147014763,0.03378507925543123,0.5949589311388167,0.041633703862788286,0.5131461432172382
z_asp,z,7,T7W30,250,-0.10832061013075053,0.0874234596868629,-0.10749567477421648,0.0905266763646249,-0.015366812183515233,0.8089605138659023,-0.0017724814254725055,0.9777988765480222,-0.11580729894340198,0.06754159305605532,-0.11395246814139272,0.07266278394924394,0.020353807131852142,0.7487846561596014,0.026598651859240825,0.6761798896857731
z_lsc,z,7,T7W30,250,0.09769348893543887,0.12341028502174839,0.09640916945498076,0.1292180910056252,0.013931706618772152,0.8265049106880675,-0.012365820430875772,0.8460545612431477,0.0986766371485321,0.11966153268590102,0.0953477353521634,0.13350778437055946,-0.027661343802218453,0.6633768497957458,-0.03967408056180711,0.5331913778357285
z_re,z,7,T7W30,250,-0.08583219340622199,0.17611228890568315,-0.08492129837392652,0.1816451075755301,0.025543403565103845,0.68774421391919,0.04091543659491903,0.5204478365803935,-0.09873639840932312,0.11943655293594906,-0.09674600335872209,0.12787928363657444,0.08169135676866399,0.19797816059601372,0.08867621709160978,0.16301707479690605
z_l1,z,7,T7W30,250,-0.05406959651887834,0.39462835938131086,-0.05606174331443296,0.3783821599901985,0.09716977080455928,0.12544409363451,0.07760725087855597,0.2223507524871871,-0.1209193928584203,0.05621907486022819,-0.12507680695125473,0.048667119286780296,0.08214539049107109,0.19548850512988133,0.07318093867782535,0.2499344821684634
z_pe,z,7,T7W30,250,-0.05588030822458608,0.37896495434405575,-0.05531881717073999,0.38474336538944326,-0.04923740025659532,0.4382921773328943,-0.04244312343461148,0.5049818348453836,-0.08195890638790197,0.1965082999344126,-0.08082824200710556,0.2036890820062268,-0.0031833641527587654,0.9600576131294123,0.00028681574252801466,0.9964070556049214
z_l2,z,7,T7W30,250,-0.050701849551055965,0.42477616523701095,-0.05057883404870145,0.4268384389708562,-0.0594178744995604,0.3494803335405579,-0.059079638155557335,0.3532098178313862,-0.08070237768520609,0.20348077626925143,-0.08048330524564934,0.2056316056979638,-0.007662558694837549,0.904047249543528,-0.006941319874598454,0.9132164833167999
z_l3,z,7,T7W30,250,0.020338701044200932,0.7489648591456495,0.019729551506227825,0.7567201082808407,-0.005186726226687803,0.9349656779342632,-0.013552526769549975,0.8314915597440882,0.013595494051691416,0.8306279857275062,0.012340672715097761,0.8463637532537922,0.016971630645389486,0.7894541824907061,0.013459884877328262,0.8326264416016017
