feature,type,task,window_tag,n,r_MOT,p_MOT,r_partial_MOT,p_partial_MOT,r_COG,p_COG,r_partial_COG,p_partial_COG,abs_r_MOT,abs_r_partial_MOT,abs_r_COG,abs_r_partial_COG
nodes,raw,7,T7W20,250,0.021733378329620075,0.7323861576071408,0.01739130159092912,0.7847994754105331,0.0915917928384762,0.1487466917881982,0.026146520359635234,0.681381023810465,0.021733378329620075,0.01739130159092912,0.0915917928384762,0.026146520359635234
edges,raw,7,T7W20,250,0.12494997904709244,0.048441772548567005,0.12669837514039956,0.04579665160360424,0.1257301552156069,0.047045212771435994,0.14656395482854875,0.020689082185872957,0.12494997904709244,0.12669837514039956,0.1257301552156069,0.14656395482854875
re,raw,7,T7W20,250,-0.0509779293403047,0.42225550634624587,-0.04913347159005506,0.4401865236416454,-0.03166692788888201,0.6182628643499765,-0.0015191948486342115,0.9809707565583897,0.0509779293403047,0.04913347159005506,0.03166692788888201,0.0015191948486342115
pe,raw,7,T7W20,250,-0.022253872148517113,0.7262301814509478,-0.020107758289753096,0.7522071029478076,-0.07347392048590665,0.24708130189477379,-0.04468857224328182,0.48269392221995994,0.022253872148517113,0.020107758289753096,0.07347392048590665,0.04468857224328182
l1,raw,7,T7W20,250,-0.04305312893584616,0.49800472444160854,-0.042549335535544144,0.5039155857094678,0.07695095494031011,0.22535838989259005,0.08578876771128702,0.17720808661180915,0.04305312893584616,0.042549335535544144,0.07695095494031011,0.08578876771128702
l2,raw,7,T7W20,250,-0.02639899406945962,0.6778598569356892,-0.02435766619238069,0.7021051609460752,-0.0821247220339893,0.1956013409140179,-0.054619740437634866,0.3907880879398235,0.02639899406945962,0.02435766619238069,0.0821247220339893,0.054619740437634866
l3,raw,7,T7W20,250,0.022693056317522144,0.721049486871344,0.024594200807671017,0.6993518029941987,-0.01925979538082787,0.761869986554918,0.003440899004158176,0.9569165004738343,0.022693056317522144,0.024594200807671017,0.01925979538082787,0.003440899004158176
lcc,raw,7,T7W20,250,0.030863438173491634,0.6272054635378476,0.027114595952937245,0.6702634012703258,0.12067349850313669,0.05672521122038715,0.06000260389363169,0.3457265136216108,0.030863438173491634,0.027114595952937245,0.12067349850313669,0.06000260389363169
lsc,raw,7,T7W20,250,0.1103771174917217,0.08154430090710875,0.11736986400548659,0.0644372565687369,0.006908981329141874,0.9134448680606065,0.058829073744677454,0.355258807298433,0.1103771174917217,0.11736986400548659,0.006908981329141874,0.058829073744677454
atd,raw,7,T7W20,250,-0.0090108947630253,0.887266724213299,-0.003907199135240302,0.9510847974470054,-0.0721827812747035,0.2555072891748625,-0.004228247959717576,0.9470711492169636,0.0090108947630253,0.003907199135240302,0.0721827812747035,0.004228247959717576
density,raw,7,T7W20,250,0.014379995127498098,0.8210148213400085,0.021362355071214263,0.7372974147181045,-0.09277903116004771,0.14353021883473613,-0.021535520194542954,0.7352470641445366,0.014379995127498098,0.021362355071214263,0.09277903116004771,0.021535520194542954
