feature,type,task,window_tag,n,r_MOT,p_MOT,r_partial_MOT,p_partial_MOT,r_COG,p_COG,r_partial_COG,p_partial_COG
edges,raw,7,T7W50,243,0.13596533612503064,0.034140490611427314,0.13836276713754644,0.03142613847471589,0.14187280031869046,0.027010080261202482,0.1643517478938893,0.010439739383990699
edges,raw,7,T7W40,248,0.13478061329310975,0.0338802867024641,0.13682184516946722,0.03159198995379493,0.13555847886654773,0.032854945378572975,0.15739607882901638,0.013264726430752636
edges,raw,7,T7W30,250,0.1288194503808662,0.04184144988351531,0.13059953588752857,0.03946700263398124,0.1307998232159034,0.03876722591002722,0.15192762965355106,0.016428306515217754
edges,raw,7,T7W20,250,0.12494997904709244,0.048441772548567005,0.12669837514039956,0.04579665160360424,0.1257301552156069,0.047045212771435994,0.14656395482854875,0.020689082185872957
lcc,raw,7,T7W20,250,0.030863438173491634,0.6272054635378476,0.027114595952937245,0.6702634012703258,0.12067349850313669,0.05672521122038715,0.06000260389363169,0.3457265136216108
lsc,raw,7,T7W40,248,0.05228418693761456,0.4123453241165881,0.0493558823597376,0.43998139439829,0.1135549304513486,0.07425994383603399,0.07109926469152017,0.26564235877255793
lsc,raw,7,T7W50,243,0.029191216326008924,0.6506954919347505,0.023766259995929327,0.7129821299243114,0.11134487323340403,0.08324950504092324,0.052958559364922594,0.4121294450096097
lcc,raw,7,T7W30,250,0.001994245449375438,0.9749714375824884,-0.003727382046793046,0.9533333578185397,0.10449007565155123,0.09927704688074927,0.03655974031892386,0.5658377708854504
asp,raw,7,T7W20,250,-0.0364598390345426,0.5661150362056656,-0.044023747198429386,0.4892369800024936,0.10076102929165581,0.11200742299591863,0.03569340542631365,0.5750858784868621
lcc,raw,7,T7W40,248,-0.011189760720732522,0.8608189555275165,-0.018829950085782695,0.7684057706538973,0.09660039135830775,0.1292340726935767,0.02519063037726288,0.6936134300540272
re,raw,7,T7W50,243,-0.08987058047684889,0.16254965412217595,-0.08708156794633204,0.1769442563349481,-0.093935559332975,0.1442927573036525,-0.047997592299049575,0.45734253738324404
density,raw,7,T7W20,250,0.014379995127498098,0.8210148213400085,0.021362355071214263,0.7372974147181045,-0.09277903116004771,0.14353021883473613,-0.021535520194542954,0.7352470641445366
nodes,raw,7,T7W20,250,0.021733378329620075,0.7323861576071408,0.01739130159092912,0.7847994754105331,0.0915917928384762,0.1487466917881982,0.026146520359635234,0.681381023810465
diameter,raw,7,T7W20,250,-0.048175115428664365,0.4482483494750763,-0.056235146161717375,0.376906738967858,0.09153852725300651,0.1489840579775228,0.02661689600282814,0.675970336555081
lsc,raw,7,T7W30,250,0.17365578811279633,0.005906527618510277,0.17294535120708046,0.006220116699599698,0.08918556282352014,0.15975868551224892,0.07620541695382368,0.2308416378459433
l2,raw,7,T7W20,250,-0.02639899406945962,0.6778598569356892,-0.02435766619238069,0.7021051609460752,-0.0821247220339893,0.1956013409140179,-0.054619740437634866,0.3907880879398235
nodes,raw,7,T7W30,250,-0.0033956175045788393,0.9573968608979869,-0.009283207543473948,0.8841166911273164,0.08200711320577524,0.19624430884009839,0.013890851402502763,0.8273499973279198
nodes,raw,7,T7W40,248,-0.01571232491312322,0.8055250382859418,-0.02351229032785082,0.7130961523060005,0.08104486142351885,0.20339402153368533,0.009256488709638187,0.8849143406359119
l1,raw,7,T7W40,248,-0.04349221452882917,0.49537899607577435,-0.042992566518746174,0.5012241722342622,0.07967815911832254,0.21114517921413747,0.08768657829110449,0.16951627120589027
l1,raw,7,T7W50,243,-0.03148561319456446,0.6252647692941818,-0.030785438846767182,0.6336880004826202,0.07743991004480555,0.229072593763828,0.08647922466842892,0.17996952659136828
l1,raw,7,T7W20,250,-0.04305312893584616,0.49800472444160854,-0.042549335535544144,0.5039155857094678,0.07695095494031011,0.22535838989259005,0.08578876771128702,0.17720808661180915
l1,raw,7,T7W30,250,-0.04436826098988981,0.48495703679166585,-0.04380984030134952,0.49135225322646536,0.0767144222089587,0.22679171020679978,0.08635945228811934,0.1743331692962103
lcc,raw,7,T7W50,243,0.001227382378319059,0.9848137028126774,-0.00642977999589468,0.9207356934533465,0.07629110068466333,0.23607437567040915,0.006557718763032904,0.9191638256708213
l3,raw,7,T7W50,243,0.03835510499268389,0.5518214023883936,0.04155222545180358,0.5200086689612323,-0.07481494351814859,0.24529025977122107,-0.04895254791112009,0.4484302325743087
density,raw,7,T7W30,250,0.03847502932811629,0.5448341048231101,0.04656281603616775,0.4645051645976841,-0.0747066411694086,0.23921890444356858,-0.004822948506879891,0.9396399975797649
pe,raw,7,T7W20,250,-0.022253872148517113,0.7262301814509478,-0.020107758289753096,0.7522071029478076,-0.07347392048590665,0.24708130189477379,-0.04468857224328182,0.48269392221995994
density,raw,7,T7W40,248,0.05478216484714952,0.39034206243784575,0.06434920196511136,0.3138187847332273,-0.07321344370943371,0.2506863699799049,-0.004160802147371713,0.9481256591102479
nodes,raw,7,T7W50,243,0.00016134898784040828,0.998003525046764,-0.007496295753756839,0.9076423678458423,0.07302372348942333,0.2568061738521922,0.0035569001975564404,0.9561017641180393
atd,raw,7,T7W20,250,-0.0090108947630253,0.887266724213299,-0.003907199135240302,0.9510847974470054,-0.0721827812747035,0.2555072891748625,-0.004228247959717576,0.9470711492169636
atd,raw,7,T7W40,248,0.01444746370053476,0.8209048979651873,0.022177561489713775,0.7287247662314819,-0.07104756555690643,0.26501553580940385,0.0016807661211709912,0.9790329395778408
