target,window,set,metric,mean,std,ci_lower,ci_upper,t_critical,df,significant
MOT,T2W10,VALIDATION,R2,-0.006019,0.040425,-0.009993,-0.002046,1.9659,399,True
MOT,T2W10,VALIDATION,RMSE,7.753575,0.350123,7.719159,7.78799,1.9659,399,True
MOT,T2W10,VALIDATION,MAE,6.599772,0.288602,6.571403,6.62814,1.9659,399,True
MOT,T2W10,VALIDATION,rho,0.040266,0.127148,0.027768,0.052764,1.9659,399,True
MOT,T2W10,TEST,R2,-0.009343,0.061473,-0.015386,-0.003301,1.9659,399,True
MOT,T2W10,TEST,RMSE,7.689008,0.525003,7.637403,7.740614,1.9659,399,True
MOT,T2W10,TEST,MAE,6.5704,0.443882,6.526768,6.614032,1.9659,399,True
MOT,T2W10,TEST,rho,0.020878,0.204938,0.000733,0.041022,1.9659,399,True
COG,T2W10,VALIDATION,R2,-0.022562,0.057067,-0.028171,-0.016952,1.9659,399,True
COG,T2W10,VALIDATION,RMSE,2.280665,0.185875,2.262394,2.298936,1.9659,399,True
COG,T2W10,VALIDATION,MAE,1.784405,0.127289,1.771893,1.796917,1.9659,399,True
COG,T2W10,VALIDATION,rho,0.08439,0.12061,0.072535,0.096246,1.9659,399,True
COG,T2W10,TEST,R2,-0.027022,0.094164,-0.036278,-0.017766,1.9659,399,True
COG,T2W10,TEST,RMSE,2.23128,0.312088,2.200603,2.261957,1.9659,399,True
COG,T2W10,TEST,MAE,1.751702,0.204939,1.731557,1.771847,1.9659,399,True
COG,T2W10,TEST,rho,0.090438,0.184929,0.07226,0.108616,1.9659,399,True
MOT_V4,T2W10,VALIDATION,R2,-0.012304,0.039937,-0.016229,-0.008378,1.9659,399,True
MOT_V4,T2W10,VALIDATION,RMSE,3.499555,0.163815,3.483453,3.515658,1.9659,399,True
MOT_V4,T2W10,VALIDATION,MAE,2.89418,0.123316,2.882059,2.906302,1.9659,399,True
MOT_V4,T2W10,VALIDATION,rho,0.009445,0.134245,-0.003751,0.022641,1.9659,399,False
MOT_V4,T2W10,TEST,R2,-0.016283,0.071572,-0.023318,-0.009247,1.9659,399,True
MOT_V4,T2W10,TEST,RMSE,3.466824,0.261778,3.441092,3.492556,1.9659,399,True
MOT_V4,T2W10,TEST,MAE,2.867971,0.192331,2.849066,2.886877,1.9659,399,True
MOT_V4,T2W10,TEST,rho,0.017794,0.196329,-0.001504,0.037092,1.9659,399,False
COG_V1,T2W10,VALIDATION,R2,-0.000151,0.068933,-0.006927,0.006625,1.9659,399,False
COG_V1,T2W10,VALIDATION,RMSE,1.343934,0.082757,1.335799,1.352068,1.9659,399,True
COG_V1,T2W10,VALIDATION,MAE,1.056677,0.063561,1.050429,1.062925,1.9659,399,True
COG_V1,T2W10,VALIDATION,rho,0.139005,0.127212,0.126501,0.15151,1.9659,399,True
COG_V1,T2W10,TEST,R2,0.01079,0.09667,0.001287,0.020292,1.9659,399,True
COG_V1,T2W10,TEST,RMSE,1.344626,0.120764,1.332756,1.356497,1.9659,399,True
COG_V1,T2W10,TEST,MAE,1.06752,0.096689,1.058016,1.077024,1.9659,399,True
COG_V1,T2W10,TEST,rho,0.158754,0.204449,0.138658,0.178851,1.9659,399,True
