feature,mean_coef,std_coef,frac_nonzero
z_atd_T2W10,-0.34544681259541554,0.2718679006193056,1.0
z_asp_T2W10,-0.32675933457528644,0.39200953321921495,1.0
z_l3_T2W10,-0.2895690956713791,0.2151205389967227,1.0
z_l2_T2W10,-0.18000195715619086,0.46307025208397284,1.0
z_density_T2W10,-0.17826539797240928,0.3260080957038831,1.0
z_l1_T2W10,0.14800954663656388,0.19788096133680716,1.0
z_lsc_T2W10,0.032237798428688014,0.15775934898521368,1.0
z_pe_T2W10,0.02948364658123106,0.33773080704358976,1.0
z_re_T2W10,0.021152812795277965,0.14348084011618972,1.0
z_diameter_T2W10,0.00691890255906354,0.2646727564910954,1.0
z_lcc_T2W10,-3.425160368804144e-17,1.1188860276670133e-15,0.0
z_edges_T2W10,0.0,0.0,0.0
z_nodes_T2W10,0.0,0.0,0.0
