target,window,set,metric,mean,std,ci_lower,ci_upper,t_critical,df,significant
MOT,T2W10,VALIDATION,R2,-0.001984,0.035959,-0.005519,0.00155,1.9659,399,False
MOT,T2W10,VALIDATION,RMSE,7.738638,0.348225,7.704409,7.772867,1.9659,399,True
MOT,T2W10,VALIDATION,MAE,6.590471,0.283389,6.562615,6.618327,1.9659,399,True
MOT,T2W10,VALIDATION,rho,0.082977,0.126399,0.070553,0.095402,1.9659,399,True
MOT,T2W10,TEST,R2,-0.002638,0.048685,-0.007424,0.002147,1.9659,399,False
MOT,T2W10,TEST,RMSE,7.666456,0.529132,7.614445,7.718468,1.9659,399,True
MOT,T2W10,TEST,MAE,6.557687,0.438733,6.514561,6.600813,1.9659,399,True
MOT,T2W10,TEST,rho,0.079747,0.201525,0.059938,0.099557,1.9659,399,True
COG,T2W10,VALIDATION,R2,-0.02555,0.051563,-0.030618,-0.020481,1.9659,399,True
COG,T2W10,VALIDATION,RMSE,2.283991,0.18311,2.265992,2.30199,1.9659,399,True
COG,T2W10,VALIDATION,MAE,1.787871,0.126337,1.775453,1.80029,1.9659,399,True
COG,T2W10,VALIDATION,rho,0.072051,0.121398,0.060118,0.083984,1.9659,399,True
COG,T2W10,TEST,R2,-0.027541,0.079483,-0.035353,-0.019728,1.9659,399,True
COG,T2W10,TEST,RMSE,2.231424,0.300369,2.201899,2.260949,1.9659,399,True
COG,T2W10,TEST,MAE,1.753728,0.198694,1.734197,1.773259,1.9659,399,True
COG,T2W10,TEST,rho,0.093061,0.190574,0.074328,0.111794,1.9659,399,True
MOT_V4,T2W10,VALIDATION,R2,-0.00848,0.028888,-0.01132,-0.00564,1.9659,399,True
MOT_V4,T2W10,VALIDATION,RMSE,3.493503,0.162275,3.477552,3.509454,1.9659,399,True
MOT_V4,T2W10,VALIDATION,MAE,2.887143,0.118099,2.875534,2.898752,1.9659,399,True
MOT_V4,T2W10,VALIDATION,rho,0.049629,0.135529,0.036307,0.062951,1.9659,399,True
MOT_V4,T2W10,TEST,R2,-0.011307,0.047154,-0.015942,-0.006672,1.9659,399,True
MOT_V4,T2W10,TEST,RMSE,3.459931,0.253014,3.435061,3.484802,1.9659,399,True
MOT_V4,T2W10,TEST,MAE,2.860914,0.179704,2.84325,2.878579,1.9659,399,True
MOT_V4,T2W10,TEST,rho,0.050698,0.196772,0.031356,0.07004,1.9659,399,True
COG_V1,T2W10,VALIDATION,R2,-0.010381,0.044953,-0.014799,-0.005962,1.9659,399,True
COG_V1,T2W10,VALIDATION,RMSE,1.351407,0.078406,1.3437,1.359114,1.9659,399,True
COG_V1,T2W10,VALIDATION,MAE,1.054983,0.059568,1.049128,1.060838,1.9659,399,True
COG_V1,T2W10,VALIDATION,rho,0.094635,0.115123,0.083319,0.105951,1.9659,399,True
COG_V1,T2W10,TEST,R2,-0.006739,0.058624,-0.012502,-0.000977,1.9659,399,True
COG_V1,T2W10,TEST,RMSE,1.358058,0.116232,1.346633,1.369483,1.9659,399,True
COG_V1,T2W10,TEST,MAE,1.069118,0.090365,1.060235,1.078,1.9659,399,True
COG_V1,T2W10,TEST,rho,0.108842,0.191529,0.090015,0.127669,1.9659,399,True
