split,subject,set
0,CSO-14-8B-JLLORA,TRAIN
0,CSO-14-8A-MCIDOS,TRAIN
0,CSO-17-11C-MCAAG,TRAIN
0,CSO-9-4A-YVDITR,TRAIN
0,CDMS-12-6A-FAROPA,TRAIN
0,CSO-10-5A-JJSEMO,TRAIN
0,CSO-15-9B-KSBEJA,TRAIN
0,CDMS-10-5C-NBEMO,TRAIN
0,CDMS-15-10A-JJMACH,TRAIN
0,CDMS-15-11B-VSAHO,TRAIN
0,CDMS-18-7C-VVECA,TRAIN
0,CSO-15-10B-MEBUAR,TRAIN
0,CSO-16-10A-JEGAHE,TRAIN
0,CDMS-9-4A-ACDUTR,TRAIN
0,CDMS-9-4A-EROHI,TRAIN
0,CDMS-11-7C-SPGAVE,TRAIN
0,CSO-13-8B-FCJISA,TRAIN
0,CSO-9-4A-MLORO,TRAIN
0,CSO-9-4A-DKVIMO,TRAIN
0,CDMS-9-5C-MLOGO,TRAIN
0,CSO-11-6B-DISEMO,TRAIN
0,CDMS-17-10A-ASSAMO,TRAIN
0,CDMS-9-5A-VVAAR,TRAIN
0,CSO-9-4A-DVGATO,TRAIN
0,CDMS-11-6B-LESTA,TRAIN
0,CSO-15-10A-MAARLO,TRAIN
0,CDMS-11-6B-YLNIME,TRAIN
0,CDMS-10-5C-ICAPA,TRAIN
0,CSO-10-5A-GZAMA,TRAIN
0,CDMS-13-7C-MVEAR,TRAIN
0,CSO-17-11C-SARJA,TRAIN
0,CSO-16-11A-JDMUVA,TRAIN
0,CDMS-9-5C-SCAAG,TRAIN
0,CSO-13-8B-JEMABE,TRAIN
0,CSO-15-10C-ALBAHO,TRAIN
0,CDMS-9-5A-ABERO,TRAIN
0,CDMS-9-4A-TGAFR,TRAIN
0,CSO-14-9A-MARJA,TRAIN
0,CDMS-8-4A-DOSTR,TRAIN
0,CSO-15-10A-SFEGA,TRAIN
0,CSO-10-5A-IPECA,TRAIN
0,CDMS-XX-10A-VGILO,TRAIN
0,CDMS-9-5C-LVIZAC,TRAIN
0,CSO-11-5A-MDVOSPE,TRAIN
0,CSO-14-9A-AEDCAGO,TRAIN
0,CSO-10-5A-DABRZA,TRAIN
0,CSO-14-9B-MFEGA,TRAIN
0,CDMS-16-10A-SGALO,TRAIN
0,CDMS-11-6B-JDCHBA,TRAIN
0,CDMS-11-5A-EAARCA,TRAIN
0,CSO-9-4A-FAGIGA,TRAIN
0,CSO-15-7B-JCRAGA,TRAIN
0,CDMS-9-4A-CRAAG,TRAIN
0,CSO-14-7B-EALHU,TRAIN
0,CDMS-10-6B-ASCACO,TRAIN
0,CSO-10-5A-ARACA,TRAIN
0,CSO-13-7A-JJATFL,TRAIN
0,CSO-16-11A-VZAOR,TRAIN
0,CSO-11-6A-CAPAMU,TRAIN
0,CSO-16-10B-JESUGU,TRAIN
0,CDMS-13-6B-JDTAHE,TRAIN
0,CDMS-10-5B-SRAJA,TRAIN
0,CSO-14-9A-HASACA,TRAIN
0,CSO-14-8A-SZARA,TRAIN
0,CSO-9-4A-DSMOMU,TRAIN
0,CDMS-8-4A-DJAVDA,TRAIN
0,CDMS-9-5C-JDMADE,TRAIN
0,CSO-17-11C-JDAAG,TRAIN
0,CSO-14-7A-MVEBE,TRAIN
0,CDMS-13-7C-RAIZAC,TRAIN
0,CDMS-14-10A-IMORTO,TRAIN
0,CSO-13-7A-YAMEZA,TRAIN
0,CSO-9-4A-KEMOCO,TRAIN
0,CSO-16-10A-SMOUT,TRAIN
0,CSO-17-10A-YVGOCA,TRAIN
0,CDMS-8-4C-JDBUTU,TRAIN
0,CSO-11-6A-EROMO,TRAIN
0,CSO-16-10A-MSACO,TRAIN
0,CSO-8-3A-KVPECO,TRAIN
0,CSO-12-6B-VPAMA,TRAIN
0,CSO-16-10B-VVILI,TRAIN
0,CDMS-11-5A-MGTHAR,TRAIN
0,CSO-10-5A-MAARAN,TRAIN
0,CSO-11-6B-SFLVA,TRAIN
0,CSO-12-7B-DVAGRO,TRAIN
0,CSO-16-11A-JAVABO,TRAIN
0,CDMS-12-6B-IJDAGA,TRAIN
0,CDMS-11-6B-EFRGR,TRAIN
0,CSO-13-7A-RXCHLU,TRAIN
0,CSO-13-8A-VHODU,TRAIN
0,CSO-15-9B-JCAPA,TRAIN
0,CSO-9-4A-AGAPE,TRAIN
0,CSO-12-6B-GQULO,TRAIN
0,CDMS-10-5A-SROPU,TRAIN
0,CSO-12-7B-SMUGU,TRAIN
0,CSO-12-6A-FJOVRE,TRAIN
0,CDMS-11-6B-JMARME,TRAIN
0,CDMS-12-6A-JGIGA,TRAIN
0,CSO-16-9A-JALEMO,TRAIN
0,CSO-14-9A-SORZU,TRAIN
0,CSO-16-11B-LLOZA,TRAIN
0,CSO-15-10A-LJRAGU,TRAIN
0,CDMS-11-6B-RSECA,TRAIN
0,CSO-13-8A-MBUAN,TRAIN
0,CDMS-13-7C-SSOSLO,TRAIN
0,CDMS-XX-5C-MPCAQU,TRAIN
0,CSO-16-10C-ACALGU,TRAIN
0,CSO-15-9B-AMSAGO,TRAIN
0,CDMS-15-10A-SGOMO,TRAIN
0,CSO-11-6B-RJGIHE,TRAIN
0,CSO-13-6B-LJMAHU,TRAIN
0,CDMS-12-6A-SROAL,TRAIN
0,CDMS-12-7C-DLOLO,TRAIN
0,CSO-17-11A-SPUVA,TRAIN
0,CDMS-12-7C-VQURA,TRAIN
0,CSO-12-6A-DGISE,TRAIN
0,CSO-13-6A-ANASA,TRAIN
0,CSO-17-10B-EHECO,TRAIN
0,CSO-16-9A-JSMAGU,TRAIN
0,CSO-13-8A-KIGAGU,TRAIN
0,CDMS-11-7C-SALMA,TRAIN
0,CSO-12-7A-DALRE,TRAIN
0,CSO-14-9A-JSMAAL,TRAIN
0,CSO-16-11B-YAROMO,TRAIN
0,CSO-12-7A-ESALA,TRAIN
0,CSO-10-5A-JBUVE,TRAIN
0,CDMS-XX-6B-SPUCA,TRAIN
0,CDMS-10-5A-SZURO,TRAIN
0,CDMS-10-5C-MAORTO,TRAIN
0,CSO-10-5A-JLCARI,TRAIN
0,CSO-14-8A-AQUMA,TRAIN
0,CSO-17-11B-CDBEBU,TRAIN
0,CDMS-15-10A-MAALCA,TRAIN
0,CSO-10-4A-LRAVI,TRAIN
0,CSO-17-11C-MAPAMA,TRAIN
0,CSO-11-6B-VCOMA,TRAIN
0,CSO-11-6A-FSOVRE,TRAIN
0,CDMS-15-10A-SHEGA,TRAIN
0,CSO-13-7A-KRAMA,TRAIN
0,CDMS-9-4C-SCAMO,TRAIN
0,CSO-11-6B-ANREVA,TRAIN
0,CSO-11-5A-MTAGA,TRAIN
0,CSO-16-9A-JPROSO,TRAIN
0,CDMS-9-4A-ILOSE,TRAIN
0,CSO-12-7A-SCAHO,TRAIN
0,CSO-15-8B-KEPOGO,TRAIN
0,CSO-10-4A-LSCAVA,TRAIN
0,CSO-15-10B-YVBUAN,TRAIN
0,CSO-9-4A-SLOCA,TRAIN
0,CDMS-11-6B-JPSAMA,TRAIN
0,CDMS-12-7C-ARAHE,TRAIN
0,CDMS-10-5A-KSRAGU,TRAIN
0,CSO-17-11A-JDAMO,TRAIN
0,CSO-18-9B-MAMOLO,TRAIN
0,CSO-12-6B-LJHEFE,TRAIN
0,CSO-12-7A-JHEZA,TRAIN
0,CSO-13-8A-MJAGA,TRAIN
0,CDMS-11-6A-DFVEBE,TRAIN
0,CDMS-15-10A-AMALOS,TRAIN
0,CDMS-12-5A-SRIGO,TRAIN
0,CSO-8-3A-AIPRBR,TRAIN
0,CSO-18-11B-YLLRE,TRAIN
0,CSO-11-6B-LHFDLACH,TRAIN
0,CSO-16-11B-KRORE,TRAIN
0,CSO-11-6A-DSCACH,TRAIN
0,CSO-15-9B-ALRIHE,TRAIN
0,CDMS-10-5C-JFALGI,TRAIN
0,CSO-14-9B-ERAGA,VALIDATION
0,CDMS-11-6B-VZAPE,VALIDATION
0,CSO-12-7B-VHOMA,VALIDATION
0,CDMS-10-5C-DAAUSA,VALIDATION
0,CDMS-10-6B-JJMOBE,VALIDATION
0,CDMS-12-7C-CATRAR,VALIDATION
0,CSO-17-11A-RLPAIG,VALIDATION
0,CDMS-12-7C-MAROBE,VALIDATION
0,CDMS-11-6B-ARAHE,VALIDATION
0,CSO-9-4A-LCOMO,VALIDATION
0,CDMS-13-6B-ASUMO,VALIDATION
0,CDMS-15-10A-MAALRI,VALIDATION
0,CDMS-12-6B-SCLAG,VALIDATION
0,CSO-13-7A-CAPAMU,VALIDATION
0,CDMS-11-6B-MEBRTA,VALIDATION
0,CSO-17-10B-YCQUVE,VALIDATION
0,CDMS-8-4A-LGOPA,VALIDATION
0,CSO-12-7A-IMERO,VALIDATION
0,CDMS-11-6B-EROCO,VALIDATION
0,CDMS-11-6B-JFSAHE,VALIDATION
0,CSO-8-4A-JRAAR,VALIDATION
0,CSO-12-7A-LSARAR,VALIDATION
0,CSO-13-6B-LFMIES,VALIDATION
0,CSO-16-10C-MAVAVE,VALIDATION
0,CSO-13-8A-MGAAN,VALIDATION
0,CSO-13-6B-JETAVE,VALIDATION
0,CDMS-9-4A-CARGA,VALIDATION
0,CSO-15-11C-JETALO,VALIDATION
0,CDMS-16-11B-NGABE,VALIDATION
0,CDMS-11-6B-MAGIMU,VALIDATION
0,CSO-10-5A-JANORO,VALIDATION
0,CSO-10-5A-RVMOIB,VALIDATION
0,CSO-17-11A-NPAHE,VALIDATION
0,CDMS-11-6A-NMREPR,VALIDATION
0,CSO-9-2A-EXMOCO,VALIDATION
0,CDMS-11-6B-AVROTO,VALIDATION
