split,subject,set
0,CSO-10-4A-KCOMO,TRAIN
0,CSO-15-10C-ALBAHO,TRAIN
0,CSO-11-5A-MDVOSPE,TRAIN
0,CSO-16-10B-JESUGU,TRAIN
0,CSO-16-10A-YKMUJO,TRAIN
0,CDMS-12-7C-MAROBE,TRAIN
0,CDMS-18-7C-VVECA,TRAIN
0,CDMS-10-5C-NBEMO,TRAIN
0,CSO-12-7A-DALRE,TRAIN
0,CSO-17-11C-SARJA,TRAIN
0,CSO-14-9B-ERAGA,TRAIN
0,CDMS-12-7C-VMAPA,TRAIN
0,CSO-17-11A-NPAHE,TRAIN
0,CDMS-10-5C-ICAPA,TRAIN
0,CDMS-11-7C-SALMA,TRAIN
0,CDMS-11-6B-YLNIME,TRAIN
0,CSO-11-6B-LHFDLACH,TRAIN
0,CDMS-13-6B-JDTAHE,TRAIN
0,CDMS-9-4A-EROHI,TRAIN
0,CSO-13-7A-KRAMA,TRAIN
0,CDMS-11-6B-ARAHE,TRAIN
0,CDMS-11-6B-RSECA,TRAIN
0,CSO-15-11C-JETALO,TRAIN
0,CSO-16-9B-SJPAJI,TRAIN
0,CSO-9-4A-DVGATO,TRAIN
0,CSO-9-4A-LCOMO,TRAIN
0,CSO-10-4A-LRAVI,TRAIN
0,CDMS-15-10A-JJMACH,TRAIN
0,CSO-16-9A-JALEMO,TRAIN
0,CSO-15-10B-YVBUAN,TRAIN
0,CSO-10-5A-JANORO,TRAIN
0,CDMS-15-11B-VSAHO,TRAIN
0,CSO-15-9B-RMCHLU,TRAIN
0,CDMS-11-6B-MMAMO,TRAIN
0,CDMS-13-7C-MVEAR,TRAIN
0,CSO-13-8A-MGAHE,TRAIN
0,CSO-17-11C-MAPAMA,TRAIN
0,CSO-13-8B-JEMABE,TRAIN
0,CDMS-9-5A-VVAAR,TRAIN
0,CSO-17-11A-JDAMO,TRAIN
0,CDMS-XX-10A-VGILO,TRAIN
0,CDMS-11-6A-NMREPR,TRAIN
0,CDMS-8-4C-JDBUTU,TRAIN
0,CDMS-12-7C-VQURA,TRAIN
0,CSO-16-11B-LLOZA,TRAIN
0,CDMS-11-6B-VZAPE,TRAIN
0,CDMS-9-5A-ABERO,TRAIN
0,CDMS-14-6B-KDCAHE,TRAIN
0,CSO-10-5A-IPECA,TRAIN
0,CSO-8-3A-DAPAVA,TRAIN
0,CSO-10-5A-DABRZA,TRAIN
