split,subject,set
0,CDMS-10-5C-MAORTO,TRAIN
0,CDMS-10-5A-KSRAGU,TRAIN
0,CDMS-XX-10A-VGILO,TRAIN
0,CSO-18-9B-MAMOLO,TRAIN
0,CDMS-9-4C-SCAMO,TRAIN
0,CDMS-9-5C-LVIZAC,TRAIN
0,CSO-15-8B-KEPOGO,TRAIN
0,CSO-11-6B-LHFDLACH,TRAIN
0,CSO-17-11A-DJAPA,TRAIN
0,CSO-17-11A-NPAHE,TRAIN
0,CSO-15-10A-MAARLO,TRAIN
0,CDMS-15-10A-SHEGA,TRAIN
0,CSO-10-4A-LSCAVA,TRAIN
0,CDMS-15-10A-SGOMO,TRAIN
0,CDMS-11-7C-SALMA,TRAIN
0,CDMS-11-6A-DFVEBE,TRAIN
0,CDMS-11-5A-EAARCA,TRAIN
0,CSO-9-4A-YVDITR,TRAIN
0,CSO-15-9B-KSBEJA,TRAIN
0,CDMS-12-7C-MAROBE,TRAIN
0,CDMS-14-10A-IMORTO,TRAIN
0,CSO-9-4A-SLOCA,TRAIN
0,CSO-12-7A-ESALA,TRAIN
0,CDMS-11-6B-JFSAHE,TRAIN
0,CSO-16-9A-JALEMO,TRAIN
0,CDMS-9-5C-SCAAG,TRAIN
0,CDMS-12-7C-ARAHE,TRAIN
0,CSO-13-7A-JJATFL,TRAIN
0,CSO-15-10A-LJRAGU,TRAIN
0,CSO-9-4A-MLORO,TRAIN
0,CDMS-16-11B-NGABE,TRAIN
0,CSO-13-8B-JEMABE,TRAIN
0,CSO-11-5A-MTAGA,TRAIN
0,CDMS-9-4A-CARGA,TRAIN
0,CSO-16-11A-JAVABO,TRAIN
0,CSO-12-6A-DGISE,TRAIN
0,CSO-13-6B-LJMAHU,TRAIN
0,CSO-16-11B-KRORE,TRAIN
0,CSO-17-11A-JDAMO,TRAIN
0,CDMS-13-6B-JDTAHE,TRAIN
0,CDMS-9-5A-ABERO,TRAIN
0,CSO-15-9B-RMCHLU,TRAIN
0,CSO-12-6B-VPAMA,TRAIN
0,CSO-17-11C-JDAAG,TRAIN
0,CSO-12-7B-VHOMA,TRAIN
0,CDMS-10-6B-JJMOBE,TRAIN
0,CSO-10-5A-DABRZA,TRAIN
0,CDMS-10-5C-DAAUSA,TRAIN
0,CSO-15-9B-JCAPA,TRAIN
0,CSO-14-7A-MVEBE,TRAIN
0,CDMS-11-7C-ICARE,TRAIN
0,CDMS-11-7C-SPGAVE,TRAIN
0,CSO-11-6B-DISEMO,TRAIN
0,CSO-9-4A-GSBRCO,TRAIN
0,CSO-12-6A-FJOVRE,TRAIN
0,CSO-13-7A-CDDITR,TRAIN
0,CSO-13-7A-CAPAMU,TRAIN
0,CSO-10-4A-KCOMO,TRAIN
0,CSO-16-10B-LTVIFA,TRAIN
0,CDMS-10-4A-JURAN,TRAIN
0,CDMS-9-4A-EROHI,TRAIN
0,CSO-10-5A-GZAMA,TRAIN
0,CDMS-11-6B-YLNIME,TRAIN
0,CDMS-15-10A-AMALOS,TRAIN
0,CSO-14-9B-ERAGA,TRAIN
0,CSO-16-10A-SMOUT,TRAIN
0,CSO-12-7B-DVAGRO,TRAIN
0,CSO-10-4A-LRAVI,TRAIN
0,CDMS-11-6B-MEBRTA,TRAIN
0,CSO-14-9A-SORZU,TRAIN
0,CSO-9-4A-DVGATO,TRAIN
0,CSO-12-7A-IMERO,TRAIN
0,CSO-17-10B-EHECO,TRAIN
0,CSO-10-5A-ARACA,TRAIN
0,CDMS-9-4A-ILOSE,TRAIN
0,CDMS-11-6B-LESTA,TRAIN
0,CDMS-12-6B-SCLAG,TRAIN
0,CDMS-10-5C-ICAPA,TRAIN
0,CDMS-10-5B-SRAJA,TRAIN
0,CDMS-15-10A-JJMACH,TRAIN
0,CSO-12-8A-YTOME,TRAIN
0,CSO-14-9B-MFEGA,TRAIN
0,CDMS-11-6B-EFRGR,TRAIN
0,CSO-14-8B-JLLORA,TRAIN
0,CDMS-10-5A-SZURO,TRAIN
0,CSO-10-5A-JLCARI,TRAIN
0,CDMS-11-6B-MAGIMU,TRAIN
0,CSO-11-6B-RJGIHE,TRAIN
0,CSO-15-9B-AMSAGO,TRAIN
0,CDMS-12-7C-JSZAOR,TRAIN
