feature,mean_coef,std_coef,frac_nonzero,n_selected,frac_selected
edges_T2W20,0.14498299143716875,0.10271328628328528,1.0,400,1.0
diameter_T2W20,-0.10936768412747852,0.21304217754274526,1.0,60,0.15
l3_T2W20,-0.09568766921870409,0.08079859180034385,1.0,192,0.48
pe_T2W20,0.07872800596048013,0.12726562273239117,1.0,66,0.165
asp_T2W20,-0.07646740126617975,0.09245694316795364,1.0,49,0.1225
lsc_T2W20,0.07566699205334622,0.0749605109189017,1.0,375,0.9375
l1_T2W20,-0.044503277719822654,0.05147317344244691,1.0,125,0.3125
re_T2W20,-0.03637073326034407,0.04639857344792725,1.0,134,0.335
lcc_T2W20,0.036332407457447355,0.08201061163083953,1.0,295,0.7375
nodes_T2W20,0.024205402347474238,0.06302594232619055,1.0,90,0.225
atd_T2W20,0.02067042479633421,0.062443032548594096,1.0,98,0.245
density_T2W20,-0.018736366525507968,0.0959771289577317,1.0,61,0.1525
l2_T2W20,0.00316814463460123,0.10074979305208498,1.0,55,0.1375
