feature,mean_coef,std_coef,frac_nonzero,n_selected,frac_selected
z_pe_T2W40,0.29188187688926415,0.3550100631990423,1.0,400,1.0
z_density_T2W40,-0.24674712884341454,0.4876635950014461,1.0,400,1.0
z_l2_T2W40,0.1635166439164282,0.3047449274646952,1.0,400,1.0
z_lsc_T2W40,-0.11799589304596063,0.28342942080500605,1.0,400,1.0
z_atd_T2W40,-0.11494252422774018,0.1578982950085541,1.0,400,1.0
z_l3_T2W40,-0.11079985463872816,0.14044921103146232,1.0,400,1.0
z_asp_T2W40,-0.10768866690566245,0.6192961341041737,1.0,400,1.0
z_re_T2W40,0.07361480166288689,0.18262562281561617,1.0,400,1.0
z_l1_T2W40,-0.04163892578469948,0.15531843516664443,1.0,400,1.0
z_diameter_T2W40,-0.030696107673664878,0.2838369826071301,1.0,400,1.0
z_lcc_T2W40,-2.4776759844002275e-16,5.236902199552649e-15,0.0,400,1.0
z_edges_T2W40,0.0,0.0,0.0,400,1.0
z_nodes_T2W40,0.0,0.0,0.0,400,1.0
