split,subject,set
0,CDMS-10-4A-JURAN,TRAIN
0,CDMS-10-5C-DAAUSA,TRAIN
0,CSO-16-10C-ACALGU,TRAIN
0,CSO-12-7A-SCAHO,TRAIN
0,CSO-13-7A-YAMEZA,TRAIN
0,CDMS-10-5B-SRAJA,TRAIN
0,CSO-13-8A-VHODU,TRAIN
0,CDMS-9-4A-ACDUTR,TRAIN
0,CSO-13-8A-MJAGA,TRAIN
0,CSO-12-6A-FJOVRE,TRAIN
0,CDMS-11-7C-SPGAVE,TRAIN
0,CSO-9-4A-KEMOCO,TRAIN
0,CDMS-11-7C-SALMA,TRAIN
0,CDMS-14-10A-JCVANI,TRAIN
0,CDMS-11-7C-ICARE,TRAIN
0,CDMS-8-4A-DOSTR,TRAIN
0,CSO-15-9B-JCAPA,TRAIN
0,CSO-11-6B-VCOMA,TRAIN
0,CDMS-12-7C-JSZAOR,TRAIN
0,CDMS-14-6B-KDCAHE,TRAIN
0,CDMS-XX-10A-VGILO,TRAIN
0,CSO-15-7B-JCRAGA,TRAIN
0,CSO-10-4A-LSCAVA,TRAIN
0,CSO-11-6B-ANREVA,TRAIN
0,CDMS-XX-6B-SPUCA,TRAIN
0,CSO-13-8A-MGAAN,TRAIN
0,CSO-9-4A-MLORO,TRAIN
0,CSO-9-4A-DSMOMU,TRAIN
0,CSO-10-5A-JJSEMO,TRAIN
0,CDMS-10-5C-ICAPA,TRAIN
0,CDMS-10-5A-KSRAGU,TRAIN
0,CSO-16-9B-SJPAJI,TRAIN
0,CSO-9-4A-AGAPE,TRAIN
0,CSO-15-11C-JETALO,TRAIN
0,CSO-12-6B-LJHEFE,TRAIN
0,CSO-17-10B-YCQUVE,TRAIN
0,CSO-11-6A-DSCACH,TRAIN
0,CDMS-12-7C-VMAPA,TRAIN
0,CSO-14-8A-SZARA,TRAIN
0,CDMS-13-7C-RAIZAC,TRAIN
0,CSO-10-5A-MAARAN,TRAIN
0,CDMS-15-10A-SGOMO,TRAIN
0,CDMS-11-6B-EAFESA,TRAIN
0,CSO-13-6B-JETAVE,TRAIN
0,CSO-15-10A-MAARLO,TRAIN
0,CSO-16-11A-JDMUVA,TRAIN
0,CSO-17-11B-CDBEBU,TRAIN
0,CSO-17-11A-RLPAIG,TRAIN
0,CDMS-8-4C-JDBUTU,TRAIN
0,CSO-18-11B-YLLRE,TRAIN
0,CSO-14-9A-JSMAAL,TRAIN
0,CSO-11-6B-RJGIHE,TRAIN
0,CDMS-15-10A-AMALOS,TRAIN
0,CSO-11-5A-MDVOSPE,TRAIN
0,CSO-15-10C-SSCAMO,TRAIN
0,CSO-13-7A-CDDITR,TRAIN
0,CSO-9-2A-EXMOCO,TRAIN
0,CSO-16-10B-LTVIFA,TRAIN
0,CDMS-11-6B-RSECA,TRAIN
0,CSO-17-11C-JDAAG,TRAIN
0,CSO-13-6B-LFMIES,TRAIN
0,CDMS-10-5A-SZURO,TRAIN
0,CDMS-8-4A-DJAVDA,TRAIN
0,CSO-12-6A-DGISE,TRAIN
0,CDMS-11-6B-VZAPE,TRAIN
