run_name,target,window,feature_type,covariates,n_subjects,n_candidate_predictors,n_selected_per_split,predictors,n_iter,alpha_mean,alpha_std,r2_mean,r2_std,r2_ci_lower,r2_ci_upper,rmse_mean,rmse_std,rmse_ci_lower,rmse_ci_upper,mae_mean,mae_std,mae_ci_lower,mae_ci_upper,rho_mean,rho_std,rho_ci_lower,rho_ci_upper,frac_r2_below_zero
W10_raw_all,MOT,T2W10,raw,,240,13,13,"nodes_T2W10, edges_T2W10, re_T2W10, pe_T2W10, l1_T2W10, l2_T2W10, l3_T2W10, lcc_T2W10, lsc_T2W10, atd_T2W10, density_T2W10, diameter_T2W10, asp_T2W10",400,363.2239868711716,338.7910947020371,0.0005419053995382,0.0589328081899378,-0.0052509754127551,0.0063347862118317,7.652026027447275,0.5260029738549904,7.600321847245421,7.703730207649129,6.541362107244172,0.4416442082786471,6.497950087037154,6.58477412745119,0.072758008834007,0.2034766326441984,0.0527569955241422,0.0927590221438718,0.4225
W10_raw_all,COG,T2W10,raw,,240,13,13,"nodes_T2W10, edges_T2W10, re_T2W10, pe_T2W10, l1_T2W10, l2_T2W10, l3_T2W10, lcc_T2W10, lsc_T2W10, atd_T2W10, density_T2W10, diameter_T2W10, asp_T2W10",400,512.3059584499572,408.4819793596724,-0.025554943045882,0.101588098901236,-0.0355406838744145,-0.0155692022173495,2.2292803313880403,0.3139121770250667,2.198423905521264,2.2601367572548168,1.7491004703713466,0.2048369227179572,1.7289657454921632,1.76923519525053,0.0959644387969526,0.1779590316669902,0.0784717129014634,0.1134571646924419,0.5575
W10_raw_all,MOT_V4,T2W10,raw,,240,13,13,"nodes_T2W10, edges_T2W10, re_T2W10, pe_T2W10, l1_T2W10, l2_T2W10, l3_T2W10, lcc_T2W10, lsc_T2W10, atd_T2W10, density_T2W10, diameter_T2W10, asp_T2W10",400,354.53787636041574,320.8979239647726,-0.0084894968100727,0.070669626637004,-0.0154360642099839,-0.0015429294101615,3.4534729656359757,0.2598181314763489,3.4279337878037497,3.479012143468201,2.853495292074025,0.1918980139757168,2.8346324148886315,2.8723581692594187,0.0626672317479473,0.204946769089224,0.0425217093697823,0.0828127541261123,0.4825
W10_raw_all,COG_V1,T2W10,raw,,240,13,13,"nodes_T2W10, edges_T2W10, re_T2W10, pe_T2W10, l1_T2W10, l2_T2W10, l3_T2W10, lcc_T2W10, lsc_T2W10, atd_T2W10, density_T2W10, diameter_T2W10, asp_T2W10",400,182.8993758931325,222.27821650801303,0.01540471808173,0.0938497171485682,0.0061796320488888,0.0246298041145713,1.3415962323434716,0.1200042794637406,1.3298002479122173,1.353392216774726,1.0651511592422835,0.0969414773462499,1.0556221644211892,1.074680154063378,0.1690627293430127,0.2030422974980853,0.149104409599114,0.1890210490869114,0.3825
W10_raw_top5,MOT,T2W10,raw,,240,13,5,"nodes_T2W10, edges_T2W10, re_T2W10, pe_T2W10, l1_T2W10, l2_T2W10, l3_T2W10, lcc_T2W10, lsc_T2W10, atd_T2W10, density_T2W10, diameter_T2W10, asp_T2W10",400,201.1362041172042,232.767129229544,0.0024948772222648,0.065601155394327,-0.0039534778794178,0.0089432323239475,7.643435800826242,0.5321529535051411,7.591127099981208,7.6957445016712756,6.5325819914844905,0.4426489340684814,6.489071210384715,6.576092772584266,0.078335515229083,0.2091133418144226,0.0577804338983726,0.0988905965597933,0.425
W10_raw_top5,COG,T2W10,raw,,240,13,5,"nodes_T2W10, edges_T2W10, re_T2W10, pe_T2W10, l1_T2W10, l2_T2W10, l3_T2W10, lcc_T2W10, lsc_T2W10, atd_T2W10, density_T2W10, diameter_T2W10, asp_T2W10",400,233.92112993720963,246.98420986825607,-0.0130860654844112,0.0682770881467143,-0.0197974550480922,-0.0063746759207301,2.2158493543943014,0.292417040781576,2.187105822281056,2.244592886507547,1.7450374457583615,0.1937280244785276,1.7259946851930037,1.76408020632372,0.0908530097464277,0.1795638308791081,0.0732025379221597,0.1085034815706956,0.5525
W10_raw_top5,MOT_V4,T2W10,raw,,240,13,5,"nodes_T2W10, edges_T2W10, re_T2W10, pe_T2W10, l1_T2W10, l2_T2W10, l3_T2W10, lcc_T2W10, lsc_T2W10, atd_T2W10, density_T2W10, diameter_T2W10, asp_T2W10",400,177.4523223881095,216.44450621255683,-0.0117640011481491,0.0744110225319459,-0.0190783341637959,-0.0044496681325023,3.4585012273120093,0.2588742743290501,3.433054827206249,3.483947627417769,2.854637019455501,0.1928611411742888,2.835679470367652,2.873594568543351,0.0577082642109544,0.2043689798526186,0.037619536414366,0.0777969920075428,0.51
W10_raw_top5,COG_V1,T2W10,raw,,240,13,5,"nodes_T2W10, edges_T2W10, re_T2W10, pe_T2W10, l1_T2W10, l2_T2W10, l3_T2W10, lcc_T2W10, lsc_T2W10, atd_T2W10, density_T2W10, diameter_T2W10, asp_T2W10",400,78.94666408974807,105.86414830066592,0.0203099529870784,0.0934505626261621,0.0111241023927816,0.0294958035813752,1.338242005170897,0.1189490653534254,1.326549744450768,1.3499342658910258,1.0593022489790775,0.0952490804697266,1.0499396106187375,1.0686648873394176,0.1558550954857432,0.2037177908780675,0.1358303771981485,0.175879813773338,0.3525
W10_z_all,MOT,T2W10,z,,240,13,13,"z_nodes_T2W10, z_edges_T2W10, z_re_T2W10, z_pe_T2W10, z_l1_T2W10, z_l2_T2W10, z_l3_T2W10, z_lcc_T2W10, z_lsc_T2W10, z_atd_T2W10, z_density_T2W10, z_diameter_T2W10, z_asp_T2W10",400,539.6568268680786,321.2685957331176,0.0011468017252369,0.0494073564870075,-0.0037097618116181,0.006003365262092,7.652076475958983,0.5314575779797299,7.599836128000266,7.704316823917701,6.544944970419752,0.4382645041821208,6.5018651628395085,6.588024777999995,0.0888206155630183,0.2029255731992606,0.0688737693933775,0.1087674617326592,0.3775
W10_z_all,COG,T2W10,z,,240,13,13,"z_nodes_T2W10, z_edges_T2W10, z_re_T2W10, z_pe_T2W10, z_l1_T2W10, z_l2_T2W10, z_l3_T2W10, z_lcc_T2W10, z_lsc_T2W10, z_atd_T2W10, z_density_T2W10, z_diameter_T2W10, z_asp_T2W10",400,416.8570554937932,410.2234551702532,-0.0243973832584848,0.0821967311214133,-0.0324770231258376,-0.016317743391132,2.228048693131731,0.3019729934289307,2.1983658456110877,2.2577315406523746,1.7504077194475274,0.1994868157452234,1.7307988906350336,1.7700165482600212,0.099213752996027,0.1918545991842985,0.0803551433268084,0.1180723626652457,0.585
