feature,mean_coef,std_coef,frac_nonzero,n_selected,frac_selected
z_l3_T6W150,-0.1228976884572719,0.09045455229719208,1.0,400,1.0
z_l2_T6W150,0.08038745847555177,0.10278041320733788,1.0,400,1.0
z_diameter_T6W150,0.06673075002306193,0.0714705801720911,1.0,400,1.0
z_lsc_T6W150,-0.0540256209126226,0.060439095201375345,1.0,400,1.0
z_cc_T6W150,0.04465019714336457,0.050074637275784525,1.0,400,1.0
z_pe_T6W150,-0.04355670214570578,0.08633550267743548,1.0,400,1.0
z_atd_T6W150,-0.03522985862134343,0.05641723508096318,1.0,400,1.0
z_l1_T6W150,0.01887485531960301,0.03884865627514746,1.0,400,1.0
z_density_T6W150,0.017015786936001646,0.034530555340081,1.0,400,1.0
z_asp_T6W150,-0.014057244939351211,0.0661944335578985,1.0,400,1.0
z_re_T6W150,0.004358955055782404,0.07289891385605499,1.0,400,1.0
z_lcc_T6W150,1.0403645315963446e-17,2.305742031138953e-16,0.0,400,1.0
z_nodes_T6W150,0.0,0.0,0.0,400,1.0
z_edges_T6W150,0.0,0.0,0.0,400,1.0
