feature,mean_coef,std_coef,frac_nonzero,n_selected,frac_selected
z_l3_T6W150,-0.02368004917908074,0.018225264260797285,1.0,400,1.0
z_cc_T6W150,0.022720770702593738,0.016456343991812453,1.0,400,1.0
z_atd_T6W150,-0.02072168019701449,0.017691990029508758,1.0,400,1.0
z_density_T6W150,0.01277802417981374,0.011044931689242053,1.0,400,1.0
z_lsc_T6W150,-0.010990187529387557,0.017551557939371885,1.0,400,1.0
z_diameter_T6W150,0.01023437362579831,0.012809769241010708,1.0,400,1.0
z_re_T6W150,-0.00778823760721985,0.009254135639293753,1.0,400,1.0
z_l2_T6W150,0.006033689282587201,0.010013758018409454,1.0,400,1.0
z_l1_T6W150,-0.006006927985429729,0.010646217720012358,1.0,400,1.0
z_asp_T6W150,-0.005842288184367916,0.008289889579907095,1.0,400,1.0
z_pe_T6W150,-0.0037222431520596414,0.008610931244582254,1.0,400,1.0
z_lcc_T6W150,-1.8591241865331295e-19,9.611733803989372e-18,0.0,400,1.0
z_nodes_T6W150,0.0,0.0,0.0,400,1.0
z_edges_T6W150,0.0,0.0,0.0,400,1.0
