feature,mean_coef,std_coef,frac_nonzero,n_selected,frac_selected
z_pe_T6W30,-0.24553758107533086,0.33708830510618376,1.0,102,0.255
z_atd_T6W30,0.21659346391091586,0.10038552937090213,1.0,362,0.905
z_l2_T6W30,0.2038872436575011,0.25666577754144915,1.0,276,0.69
z_l3_T6W30,-0.1994035742086813,0.0862899927795443,1.0,387,0.9675
z_lsc_T6W30,-0.1886853827304739,0.17231800871109146,1.0,66,0.165
z_l1_T6W30,0.08593237056737502,0.07135020587684861,1.0,110,0.275
z_re_T6W30,-0.06498779539015925,0.06034143390928981,1.0,275,0.6875
z_diameter_T6W30,-0.03098712089640192,0.0930815500622256,1.0,200,0.5
z_asp_T6W30,-0.021389402640184442,0.12668829179030916,1.0,147,0.3675
z_density_T6W30,0.010293590455016781,0.05587782931068736,1.0,75,0.1875
